template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides occur due to gravitational forces from the Moon and Sun, with the Moon having a stronger effect because it is closer to Earth",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.9477933059116982,embedding
long_form,2,Explain why seasons occur on Earth.,Seasons occur due to Earth's axial tilt,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.847557172923872,embedding
long_form,3,Explain why boiling point changes with altitude.,Boiling point decreases with altitude due to lower atmospheric pressure,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9289042753043429,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap removes and kills pathogens on hands,Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.8079756685675074,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"Randomized controlled trials eliminate bias by randomly assigning subjects to treatment or control groups, allowing for reliable comparisons and causal conclusions",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,True,0.8733125973167575,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,"Maps project a 3D surface onto a 2D plane, causing distortion",A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.6835131999675547,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,"Photosynthesis converts solar energy into chemical energy, producing oxygen and organic matter that support most life forms and ecosystems",Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.8423104037229138,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,Imbalance risks blackouts or equipment damage,Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.4570464023020612,embedding
long_form,9,Explain why inflation reduces purchasing power.,"Inflation increases prices, reducing the amount of goods or services one can buy with the same amount of money",Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.9001576741224553,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,Memory distortion and suggestibility,Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,False,0.4237441914964117,embedding
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends,False,False,False,0.08223332768216807,embedding
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,Improved teacher quality,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs,False,False,False,0.32268596421758927,embedding
causal_reasoning,13,A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Correlation does not imply causation,Unemployment can change because of monetary policy global demand demographics industry trends stimulus business cycles or measurement changes,False,False,False,0.14938892802527792,embedding
causal_reasoning,14,A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,A controlled study showing lower missed visits in patients receiving reminders compared to those who do not,A randomized comparison between patients who did and did not receive reminders with similar baseline conditions would strengthen the claim,False,False,True,0.7889608026494851,embedding
causal_reasoning,15,A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,"Weather changes, water temperature variations, natural algae cycles, or improved wastewater management",Weather rainfall water temperature wastewater changes invasive species monitoring changes and natural variation could also affect algae blooms,False,False,True,0.8154247910291275,embedding
