prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Because Venus’s dense CO2 atmosphere drives an extreme greenhouse effect that traps heat, while airless Mercury cannot retain it",1,False
Explain why antibiotics do not work against viral infections.,"Because antibiotics act on bacterial-specific targets (e.g., cell walls, ribosomes) that viruses lack, as viruses replicate using host-cell machinery",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"Rayleigh scattering makes short blue wavelengths scatter across the sky when the Sun is high, but at sunset the longer path through air scatters out blue, leaving red/orange light",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"More data averages out random noise (reducing variance), but bias is a systematic shift from design/measurement/confounding that doesn’t shrink with n, yielding a more precise yet still wrong estimate",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Expert scrutiny filters many flaws, boosting reliability; but reviewers don’t replicate studies or audit data and can miss errors, bias, or fraud, so findings remain provisional",1,False
Explain why GDP is an incomplete measure of national well being.,"Because it tracks market output, not welfare, ignoring inequality, non‑market work and leisure, environmental costs, health and education outcomes, sustainability, and overall quality of life",1,False
Explain why correlation alone does not prove causation.,"Correlation can arise from confounding variables, reverse causation, or chance rather than a direct causal relationship",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Because it compares literal strings, semantically correct answers with different wording, formatting, units, or rounding won’t match",1,False
Explain why a legal rule may differ between jurisdictions.,"Because independent lawmaking reflects each jurisdiction’s unique history, culture, constitution, politics, and precedent",1,False
Explain why climate is not disproved by one unusually cold day.,Climate is long-term average weather; one cold day is normal variability,1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,"Because without a control or randomization, other factors could explain the rise; correlation isn’t causation",1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,"Concurrent confounders—weather/seasonality, other regulations or emission sources, economic/traffic shifts, measurement changes, and pre-existing trends—ideally tested against a control area",1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,"A randomized A/B test showing higher sales in ad-exposed markets than matched controls, with no concurrent changes",1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Because correlation does not prove causation; other factors or reverse causality could explain the improvement,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,"Correlation isn’t causation; random variation, test-set shifts, or evaluation",1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A randomized A/B test,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,"Because temporal correlation doesn’t imply causation; the drop could be due to confounding factors or broader trends (e.g., economic shifts, policing/reporting changes, regression to the mean)",1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,"Because temporal correlation alone doesn’t establish causation; confounders, selection bias, or regression to the mean could explain the weight loss",1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is the long-term average and variability of those conditions,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics treat bacteria, not viruses",1,False
Compare renewable and nonrenewable energy sources.,Renewables replenish naturally and have low emissions; nonrenewables are finite and generally more polluting,1,False
Compare judicial review and legislation.,Legislation makes laws; judicial review interprets the constitution to uphold or strike down laws and government actions,1,False
Compare inflation and unemployment as economic indicators.,"Inflation gauges changes in the price level and purchasing power, while unemployment gauges labor‑market slack and real activity; together they reflect price stability versus employment conditions and guide policy",1,False
Compare precision and recall in a medical screening test.,"Precision is the fraction of positive screens that are true cases (PPV), while recall is the fraction of actual cases the test detects (sensitivity)",1,False
Compare primary and secondary sources in historical research.,Primary sources are original contemporaneous records; secondary sources are later interpretations of them,1,False
Compare a theory and a hypothesis in science.,"A hypothesis is a tentative, testable explanation for a specific observation, whereas a theory is a well-substantiated, broadly applicable explanation supported by extensive evidence and repeated testing",1,False
Compare natural selection and genetic drift.,"Both change allele frequencies, but natural selection is nonrandom and adaptive via differential fitness (more effective in large populations), whereas genetic drift is random sampling (strongest in small populations) that can fix or lose alleles regardless of fitness",1,False
Compare open loop and closed loop control systems.,,1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,"Lack of a placebo control, so improvements may reflect placebo effects rather than the intervention",1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Because reduced output could explain the emissions drop,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,By a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,That the medicine reduces fever in children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,Self-selection bias prevents causal inference,1,False
