template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Because Venus’s dense CO2 atmosphere drives an extreme greenhouse effect that traps heat, while airless Mercury loses heat rapidly, making Venus hotter on average",Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.869484142744292,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,Viruses lack the bacterial targets of antibiotics and replicate using host machinery,Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.7910345816243035,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"Because Rayleigh scattering in the atmosphere sends short blue wavelengths toward us by day, but over the longer sunset path the blue is scattered out, leaving longer red/orange wavelengths",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.861515267515174,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,"Adding observations averages out chance fluctuations, reducing variance, but systematic errors from flawed design, measurement, or unrepresentative sampling shift estimates consistently and thus persist regardless of sample size",Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,False,0.7014151341672205,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review screens for methodological soundness and plausibility, improving reliability, but reviewers can miss errors, biases and limited data persist, and only replication can confirm correctness",Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,False,0.6204320095669676,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"Because it values only market transactions and ignores distribution, unpaid work, leisure, environmental damage, health, education, and sustainability",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,False,0.6063115689818183,embedding
long_form,7,Explain why correlation alone does not prove causation.,"Because two variables may co-vary due to confounding factors, reverse causality, or chance, not a causal relationship",Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,True,0.7762937637806628,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,"It treats semantically correct answers that don’t match verbatim—e.g., synonyms, paraphrases, formatting differences, or minor typos—as incorrect",Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.6521231909833737,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Because each jurisdiction’s history, constitution, politics, culture, and precedent produce different policy choices, their legal rules diverge",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,False,0.6322138414894963,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,Climate is long-term averages; one cold day is short-term weather variability and cannot refute long-term trends,Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.7649665707226782,embedding
causal_reasoning,11,A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,"Because without a control or randomization, confounders could explain the rise; correlation ≠ causation",Scores may have risen because of other factors such as easier tests different students extra study teacher changes or broader trends,False,False,False,0.30931017662543037,embedding
causal_reasoning,12,A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,"Rule out confounders—weather/seasonality, other policies or economic/industrial shifts, traffic rerouting, and measurement changes—using control areas and pre-ban trend comparisons",Researchers should check weather industrial emissions seasonal trends public transit changes traffic displacement and comparison areas,False,False,False,0.5273374211026607,embedding
