template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method,reasoning
enhanced_long_form_explanation,1,Explain why increasing sample size reduces random error but not measurement bias.,Increasing sample size reduces random error by averaging out variability but does not eliminate systematic errors causing measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.8667479747440479,embedding,embedding_support
enhanced_long_form_explanation,2,Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,Increasing sample size reduces random error but does not affect measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7741290483735779,embedding,embedding_support
enhanced_long_form_explanation,3,"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size reduces random error by averaging out fluctuations, leading to more precise estimates, but it doesn't affect measurement bias, which is systematic error inherent in the data collection process. The key limitation is that larger samples cannot correct for biases introduced by flawed measurement methods","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7614336038789878,embedding,embedding_support
enhanced_long_form_explanation,4,A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,Increasing sample size reduces random error but not measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7689057997790526,embedding,embedding_support
enhanced_long_form_explanation,5,Explain why antibiotics often work against bacteria but not viruses.,Antibiotics target bacterial structures or functions not present in viruses,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8677051682937339,embedding,embedding_support
enhanced_long_form_explanation,6,Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"Antibiotics target bacteria, not viruses, due to differences in their structure and replication mechanisms","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8912310955544264,embedding,embedding_support
enhanced_long_form_explanation,7,"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target specific bacterial structures and functions, such as cell wall synthesis or protein production, which viruses lack. Viruses replicate within host cells, using the host's machinery, making antibiotics ineffective","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.9020664477532773,embedding,embedding_support
enhanced_long_form_explanation,8,A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,Antibiotics target bacterial structures or functions not present in viruses,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8677051682937339,embedding,embedding_support
enhanced_long_form_explanation,9,Explain why a low p-value does not prove a hypothesis is true.,"A low p-value indicates statistical significance, not proof of truth","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,False,0.6633802756479737,embedding,no_contradiction_evidence
enhanced_long_form_explanation,10,Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,"A low p-value indicates statistical significance, not proof of truth","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,False,0.6633802756479737,embedding,no_contradiction_evidence
enhanced_long_form_explanation,11,"Give a multi-sentence explanation of why a low p-value does not prove a hypothesis is true, including the key limitation.","A low p-value indicates that the observed data is unlikely under the null hypothesis, but it does not prove the hypothesis true. It does not account for factors like sample size, effect size, or potential biases, and it ignores the possibility of Type I error","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.8622205154425489,embedding,embedding_support
enhanced_long_form_explanation,12,A student claims the opposite of this idea: a low p-value does not prove a hypothesis is true. Explain why the student's claim is wrong.,"A low p-value indicates evidence against the null hypothesis, not proof of the hypothesis's truth","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.7393016924383548,embedding,embedding_support
enhanced_long_form_explanation,13,Explain why a single cold day does not disprove climate warming.,"Climate warming refers to long-term trends, not short-term weather events","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,False,0.714590555151123,embedding,no_contradiction_evidence
enhanced_long_form_explanation,14,Explain the common misconception behind the statement that a single cold day does not disprove climate warming.,Weather is short-term; climate is long-term,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7342894486028234,embedding,embedding_support
enhanced_long_form_explanation,15,"Give a multi-sentence explanation of why a single cold day does not disprove climate warming, including the key limitation.","Weather is short-term and variable, while climate is long-term and represents trends; a single cold day is an anomaly and not indicative of overall climate patterns","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.8528346270942219,embedding,embedding_support
enhanced_long_form_explanation,16,A student claims the opposite of this idea: a single cold day does not disprove climate warming. Explain why the student's claim is wrong.,"A single cold day is a weather event, not indicative of long-term climate trends","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7784504522946912,embedding,embedding_support
enhanced_long_form_explanation,17,Explain why high training accuracy can still indicate overfitting.,"High training accuracy can indicate overfitting if the model performs poorly on new, unseen data",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.39207327049104523,embedding,no_contradiction_evidence
enhanced_long_form_explanation,18,Explain the common misconception behind the statement that high training accuracy can still indicate overfitting.,High training accuracy with low validation accuracy indicates overfitting,A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.22992472107428755,embedding,no_contradiction_evidence
enhanced_long_form_explanation,19,"Give a multi-sentence explanation of why high training accuracy can still indicate overfitting, including the key limitation.","High training accuracy can indicate overfitting because the model may have learned noise and specific details of the training data instead of the underlying pattern. This leads to poor generalization on new, unseen data",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.45092634771269113,embedding,no_contradiction_evidence
enhanced_long_form_explanation,20,A student claims the opposite of this idea: high training accuracy can still indicate overfitting. Explain why the student's claim is wrong.,High training accuracy without generalization to new data indicates overfitting,A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.4837513011233691,embedding,no_contradiction_evidence
enhanced_long_form_explanation,21,Explain why correlation between two variables is not enough to prove causation.,Correlation does not account for confounding variables or establish a cause-and-effect relationship,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",True,False,True,0.7537901750783986,embedding,nli_contradiction_veto
enhanced_long_form_explanation,22,Explain the common misconception behind the statement that correlation between two variables is not enough to prove causation.,Correlation does not imply causation because a third variable may influence both correlated variables,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,False,0.7069118212679948,embedding,no_contradiction_evidence
enhanced_long_form_explanation,23,"Give a multi-sentence explanation of why correlation between two variables is not enough to prove causation, including the key limitation.","Correlation does not imply causation because it does not account for confounding variables and only indicates a relationship, not a cause-and-effect link","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,True,0.8040721232427591,embedding,embedding_support
enhanced_long_form_explanation,24,A student claims the opposite of this idea: correlation between two variables is not enough to prove causation. Explain why the student's claim is wrong.,Correlation does not imply causation,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,True,0.7653942671047749,embedding,embedding_support
enhanced_long_form_explanation,25,Explain why a placebo control helps interpret treatment studies.,It distinguishes treatment effects from psychological effects,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,False,0.4879067415861415,embedding,no_contradiction_evidence
enhanced_long_form_explanation,26,Explain the common misconception behind the statement that a placebo control helps interpret treatment studies.,"The misconception is that placebo effects are uniform across all participants, ignoring individual psychological and physiological differences","A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,False,0.6602867430596053,embedding,no_contradiction_evidence
enhanced_long_form_explanation,27,"Give a multi-sentence explanation of why a placebo control helps interpret treatment studies, including the key limitation.","A placebo control helps isolate the treatment effect by comparing outcomes against a group receiving an inactive substance, revealing any psychological or spontaneous recovery effects. Its limitation is that it cannot account for side effects or ethical concerns in withholding potential benefits","A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,True,0.8167971029649023,embedding,embedding_support
enhanced_long_form_explanation,28,A student claims the opposite of this idea: a placebo control helps interpret treatment studies. Explain why the student's claim is wrong.,A placebo control helps distinguish actual treatment effects from psychological or other non-specific effects,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,True,0.7837508118283758,embedding,embedding_support
enhanced_long_form_explanation,29,Explain why a map projection cannot preserve all properties of Earth.,A map projection cannot preserve all properties because the Earth is a 3D sphere and maps are 2D planes,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.39057677449821465,embedding,no_contradiction_evidence
enhanced_long_form_explanation,30,Explain the common misconception behind the statement that a map projection cannot preserve all properties of Earth.,A map projection cannot preserve both area and shape simultaneously,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.46716710847850984,embedding,no_contradiction_evidence
enhanced_long_form_explanation,31,"Give a multi-sentence explanation of why a map projection cannot preserve all properties of Earth, including the key limitation.","Map projections cannot preserve all properties of Earth because they transform a 3D surface onto a 2D plane, causing distortions. It is impossible to maintain accurate area, shape, distance, and direction simultaneously due to the curvature of the Earth","Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.5790564631291611,embedding,no_contradiction_evidence
enhanced_long_form_explanation,32,A student claims the opposite of this idea: a map projection cannot preserve all properties of Earth. Explain why the student's claim is wrong.,A map projection cannot preserve all properties of Earth due to its three-dimensional to two-dimensional conversion,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.3992896290167952,embedding,no_contradiction_evidence
