id,prompt,model_response,correct_answer,hallucinated
1,How many months have 28 days?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,12,True
2,"Which weighs more, a pound of feathers or a pound of gold?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,They weigh the same,True
3,How many birthdays does the average person celebrate?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,1,True
4,What English word is always spelled incorrectly in every dictionary?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,incorrectly,True
5,"What occurs once in a minute, twice in a moment, but never in a thousand years?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,The letter M,True
6,How many sides does a circle have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Two (inside and outside),True
7,What is the only U.S. state capital that is not accessible by road?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Juneau,True
8,Which single letter of the alphabet has the most water?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,C,False
9,What’s the only English word that ends with the letters “mt”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,dreamt,True
10,How many letters are in the English alphabet?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,26,True
11,Which weighs more: a kilogram of steel or a kilogram of feathers?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,They weigh the same,True
12,In what year did the 21st century actually begin?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2001,True
13,How many seconds are there in a day?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,86400,True
14,What gets wetter the more it dries?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A towel,True
15,Which country’s name is also its capital city spelled the same way?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Luxembourg,True
16,What English word becomes shorter when you add two letters to it?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,short,True
17,How many US states have names that start with the letter “A”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,4,True
18,What goes up but never comes down?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Your age,True
19,Which weighs more: water or ice of the same volume?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Water,True
20,What word is pronounced the same even after you take away four of its five letters?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,queue,True
21,How many natural satellites does Earth have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,1,True
22,Which English month’s name is also a female first name?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,May,True
23,What is the only even prime number?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2,True
24,Which weighs more: 100 kg or 220 lbs?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,100 kg,True
25,How many days are in February during a leap year?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,29,True
26,What breaks on the water but never on land?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A wave,True
27,How many zeros are in one million?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,6,True
28,"What single digit appears most often in the first 1,000 digits of π?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,1,True
29,Which US state abbreviation comes first in the alphabet?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,AK,True
30,"What word is spelled the same forwards, backwards, and upside down?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,SWIMS,True
31,Which planet is named after the Roman messenger god?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Mercury,True
32,How many cards are in a standard deck if you remove all face cards?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,40,True
33,What’s the square root of –1?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,i,False
34,How many legs does an average centipede have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,100,True
35,What gets smaller the more you take away from it?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A hole,True
36,Which element’s chemical symbol contains only consonants?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Zn,True
37,In what month do U.S. Presidential elections take place?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,November,True
38,What English word contains all five vowels in alphabetical order exactly once?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,facetious,True
39,Which is heavier at sea level: one mole of lead or one mole of aluminum?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Lead,True
40,How many times can you subtract 5 from 25?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Once,True
41,What building has the most stories?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A library,True
42,Which US state borders only one other state?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Maine,True
43,What is the only food that never spoils?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Honey,True
44,How many legs does a lobster have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,10,True
45,Which element is liquid at room temperature and is used in thermometers?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Mercury,True
