prompt,model_response,is_correct
How many months have 28 days?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
"Which weighs more, a pound of feathers or a pound of gold?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
How many birthdays does the average person celebrate?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
What English word is always spelled incorrectly in every dictionary?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
"What occurs once in a minute, twice in a moment, but never in a thousand years?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
How many sides does a circle have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
What is the only U.S. state capital that is not accessible by road?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
Which single letter of the alphabet has the most water?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
What’s the only English word that ends with the letters “mt”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
How many letters are in the English alphabet?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
Which weighs more: a kilogram of steel or a kilogram of feathers?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
In what year did the 21st century actually begin?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
How many seconds are there in a day?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
What gets wetter the more it dries?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
Which country’s name is also its capital city spelled the same way?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
What English word becomes shorter when you add two letters to it?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
How many US states have names that start with the letter “A”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
What goes up but never comes down?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
Which weighs more: water or ice of the same volume?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
What word is pronounced the same even after you take away four of its five letters?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
How many natural satellites does Earth have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
Which English month’s name is also a female first name?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0
