template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method,reasoning
enhanced_long_form_explanation,1,Explain why increasing sample size reduces random error but not measurement bias.,"Increasing sample size reduces random error because it averages out anomalies, but it does not reduce measurement bias because the systematic error remains consistent regardless of sample size","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.8262455177992578,embedding,embedding_support
enhanced_long_form_explanation,2,Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,"The misconception is that measurement bias is consistent and not affected by sample size, when in fact, it can be reduced with more accurate tools or methods, not simply by increasing sample size","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7548305520221397,embedding,embedding_support
enhanced_long_form_explanation,3,"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size reduces random error because it allows the results to approach the true population parameters more closely, ensuring that results are not skewed by a few aberrant data points. However, it does not affect measurement bias because this type of error is systematic and originates from flaws in data collection, not from the sample size. The key limitation of increasing sample size is that it cannot correct for poorly designed experiments or data collection methods","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,False,0.6736397185288107,embedding,no_contradiction_evidence
enhanced_long_form_explanation,4,A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,Increasing sample size does reduce random error but not measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7616937610481108,embedding,embedding_support
enhanced_long_form_explanation,5,Explain why antibiotics often work against bacteria but not viruses.,"Antibiotics target processes that are unique to bacteria, such as cell wall synthesis, which viruses do not have","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8610994037707118,embedding,embedding_support
enhanced_long_form_explanation,6,Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"Antibiotics target the growth mechanisms specific to bacteria, which viruses do not have","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.7940994962868957,embedding,embedding_support
enhanced_long_form_explanation,7,"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target and kill bacteria by interfering with their life processes, such as cell wall synthesis, protein production, and DNA replication. Viruses, however, don't have a cell wall and replicate their DNA inside host cells, making them immune to antibiotics. The key limitation is that antibiotics are unable to penetrate host cells to reach the viruses","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8656216479534807,embedding,embedding_support
enhanced_long_form_explanation,8,A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics target the growth mechanisms specific to bacteria, which viruses do not possess","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.7964288412849816,embedding,embedding_support
enhanced_long_form_explanation,9,Explain why a low p-value does not prove a hypothesis is true.,"A low p-value only suggests that the observed data is unlikely under the null hypothesis, not that the alternate hypothesis is true","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.7997302267199986,embedding,embedding_support
enhanced_long_form_explanation,10,Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,"A low p-value indicates strong evidence against the null hypothesis, not definitive proof of the alternative hypothesis","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.7491041969331377,embedding,embedding_support
enhanced_long_form_explanation,11,"Give a multi-sentence explanation of why a low p-value does not prove a hypothesis is true, including the key limitation.","A low p-value indicates that the observed data would be unlikely under the null hypothesis, not that a certain hypothesis is true. It is a measure of evidence against the null hypothesis, not direct evidence in favor of any particular alternative hypothesis. The key limitation is that p-values depend on both the effect size and the sample size - even a tiny, unimportant difference can yield a low p-value if the sample size is large enough","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.8056767352889341,embedding,embedding_support
enhanced_long_form_explanation,12,A student claims the opposite of this idea: a low p-value does not prove a hypothesis is true. Explain why the student's claim is wrong.,"A low p-value only suggests that the data would be unlikely under the null hypothesis, not that the alternative hypothesis is true","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.8567513528444421,embedding,embedding_support
enhanced_long_form_explanation,13,Explain why a single cold day does not disprove climate warming.,"Climate warming is measured over long-term patterns, not individual weather events","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,False,0.6012102804961579,embedding,no_contradiction_evidence
enhanced_long_form_explanation,14,Explain the common misconception behind the statement that a single cold day does not disprove climate warming.,"Weather is short-term and local, while climate is long-term and global","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,False,0.7174361203794014,embedding,no_contradiction_evidence
enhanced_long_form_explanation,15,"Give a multi-sentence explanation of why a single cold day does not disprove climate warming, including the key limitation.","Climate change refers to long-term shifts in temperatures and weather patterns, mainly a rise in global temperatures. A single cold day is simply a variation within weather, which can have high day-to-day variability. The key limitation here is the conflation of weather, an individual event or series of short-term events, with climate, which is the average of weather patterns over a longer period. Thus, a single cold day does not disprove climate warming","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7824037126970719,embedding,embedding_support
enhanced_long_form_explanation,16,A student claims the opposite of this idea: a single cold day does not disprove climate warming. Explain why the student's claim is wrong.,"Climate patterns are based on long-term data, not isolated events","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,False,0.5579216752274048,embedding,no_contradiction_evidence
enhanced_long_form_explanation,17,Explain why high training accuracy can still indicate overfitting.,High training accuracy can still indicate overfitting because the model may be memorizing the training data and not generalizing well to unseen data,A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.4545588412190353,embedding,no_contradiction_evidence
enhanced_long_form_explanation,18,Explain the common misconception behind the statement that high training accuracy can still indicate overfitting.,"Overfitting occurs when a model learns the detail and noise in the training data, leading to poor performance on unseen data, thus high training accuracy does not necessarily mean the model will perform well on new data",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.3669358159887114,embedding,no_contradiction_evidence
enhanced_long_form_explanation,19,"Give a multi-sentence explanation of why high training accuracy can still indicate overfitting, including the key limitation.","High training accuracy can indicate overfitting because the model may be memorizing the training data, rather than learning to generalize from it. The key limitation is that while it performs well on the training data, it may not perform as effectively on new, unseen data",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.31600304984756084,embedding,no_contradiction_evidence
enhanced_long_form_explanation,20,A student claims the opposite of this idea: high training accuracy can still indicate overfitting. Explain why the student's claim is wrong.,High training accuracy can indicate overfitting because the model may be memorizing the training data and perform poorly on unseen data,A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.4158281724174853,embedding,no_contradiction_evidence
enhanced_long_form_explanation,21,Explain why correlation between two variables is not enough to prove causation.,"Correlation only indicates a relationship between two variables, not that one variable's change causes the other's","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,False,0.514460927693125,embedding,no_contradiction_evidence
enhanced_long_form_explanation,22,Explain the common misconception behind the statement that correlation between two variables is not enough to prove causation.,"Correlation only shows that two variables are related, not that one causes the other","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,False,0.5973766115008075,embedding,no_contradiction_evidence
enhanced_long_form_explanation,23,"Give a multi-sentence explanation of why correlation between two variables is not enough to prove causation, including the key limitation.","Correlation only indicates that two variables tend to move together, not that one causes the other. It's possible a third factor is influencing both variables, creating a false impression of causation. This key limitation is known as confounding or spurious correlation","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,True,0.7483859850357079,embedding,embedding_support
enhanced_long_form_explanation,24,A student claims the opposite of this idea: correlation between two variables is not enough to prove causation. Explain why the student's claim is wrong.,"Correlation does not imply causation, meaning even if two variables are correlated, one does not necessarily cause the other","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,True,0.7494927442941985,embedding,embedding_support
enhanced_long_form_explanation,25,Explain why a placebo control helps interpret treatment studies.,A placebo control helps interpret treatment studies because it allows researchers to separate the effects of the treatment itself from the psychological effects of receiving treatment,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,True,0.8209649377063312,embedding,embedding_support
enhanced_long_form_explanation,26,Explain the common misconception behind the statement that a placebo control helps interpret treatment studies.,"The common misconception is that a placebo control only accounts for the psychological effect of receiving treatment, when in fact it also controls for other variables like natural progression of the disease, regression to the mean, and concurrent treatments","A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,True,0.787342380006288,embedding,embedding_support
enhanced_long_form_explanation,27,"Give a multi-sentence explanation of why a placebo control helps interpret treatment studies, including the key limitation.","A placebo control helps interpret treatment studies by serving as a baseline indicator, allowing researchers to distinguish the actual effects of the treatment from psychological effects. It helps to eliminate bias, as the subjects believe they are receiving treatment. The key limitation is the placebo effect, where the belief of receiving treatment may cause a perceived or real improvement in condition","A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,True,0.7830758014627892,embedding,embedding_support
enhanced_long_form_explanation,28,A student claims the opposite of this idea: a placebo control helps interpret treatment studies. Explain why the student's claim is wrong.,A placebo control is necessary to eliminate bias and determine if the treatment has an effect beyond psychological expectations,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,True,0.8026112512480447,embedding,embedding_support
enhanced_long_form_explanation,29,Explain why a map projection cannot preserve all properties of Earth.,A map projection cannot preserve all properties of Earth because Earth is a three-dimensional sphere and a map is a two-dimensional representation,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.3650835709080095,embedding,no_contradiction_evidence
enhanced_long_form_explanation,30,Explain the common misconception behind the statement that a map projection cannot preserve all properties of Earth.,"The misconception is that no single map projection can accurately represent all of Earth's features such as area, shape, distance, and direction at the same time","Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.47766435468431984,embedding,no_contradiction_evidence
enhanced_long_form_explanation,31,"Give a multi-sentence explanation of why a map projection cannot preserve all properties of Earth, including the key limitation.","A map projection cannot preserve all properties of Earth due to the fundamental difference in geometry between a sphere and a flat surface. When translating from 3D to 2D, distortions in area, shape, distance, or direction are inevitable","Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.6066852819830623,embedding,no_contradiction_evidence
enhanced_long_form_explanation,32,A student claims the opposite of this idea: a map projection cannot preserve all properties of Earth. Explain why the student's claim is wrong.,A map projection must distort some properties of Earth due to the impossibility of perfectly representing a 3D object on a 2D surface,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.5054569927591819,embedding,no_contradiction_evidence
enhanced_long_form_explanation,33,Explain why a confidence interval is not a guarantee that the parameter is inside one realized interval.,"Because a confidence interval only provides a range of values that the parameter is likely to fall within a certain level of confidence, not an absolute certainty","In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval.",True,False,False,0.4165507140128322,embedding,nli_contradiction_veto
enhanced_long_form_explanation,34,Explain the common misconception behind the statement that a confidence interval is not a guarantee that the parameter is inside one realized interval.,"The common misconception is that a confidence interval gives the probability that a parameter falls within the interval, when it actually describes the frequency that the interval would contain the parameter in repeated samples","In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval.",False,False,False,0.44011668812252236,embedding,no_contradiction_evidence
enhanced_long_form_explanation,35,"Give a multi-sentence explanation of why a confidence interval is not a guarantee that the parameter is inside one realized interval, including the key limitation.","A confidence interval represents a range where a parameter is likely to fall based on a sample data, not an absolute certainty. The key limitation is that confidence intervals are based on probabilities and sampling errors. Therefore, there's always a chance the true parameter isn't within the calculated range","In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval.",False,False,False,0.3684809354657716,embedding,no_contradiction_evidence
enhanced_long_form_explanation,36,A student claims the opposite of this idea: a confidence interval is not a guarantee that the parameter is inside one realized interval. Explain why the student's claim is wrong.,A confidence interval provides a range of values within which the true population parameter is likely to fall a certain percentage of the time,"In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval.",True,False,False,0.4129607867096202,embedding,nli_contradiction_veto
enhanced_long_form_explanation,37,Explain why a neural network can produce confident wrong answers.,"A neural network can produce confident wrong answers due to overfitting, insufficient training data, or inherent biases in the data","Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence.",False,False,False,0.5101050244434134,embedding,no_contradiction_evidence
enhanced_long_form_explanation,38,Explain the common misconception behind the statement that a neural network can produce confident wrong answers.,"The misconception is that a high output value from a neural network signifies a correct answer, when it actually signifies the network's confidence in its prediction, which could be wrong","Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence.",False,False,False,0.3300534852073221,embedding,no_contradiction_evidence
enhanced_long_form_explanation,39,"Give a multi-sentence explanation of why a neural network can produce confident wrong answers, including the key limitation.","A neural network can produce confident wrong answers due to overfitting, where it memorizes the training data so well that it performs poorly on unseen data. The key limitation is its inability to generalize to new, unseen data","Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence.",False,False,False,0.4209052548889873,embedding,no_contradiction_evidence
enhanced_long_form_explanation,40,A student claims the opposite of this idea: a neural network can produce confident wrong answers. Explain why the student's claim is wrong.,A neural network can indeed produce confident wrong answers due to overfitting or lack of generalization,"Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence.",False,False,False,0.44633733721104685,embedding,no_contradiction_evidence
enhanced_long_form_explanation,41,Explain why a short answer can be correct but incomplete.,It may lack detail or context,"A short response can contain the key fact while missing explanation, scope, assumptions, or limitations needed for full adequacy.",False,False,False,0.4287379971687427,embedding,no_contradiction_evidence
enhanced_long_form_explanation,42,Explain the common misconception behind the statement that a short answer can be correct but incomplete.,The misconception is that completeness is not a requirement for correctness; a response can be partially correct and still be valid,"A short response can contain the key fact while missing explanation, scope, assumptions, or limitations needed for full adequacy.",False,False,False,0.5276960650412306,embedding,no_contradiction_evidence
enhanced_long_form_explanation,43,"Give a multi-sentence explanation of why a short answer can be correct but incomplete, including the key limitation.",A short answer can be correct but incomplete if it provides the necessary information to satisfy the question but fails to address all aspects or details of the question. The key limitation is that it lacks thoroughness and depth,"A short response can contain the key fact while missing explanation, scope, assumptions, or limitations needed for full adequacy.",False,False,False,0.5037586015803093,embedding,no_contradiction_evidence
