prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Atmosphere comprised mostly of carbon dioxide on Venus causes it to have a stronger greenhouse effect,1,False
Explain why antibiotics do not work against viral infections.,Different mechanism of action,1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"Light from the sun is scattered by air molecules and particles during the day, making the sky appear blue. At sunset, the sun's light has to pass through more atmosphere, causing shorter blue and green wavelengths to scatter and leaving mostly red and orange light visible",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces random error but does not automatically remove bias because bias is a systematic error that is inherent to the data collection method or process,1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,Minimizes bias and errors in research articles,1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not take into account factors such as income distribution, environmental quality, and leisure time",1,False
Explain why correlation alone does not prove causation.,Correlation does not prove causation due to the possibility of a third variable influencing both factors,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,Overlapping correctness,1,False
Explain why a legal rule may differ between jurisdictions.,Jurisdictional boundaries,1,False
Explain why climate is not disproved by one unusually cold day.,"Climate is determined by long-term patterns, not short-term fluctuations",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other sources of pollution,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other factors could have contributed to the decrease in patient complications,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Control for other potential variables,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,Urbanization and decrease in greenhouse gas emissions,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Overfitting,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Control Group,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,"Weather is the day-to-day state of the atmosphere, while climate is the long-term average of weather patterns in a specific region",1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria are susceptible to antibiotics, while viruses are not",1,False
Compare renewable and nonrenewable energy sources.,Renewable energy sources have the potential to be replenished while nonrenewable energy sources are finite,1,False
Compare judicial review and legislation.,"Judicial review interprets laws, legislation creates laws",1,False
Compare inflation and unemployment as economic indicators.,Negative relationship,1,False
Compare precision and recall in a medical screening test.,Precision is 0.85 and recall is 0.75,1,False
Compare primary and secondary sources in historical research.,"Primary sources provide firsthand accounts or direct evidence, while secondary sources analyze, interpret, or summarize primary sources",1,False
Compare a theory and a hypothesis in science.,"A theory is a well-substantiated explanation of some aspect of the natural world, while a hypothesis is a testable prediction about a phenomenon",1,False
Compare natural selection and genetic drift.,"Natural selection is based on selective pressures changing traits in a population, while genetic drift is the random chance changes in allele frequencies due to small population size",1,False
Compare open loop and closed loop control systems.,"Open loop control systems do not have feedback loops, while closed loop control systems do",1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,lack of placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,Third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine is safe and effective for children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,non-random assignment,1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,Correlation between sleep duration and grades is identified,0,True
Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,Two weeks,1,False
A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,Provide the current population based on the most recent data available,0,True
A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Misdiagnosis,1,False
A user asks for the contents of a document that was not provided. What should a reliable answer say?,The document was not provided,1,False
A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,Jurisdiction,1,False
A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,The statistic changes daily,1,False
A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,Consult the journal's website or contact the publisher for the most up-to-date information,1,False
A user asks for a citation but no source is available. What should a reliable answer avoid?,Speculation,1,False
A user asks to identify an object from an unclear image. What should a reliable answer avoid?,Assuming details not visible in the image,1,False
A user asks who will win a future election. What should a reliable answer say?,It is impossible to predict the outcome of a future election with certainty,1,False
A user asks whether two technical terms are equivalent but context is missing. What should a reliable answer say?,Cannot determine without additional context,1,False
Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Gravitational force, inverse square law, closer proximity",1,False
Explain why seasons occur on Earth.,Tilt of Earth's axis,1,False
Explain why boiling point changes with altitude.,Decreased atmospheric pressure causes lower boiling points,1,False
Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap breaks down the protective coating of viruses and bacteria,1,False
Explain why randomized controlled trials are useful for testing whether a treatment works.,To eliminate bias and provide reliable evidence of treatment efficacy,1,False
Explain why a map can distort the size or shape of countries.,Map projections can distort the size or shape of countries due to the challenge of flattening a three-dimensional surface onto a two-dimensional map,1,False
Explain why photosynthesis is important for most ecosystems.,Produces oxygen,1,False
Explain why electric power grids need supply and demand to stay balanced.,To ensure stable and reliable energy distribution,1,False
Explain why inflation reduces purchasing power.,Inflation increases the price of goods and services,1,False
Explain why eyewitness testimony can be unreliable.,"Human memory is fallible and impacted by factors like stress, leading to inaccuracies in recall",1,False
A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,1,False
A school starts serving breakfast and attendance improves. What else could explain the improvement?,,1,False
A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Correlation does not imply causation,1,False
A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,Correlation between timing of reminders and missed visits,1,False
A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,"Water temperature, pH levels, nutrient levels, and precipitation patterns",1,False
A company raises wages and employee turnover falls. Why might wages not be the only cause?,Increased job satisfaction,1,False
A state changes graduation requirements and graduation rates rise. What should be checked before claiming the policy caused the rise?,Correlation of changes in other factors,1,False
A restaurant changes its menu and receives better reviews. Why does this not prove the menu caused the better reviews?,Correlation does not imply causation,1,False
A new pesticide is used and crop yield increases. What would help determine whether the pesticide caused the increase?,Control group for comparison,1,False
A city opens a new park and nearby home prices rise. Why is causation uncertain?,Correlation does not prove causation,1,False
Compare renewable energy and fossil fuels.,Renewable energy is cleaner and more sustainable than fossil fuels,1,False
Compare mitosis and meiosis.,"Mitosis results in two identical daughter cells, while meiosis produces four genetically diverse daughter cells",1,False
Compare conduction convection and radiation as heat transfer methods.,"Conduction, convection, and radiation are methods of heat transfer",1,False
