prompt,model_response,is_correct,hallucinated
Explain why increasing sample size reduces random error but not measurement bias.,"Because random fluctuations average out as n grows (SE ∝ 1/√n), whereas systematic offsets shift all observations in the same direction and do not diminish with sample size",1,False
Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,,1,False
"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size averages out random fluctuations, reducing variance and narrowing confidence intervals (SE ∝ 1/√n). Measurement bias is systematic error, so it does not cancel with more data; the estimate simply becomes a more precise miss. Key limitation: bigger samples improve precision, not accuracy—bias requires better measurement or design, not more observations",1,False
A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,"Because increasing n averages out random noise (SE ∝ 1/√n) but cannot cancel systematic measurement bias, so sample size boosts precision",1,False
Explain why antibiotics often work against bacteria but not viruses.,"Antibiotics target bacterial cell walls, ribosomes, and metabolic enzymes—structures viruses lack because they replicate using host machinery—so they don’t work on viruses",1,False
Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"It assumes antibiotics are universal, but they target bacterial-specific machinery (e.g., cell walls, ribosomes) that viruses lack, so they’re ineffective against viruses",1,False
"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target bacterial-only features such as peptidoglycan cell walls, 70S ribosomes, DNA gyrase, and folate synthesis. Viruses lack these structures and replicate by hijacking host-cell machinery. The key limitation is the absence of unique viral targets that can",1,False
A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics target bacterial-only structures (e.g., cell walls and 70S ribosomes), which viruses lack, so they’re ineffective against viruses",1,False
Explain why a low p-value does not prove a hypothesis is true.,,1,False
Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,,1,False
"Give a multi-sentence explanation of why a low p-value does not prove a hypothesis is true, including the key limitation.",,1,False
A student claims the opposite of this idea: a low p-value does not prove a hypothesis is true. Explain why the student's claim is wrong.,,1,False
Explain why a single cold day does not disprove climate warming.,"Weather is short‑term variability; climate warming is a long‑term trend, so isolated cold days remain expected",1,False
Explain the common misconception behind the statement that a single cold day does not disprove climate warming.,It confuses short‑term local weather with long‑term global climate trends; natural variability allows cold days even as average temperatures rise,1,False
"Give a multi-sentence explanation of why a single cold day does not disprove climate warming, including the key limitation.","A single cold day reflects short-term weather, while climate warming is a long-term change in global averages over decades. Natural variability and circulation can still produce cold snaps in a warming world. The key limitation is that one day is an anecdote with no statistical power to detect trends",1,False
A student claims the opposite of this idea: a single cold day does not disprove climate warming. Explain why the student's claim is wrong.,"Weather is short-term; climate is long-term—one cold day is normal variability, not evidence against global warming",1,False
Explain why high training accuracy can still indicate overfitting.,"Because the model may memorize training-set noise and idiosyncrasies, yielding high training accuracy but poor generalization (low validation/test accuracy)",1,False
Explain the common misconception behind the statement that high training accuracy can still indicate overfitting.,,1,False
"Give a multi-sentence explanation of why high training accuracy can still indicate overfitting, including the key limitation.","High training accuracy can reflect memorization of noise and spurious patterns rather than learning generalizable structure, i.e., overfitting. The key limitation is that training accuracy measures performance only on seen data and does not indicate generalization to unseen data",1,False
A student claims the opposite of this idea: high training accuracy can still indicate overfitting. Explain why the student's claim is wrong.,"Because a model can memorize the training set, achieving high training accuracy yet low validation/test accuracy—i.e., overfitting",1,False
Explain why correlation between two variables is not enough to prove causation.,"Because correlation may arise from confounding, reverse causation, bias, or chance rather than a direct causal relationship",1,False
Explain the common misconception behind the statement that correlation between two variables is not enough to prove causation.,,1,False
"Give a multi-sentence explanation of why correlation between two variables is not enough to prove causation, including the key limitation.","Correlation measures association, not whether one variable changes the other. The link can arise from confounders, reverse causality, or chance. The key limitation is the lack of control and temporal identification, so correlation alone cannot isolate a causal effect",1,False
A student claims the opposite of this idea: correlation between two variables is not enough to prove causation. Explain why the student's claim is wrong.,"Because correlations can arise from confounders, reverse causation, selection bias, or pure chance, they do not establish causality",1,False
Explain why a placebo control helps interpret treatment studies.,"It isolates the treatment’s true effect by controlling for placebo responses, natural recovery, and other nonspecific influences",1,False
Explain the common misconception behind the statement that a placebo control helps interpret treatment studies.,,1,False
"Give a multi-sentence explanation of why a placebo control helps interpret treatment studies, including the key limitation.",,1,False
A student claims the opposite of this idea: a placebo control helps interpret treatment studies. Explain why the student's claim is wrong.,,1,False
Explain why a map projection cannot preserve all properties of Earth.,"Because a sphere’s positive Gaussian curvature cannot be mapped isometrically to a plane’s zero curvature, any projection must distort at least one of area, shape (angles), distance, or direction",1,False
Explain the common misconception behind the statement that a map projection cannot preserve all properties of Earth.,"It’s often misread as “projections preserve nothing,” when it means no single projection preserves all properties everywhere—each preserves some while distorting others",1,False
"Give a multi-sentence explanation of why a map projection cannot preserve all properties of Earth, including the key limitation.","Earth’s curved surface cannot be flattened onto a plane without distortion. By Gauss’s Theorema Egregium, curvature",1,False
