prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus has a thicker atmosphere than Mercury, causing a stronger greenhouse effect",1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,Scattering of sunlight by Earth's atmosphere,1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error due to more data points, but does not address underlying issues causing bias",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review involves experts in the field evaluating research, providing feedback, and identifying potential flaws or errors",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for non-market transactions, income inequality, environmental degradation, and overall quality of life",1,False
Explain why correlation alone does not prove causation.,Correlation does not prove causation because it does not account for other variables or factors that may be influencing both the variables being studied,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Synonyms, misspellings, and formatting differences can cause exact match grading to mark a correct answer wrong",1,False
Explain why a legal rule may differ between jurisdictions.,Different laws and regulations,1,False
Explain why climate is not disproved by one unusually cold day.,"Weather is the condition of the atmosphere at a specific time and place, while climate is the long-term average of weather patterns in a region",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Traffic data,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,The checklist was not properly implemented or followed,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A control group in the study,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,1. Climate change effects,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Data discrepancy,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Control group,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather changes frequently; climate is the average of weather patterns over a long period of time,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria can be treated with antibiotics, while viruses cannot",1,False
Compare renewable and nonrenewable energy sources.,"Renewable energy sources are environmentally sustainable, while nonrenewable sources are finite and deplete over time",1,False
Compare judicial review and legislation.,"Judicial review interprets the laws, while legislation creates the laws",1,False
Compare inflation and unemployment as economic indicators.,Inverse,1,False
Compare precision and recall in a medical screening test.,"Precision focuses on the accuracy of positive predictions, while recall focuses on the ability to find all positive instances",1,False
Compare primary and secondary sources in historical research.,Primary sources provide direct evidence while secondary sources interpret and analyze primary sources,1,False
Compare a theory and a hypothesis in science.,Theory: A widely accepted explanation backed by evidence; Hypothesis: A testable prediction to explain a phenomenon,1,False
Compare natural selection and genetic drift.,"Natural selection results in the survival of organisms with traits that increase their reproductive success, whereas genetic drift is a random change in the frequency of alleles in a population",1,False
Compare open loop and closed loop control systems.,"Open loop control systems do not have feedback, while closed loop control systems do",1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,lack of placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,Medicine is safe and effective for children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,non-random assignment,1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,"The association between sleep duration and grades is supported, but causation is not established",1,False
Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,two weeks,1,False
A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,Provide the population from the current year,1,False
A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Providing medical advice,1,False
A user asks for the contents of a document that was not provided. What should a reliable answer say?,Document not provided,1,False
A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,Specify the need for the user's jurisdiction,1,False
A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,The exact value of the statistic can vary and is subject to daily fluctuations,1,False
A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,Check the journal's website for the most up-to-date information,1,False
A user asks for a citation but no source is available. What should a reliable answer avoid?,Speculating,1,False
A user asks to identify an object from an unclear image. What should a reliable answer avoid?,Guessing or providing false information,1,False
A user asks who will win a future election. What should a reliable answer say?,"I'm sorry, I cannot predict the outcome of future elections",1,False
A user asks whether two technical terms are equivalent but context is missing. What should a reliable answer say?,Cannot determine without context,1,False
Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,Gravitational force from the Moon is stronger due to its proximity to Earth,1,False
Explain why seasons occur on Earth.,Tilt of Earth's axis,1,False
Explain why boiling point changes with altitude.,Decreased atmospheric pressure causes boiling point to decrease,1,False
Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap removes germs and bacteria from hands more effectively than water alone,1,False
Explain why randomized controlled trials are useful for testing whether a treatment works.,Eliminates bias and allows for comparison of treatment groups,1,False
Explain why a map can distort the size or shape of countries.,Map projections necessarily distort the shape or size of countries due to the challenge of representing a 3D surface on a 2D plane,1,False
Explain why photosynthesis is important for most ecosystems.,Producing energy for plants and oxygen for animals,1,False
Explain why electric power grids need supply and demand to stay balanced.,To prevent blackouts and ensure system stability,1,False
Explain why inflation reduces purchasing power.,Because the value of money decreases over time,1,False
Explain why eyewitness testimony can be unreliable.,Memory can be easily influenced and distorted by external factors,1,False
A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,1,False
A school starts serving breakfast and attendance improves. What else could explain the improvement?,none,1,False
A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Correlation does not imply causation,1,False
A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,Correlation analysis and statistical significance,1,False
A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,"Runoff from other sources, changes in weather patterns, introduction of new species",1,False
A company raises wages and employee turnover falls. Why might wages not be the only cause?,Increased employee job satisfaction and improved workplace culture,1,False
A state changes graduation requirements and graduation rates rise. What should be checked before claiming the policy caused the rise?,Other potential factors influencing graduation rates,1,False
A restaurant changes its menu and receives better reviews. Why does this not prove the menu caused the better reviews?,Correlation does not equal causation,1,False
A new pesticide is used and crop yield increases. What would help determine whether the pesticide caused the increase?,Conducting a controlled experiment with a control group,1,False
A city opens a new park and nearby home prices rise. Why is causation uncertain?,Correlation does not imply causation,1,False
Compare renewable energy and fossil fuels.,Renewable energy sources are more sustainable than fossil fuels,1,False
Compare mitosis and meiosis.,"Mitosis results in two identical diploid cells, while meiosis results in four genetically unique haploid cells",1,False
Compare conduction convection and radiation as heat transfer methods.,"conduction: 1, convection: 2, radiation: 3",1,False
Compare primary sources and secondary sources in history.,"Primary sources are firsthand accounts or direct evidence from the time period being studied, while secondary sources interpret or analyze primary sources",1,False
Compare civil law and criminal law.,"Civil law pertains to disputes between individuals or organizations, while criminal law deals with crimes against the state",1,False
Compare accuracy and precision in measurement.,"Accuracy is how close a measured value is to the true value, while precision is how consistent measured values are to one another",1,False
Compare the roles of DNA and RNA in protein production.,"DNA stores genetic information, RNA carries out protein synthesis",1,False
Compare supply and demand in a market.,Supply and demand determine the equilibrium price and quantity in a market,1,False
Compare a scientific hypothesis and a scientific theory.,3,1,False
Compare weathering and erosion.,"Weathering breaks down rocks, while erosion moves the broken down material",1,False
Using only this source: The study found that students who slept at least eight hours had higher average test scores but the authors warned that the design was observational. What conclusion is supported?,Students who slept at least eight hours had higher test scores,1,False
Using only this source: The bridge was completed in 1974 renovated in 2008 and closed to cars in 2020. When was the bridge renovated?,2008,1,False
Using only this source: The medication reduced symptoms in adults but the trial excluded children and pregnant patients. What limitation should be mentioned?,Children and pregnant patients were excluded from the trial,1,False
Using only this source: The report says solar output increased by 12 percent while wind output decreased by 4 percent. Which energy source increased?,Solar,1,False
Using only this source: The survey included 900 online respondents recruited through voluntary participation. What sampling limitation should be noted?,900,1,False
Using only this source: The policy was announced in March approved in June and implemented in September. When was the policy implemented?,September,1,False
