id,prompt,model_response,correct_answer,hallucinated
1,How many months have 28 days?,All months have 28 days.,12,True
2,"Which weighs more, a pound of feathers or a pound of gold?",A pound of feathers and a pound of gold weigh the same.,They weigh the same,True
3,How many birthdays does the average person celebrate?,One.,1,True
4,What English word is always spelled incorrectly in every dictionary?,Incorrectly.,incorrectly,False
5,"What occurs once in a minute, twice in a moment, but never in a thousand years?","The letter ""m"".",The letter M,False
6,How many sides does a circle have?,A circle has one continuous side.,Two (inside and outside),True
7,What is the only U.S. state capital that is not accessible by road?,"Juneau, Alaska.",Juneau,False
8,Which single letter of the alphabet has the most water?,"The letter ""C"" has the most water.",C,False
9,What’s the only English word that ends with the letters “mt”?,Dreamt.,dreamt,False
10,How many letters are in the English alphabet?,26,26,False
11,Which weighs more: a kilogram of steel or a kilogram of feathers?,Both weigh the same.,They weigh the same,False
12,In what year did the 21st century actually begin?,The 21st century actually began in the year 2001.,2001,False
13,How many seconds are there in a day?,"There are 86,400 seconds in a day.",86400,False
14,What gets wetter the more it dries?,A towel.,A towel,False
15,Which country’s name is also its capital city spelled the same way?,Singapore,Luxembourg,True
16,What English word becomes shorter when you add two letters to it?,Short.,short,False
17,How many US states have names that start with the letter “A”?,Four states.,4,True
18,What goes up but never comes down?,Your age.,Your age,False
19,Which weighs more: water or ice of the same volume?,Water weighs more than ice of the same volume.,Water,False
20,What word is pronounced the same even after you take away four of its five letters?,Queue.,queue,False
21,How many natural satellites does Earth have?,Earth has one natural satellite.,1,True
22,Which English month’s name is also a female first name?,April,May,True
23,What is the only even prime number?,2,2,False
24,Which weighs more: 100 kg or 220 lbs?,100 kg weighs more.,100 kg,False
25,How many days are in February during a leap year?,29 days.,29,False
26,What breaks on the water but never on land?,A wave.,A wave,False
27,How many zeros are in one million?,There are six zeros in one million.,6,True
28,"What single digit appears most often in the first 1,000 digits of π?","The digit 1 appears most often in the first 1,000 digits of π.",1,False
29,Which US state abbreviation comes first in the alphabet?,AK,AK,False
30,"What word is spelled the same forwards, backwards, and upside down?",NOON,SWIMS,True
31,Which planet is named after the Roman messenger god?,Mercury.,Mercury,False
32,How many cards are in a standard deck if you remove all face cards?,There are 40 cards in a standard deck if you remove all face cards.,40,False
33,What’s the square root of –1?,"The square root of -1 is represented by the imaginary unit ""i.""",i,False
34,How many legs does an average centipede have?,An average centipede has around 30 to 354 legs.,100,True
35,What gets smaller the more you take away from it?,A hole.,A hole,False
36,Which element’s chemical symbol contains only consonants?,Tin (Sn),Zn,True
37,In what month do U.S. Presidential elections take place?,November.,November,False
38,What English word contains all five vowels in alphabetical order exactly once?,Abstemious,facetious,True
39,Which is heavier at sea level: one mole of lead or one mole of aluminum?,One mole of lead is heavier than one mole of aluminum.,Lead,False
40,How many times can you subtract 5 from 25?,"Once, after which you subtract from 20.",Once,False
41,What building has the most stories?,"The Burj Khalifa in Dubai has the most stories, with 163 floors.",A library,True
42,Which US state borders only one other state?,Maine borders only one other state.,Maine,False
43,What is the only food that never spoils?,Honey.,Honey,False
44,How many legs does a lobster have?,A lobster has ten legs.,10,True
45,Which element is liquid at room temperature and is used in thermometers?,Mercury.,Mercury,False
46,How many keys are on a standard piano?,88 keys.,88,False
47,What four-letter word becomes longer when you add two letters?,Long.,long,False
48,How many teeth does an adult human normally have?,An adult human normally has 32 teeth.,32,False
49,Which planet has the hottest surface temperature?,Venus,Venus,False
50,"What runs but never walks, has a bed but never sleeps?",A river.,A river,False
