template,id,prompt,correct_answer
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun
long_form,2,Explain why seasons occur on Earth.,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year
long_form,3,Explain why boiling point changes with altitude.,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects
long_form,6,Explain why a map can distort the size or shape of countries.,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted
long_form,7,Explain why photosynthesis is important for most ecosystems.,Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages
long_form,9,Explain why inflation reduces purchasing power.,Inflation raises the general price level so the same amount of money buys fewer goods and services
long_form,10,Explain why eyewitness testimony can be unreliable.,Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs
causal_reasoning,13,A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Unemployment can change because of monetary policy global demand demographics industry trends stimulus business cycles or measurement changes
causal_reasoning,14,A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,A randomized comparison between patients who did and did not receive reminders with similar baseline conditions would strengthen the claim
causal_reasoning,15,A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,Weather rainfall water temperature wastewater changes invasive species monitoring changes and natural variation could also affect algae blooms
causal_reasoning,16,A company raises wages and employee turnover falls. Why might wages not be the only cause?,Turnover may also fall because of management changes benefits scheduling hiring conditions labor market shifts or workplace culture
causal_reasoning,17,A state changes graduation requirements and graduation rates rise. What should be checked before claiming the policy caused the rise?,Researchers should check cohort differences grading standards dropout definitions school funding tutoring programs and long term trends
causal_reasoning,18,A restaurant changes its menu and receives better reviews. Why does this not prove the menu caused the better reviews?,Reviews may change because of service pricing staff marketing reviewer selection seasonality or changes in customer expectations
causal_reasoning,19,A new pesticide is used and crop yield increases. What would help determine whether the pesticide caused the increase?,A controlled comparison with similar fields weather soil crop variety irrigation and pest pressure would help establish causation
causal_reasoning,20,A city opens a new park and nearby home prices rise. Why is causation uncertain?,Home prices may rise because of broader market trends development transit changes school quality neighborhood investment or selection effects
synthesis,21,Compare renewable energy and fossil fuels.,Renewable energy comes from sources replenished on human timescales while fossil fuels are finite carbon based fuels formed over geologic time and release greenhouse gases when burned
synthesis,22,Compare mitosis and meiosis.,Mitosis produces genetically identical body cells while meiosis produces gametes with half the chromosome number and genetic variation
synthesis,23,Compare conduction convection and radiation as heat transfer methods.,Conduction transfers heat through direct contact convection transfers heat through fluid motion and radiation transfers energy by electromagnetic waves
synthesis,24,Compare primary sources and secondary sources in history.,Primary sources come directly from the time period or participants while secondary sources interpret analyze or summarize primary sources
synthesis,25,Compare civil law and criminal law.,Civil law resolves disputes between parties and usually involves remedies while criminal law prosecutes offenses against the state and can involve punishment
synthesis,26,Compare accuracy and precision in measurement.,Accuracy is closeness to the true value while precision is consistency or closeness of repeated measurements to each other
synthesis,27,Compare the roles of DNA and RNA in protein production.,DNA stores genetic information while RNA carries and helps use that information to make proteins
synthesis,28,Compare supply and demand in a market.,Supply is the quantity producers are willing to sell at different prices while demand is the quantity consumers are willing to buy at different prices
synthesis,29,Compare a scientific hypothesis and a scientific theory.,A hypothesis is a testable proposed explanation while a theory is a broad well supported explanatory framework
synthesis,30,Compare weathering and erosion.,Weathering breaks down rock in place while erosion transports weathered material by water wind ice or gravity
citation_grounded,31,Using only this source: The study found that students who slept at least eight hours had higher average test scores but the authors warned that the design was observational. What conclusion is supported?,Students who slept at least eight hours had higher average test scores but the study does not establish causation
citation_grounded,32,Using only this source: The bridge was completed in 1974 renovated in 2008 and closed to cars in 2020. When was the bridge renovated?,2008
citation_grounded,33,Using only this source: The medication reduced symptoms in adults but the trial excluded children and pregnant patients. What limitation should be mentioned?,The trial excluded children and pregnant patients so the results may not apply to those groups
citation_grounded,34,Using only this source: The report says solar output increased by 12 percent while wind output decreased by 4 percent. Which energy source increased?,Solar output increased
citation_grounded,35,Using only this source: The survey included 900 online respondents recruited through voluntary participation. What sampling limitation should be noted?,The survey used voluntary online respondents which may create selection bias
citation_grounded,36,Using only this source: The policy was announced in March approved in June and implemented in September. When was the policy implemented?,September
citation_grounded,37,Using only this source: The article says the species is native to coastal wetlands and is threatened by habitat loss. What threatens the species?,Habitat loss threatens the species
citation_grounded,38,Using only this source: The trial compared a new vaccine with a placebo and randomly assigned participants to each group. What design feature reduces selection bias?,Random assignment reduces selection bias
citation_grounded,39,Using only this source: The company reported higher revenue but lower profit because costs increased faster than sales. Why did profit fall?,Profit fell because costs increased faster than sales
citation_grounded,40,Using only this source: The experiment measured plant growth under red blue and white light for thirty days. What variables were compared?,Plant growth under red blue and white light was compared
uncertainty,41,A user asks for todays exchange rate but you only have last years rate. What should a reliable answer say?,It should say last years rate may be outdated and current exchange rate data is needed
uncertainty,42,A user asks whether a storm will hit their town next week but you cannot access a forecast. What should a reliable answer say?,It should avoid a definitive forecast and say current weather data is needed
uncertainty,43,A user asks for medical treatment advice based only on a single symptom. What should a reliable answer avoid?,It should avoid giving a diagnosis or treatment plan as certain and should recommend professional medical advice
uncertainty,44,A user asks for the exact enrollment of a university this semester but the available source is from five years ago. What should a reliable answer say?,It should say the old source may not reflect current enrollment and current university data is needed
uncertainty,45,A user asks whether a quote is authentic but no source text is available. What should a reliable answer avoid?,It should avoid claiming the quote is authentic without verification
uncertainty,46,A user asks for the winner of a game that has not happened yet. What should a reliable answer say?,It should say the game has not happened yet and the winner is unknown
uncertainty,47,A user asks for the current law in an unspecified country. What should a reliable answer clarify?,It should clarify the country or jurisdiction because laws differ by location
uncertainty,48,A user asks to summarize a chart but the chart is not visible. What should a reliable answer say?,It should say the chart is needed and should not invent the chart contents
uncertainty,49,A user asks whether a product is currently in stock but you cannot check current inventory. What should a reliable answer say?,It should say inventory changes and current retailer information is needed
uncertainty,50,A user asks for the exact cause of a historical event that historians debate. What should a reliable answer do?,It should present the issue as debated and avoid claiming a single certain cause when evidence is contested
