template,id,prompt,model_response,correct_answer,hallucinated
mathematics,1,"If a mathematician claims that all primes are odd, which number challenges this assertion?",2,2,False
mathematics,2,What is the only even prime number that defies the rule that all prime numbers are odd?,2,2,False
mathematics,3,"In the Fibonacci sequence, which two consecutive numbers both equal one?",The numbers are 1 and 1,1 and 1,False
mathematics,4,What is the smallest positive integer that is neither negative nor zero?,1,1,False
mathematics,5,Which mathematical constant is the ratio of a circle's circumference to its diameter?,Pi (π),pi,False
physics,6,```json,4,invalid input,True
physics,7,[,42,"i'm sorry, i need more information to provide an answer",True
physics,8,"""If a cat is sitting on a frictionless surface and suddenly pushes itself off with its paws, which principle of physics explains the cat's motion in the opposite direction?"",",Newton's third law of motion,newton's third law,False
physics,9,"""In a vacuum, if a feather and a hammer are dropped simultaneously from the same height, which one hits the ground first according to classical mechanics?"",",They hit the ground simultaneously,both hit the ground simultaneously,False
physics,10,"""What is the term for the apparent force that acts on a mass moving in a circular path and is directed away from the center of rotation?"",",Centrifugal force,centrifugal force,False
chemistry,11,What element is represented by the symbol 'Hg' in the periodic table?,Mercury,mercury,False
chemistry,12,Which law states that the volume of a gas is inversely proportional to its pressure at constant temperature?,Boyle's Law,boyle's law,False
chemistry,13,What is the common name for the compound with the chemical formula NaCl?,Table salt,table salt,False
chemistry,14,Which chemical element has the highest atomic number that occurs naturally?,Uranium,uranium,False
chemistry,15,What is the term for the minimum energy required to start a chemical reaction?,Activation energy,activation energy,False
philosophy,16,"If a tree falls in a forest and no one is around to hear it, does it make a sound according to the principles of empirical philosophy?","According to empirical philosophy, it does not make a sound because sound is only defined by perception",no sound,True
philosophy,17,"In the realm of existentialism, what is the primary focus when considering the essence of human existence?",The primary focus is on individual freedom and responsibility,individual freedom and choice,True
philosophy,18,"According to dualism, can the mind exist independently of the body, and if so, how does this impact our understanding of consciousness?","Yes, dualism posits that the mind can exist independently of the body, suggesting that consciousness is a non-physical entity",yes,False
philosophy,19,What is the fundamental difference between utilitarianism and deontological ethics when making moral decisions?,"Utilitarianism focuses on the consequences of actions to maximize overall happiness, while deontological ethics emphasizes following moral rules or duties regardless of outcomes",consequences vs. rules,True
philosophy,20,How does Socratic irony function as a method for uncovering truth in philosophical discourse?,"Socratic irony functions by pretending ignorance to stimulate dialogue and expose contradictions, leading others to deeper understanding and truth",feigning ignorance to stimulate critical thinking,True
logic,21,```json,,invalid json,True
logic,22,[,42,please provide a question or context for me to assist you,True
logic,23,"""If a statement about a set is true for the first element and if it's true for one element implies it's true for the next, what logical principle allows us to conclude it's true for all elements?"",",Mathematical induction,mathematical induction,False
logic,24,"""What term describes a logical fallacy where the conclusion is assumed in one of the premises?"",",Begging the question,begging the question,False
logic,25,"""In logic, what is the name of the rule that states if a statement is true, then its double negation is also true?"",",Double negation elimination,double negation elimination,False
astronomy,26,How does the apparent retrograde motion of planets challenge the geocentric model of the universe?,Apparent retrograde motion challenges the geocentric model by implying that planets move in complex loops inconsistent with circular orbits around Earth,epicycles,True
astronomy,27,Why do astronomers use light-years instead of kilometers or miles to measure astronomical distances?,Light-years are used because they conveniently express vast astronomical distances in comprehensible terms,convenience for large distances,True
astronomy,28,What causes the phases of the Moon to change as viewed from Earth?,"The changing positions of the Moon, Earth, and Sun cause the phases of the Moon",the moon's orbit around earth,True
astronomy,29,How does the Doppler effect help astronomers determine whether a star or galaxy is moving away from or towards us?,The Doppler effect causes the light from a star or galaxy moving away to shift towards red and towards blue if moving closer,redshift or blueshift,True
astronomy,30,What is the significance of the Hertzsprung-Russell diagram in understanding the life cycle of stars?,"The Hertzsprung-Russell diagram illustrates the relationship between a star's luminosity and its temperature, revealing its evolutionary stage",star classification and evolution,True
