template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus has a thick atmosphere that traps heat,Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,True,False,True,0.7558606593556053,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.7835384470915168,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,Scattering of sunlight in Earth's atmosphere,Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,False,0.6259301100376543,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces random error but does not automatically remove bias because bias is a systematic error inherent in the research design,Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,True,0.7549833536789012,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,Human error and biases can still occur in the peer review process,Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,False,0.6387903164550196,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income inequality, environmental degradation, or social costs",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,True,0.7523105453265059,embedding
long_form,7,Explain why correlation alone does not prove causation.,Correlation does not imply causation,Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,True,0.7482258248670135,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,Ambiguity in wording,Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.36410612589411673,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Differences in legislation, cultural norms, and societal values",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,False,0.43589794707796153,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,Weather does not equal climate,Climate refers to long term patterns while one cold day is a short term weather event,False,False,False,0.5928789484189787,embedding
