template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides happen due to the gravitational pull of the Moon and the Sun on Earth's water. The Moon has a stronger tidal effect because it is closer to Earth, making its gravitational pull stronger than the Sun's despite its smaller mass",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.9546890093489637,embedding
long_form,2,Explain why seasons occur on Earth.,Seasons occur on Earth due to its tilt on its axis during its orbit around the Sun,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.8607533353430263,embedding
long_form,3,Explain why boiling point changes with altitude.,Boiling point changes with altitude due to the decrease in atmospheric pressure,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9055935724029103,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap destroys the lipid envelope of certain viruses and bacteria, thereby killing them and reducing the spread of infectious disease",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.7747432495933535,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"Randomized controlled trials minimize bias, allowing a clear comparison between the treatment and control group, thus providing reliable evidence on the effectiveness of a treatment",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,True,0.7990304371909258,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,A map can distort the size or shape of countries due to the challenge of representing a 3D surface (the Earth) on a 2D plane,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,True,0.7307029576419072,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,Photosynthesis is important for most ecosystems because it produces oxygen and serves as the primary energy source for life,Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,False,0.714516275890266,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,"If supply and demand are not balanced, it could lead to blackouts or damage to the power grid infrastructure",Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.6654478677589826,embedding
long_form,9,Explain why inflation reduces purchasing power.,"Inflation reduces purchasing power because it increases prices, meaning a given amount of money buys less",Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.8113191317834161,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Eyewitness testimony can be unreliable due to factors like memory distortions, stress, and suggestion",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,True,0.7654280289168329,embedding
