template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides arise from the gravitational gradient across Earth that raises water bulges; because tidal force ∝ M/d^3, the Moon’s much closer distance makes its differential pull stronger than the Sun’s despite its greater mass",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.8701844230773073,embedding
long_form,2,Explain why seasons occur on Earth.,"Earth’s 23.5° axial tilt causes varying solar angle and day length during its orbit, producing seasons",Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,False,0.6933096924275857,embedding
long_form,3,Explain why boiling point changes with altitude.,"Because boiling occurs when a liquid’s vapor pressure equals ambient pressure, and atmospheric pressure decreases with altitude, the boiling point decreases as altitude increases",Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9172030236102817,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap’s surfactants disrupt lipid-enveloped pathogens and emulsify oils, detaching microbes so they rinse away and reducing transmission",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.8073300495030196,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"Randomization with a control group balances confounders and minimizes bias, so outcome differences estimate the treatment’s causal effect",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,True,0.8198731181796146,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,"Because projecting Earth’s curved surface onto a flat map inevitably stretches or compresses regions, distorting size and shape",A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,True,0.7538905867836019,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,"By converting sunlight into chemical energy, photosynthesis creates biomass and oxygen that underpin food webs and sustain aerobic life",Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.8167935107659691,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,"Because the grid stores almost no energy, generation must match load in real time to keep frequency (and voltage) stable; imbalances cause frequency drift, equipment trips, and blackouts",Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,True,0.7949125927125548,embedding
long_form,9,Explain why inflation reduces purchasing power.,Because rising prices mean each unit of currency buys fewer goods and services,Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.7350078758139348,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Because memory is reconstructive and malleable, it’s easily distorted by stress, suggestion/leading questions, expectations, cross-race bias, and time delays, so confidence often exceeds accuracy",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,False,0.4953551388825127,embedding
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,"Because correlation isn’t causation; the drop may be due to confounders, trends, or regression to the mean without a control group",Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends,False,False,False,0.23582329694290738,embedding
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs,False,False,False,,none
causal_reasoning,13,A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,"Correlation isn’t causation; confounders, concurrent shocks, or underlying trends could have lowered unemployment",Unemployment can change because of monetary policy global demand demographics industry trends stimulus business cycles or measurement changes,False,False,False,0.6096375344877927,embedding
causal_reasoning,14,A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,A randomized trial showing patients sent reminders have lower no-show rates than a simultaneous no-reminder control group,A randomized comparison between patients who did and did not receive reminders with similar baseline conditions would strengthen the claim,False,False,True,0.8082995925951886,embedding
causal_reasoning,15,A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,"Weather/hydrology (rainfall, flushing, dilution), temperature/seasonality, increased macrophy",Weather rainfall water temperature wastewater changes invasive species monitoring changes and natural variation could also affect algae blooms,False,False,False,0.5709460308224927,embedding
causal_reasoning,16,A company raises wages and employee turnover falls. Why might wages not be the only cause?,"Other concurrent changes or external trends could be confounders, so the drop may not be caused solely by higher wages",Turnover may also fall because of management changes benefits scheduling hiring conditions labor market shifts or workplace culture,False,False,False,0.5625914915957326,embedding
causal_reasoning,17,A state changes graduation requirements and graduation rates rise. What should be checked before claiming the policy caused the rise?,,Researchers should check cohort differences grading standards dropout definitions school funding tutoring programs and long term trends,False,False,False,,none
causal_reasoning,18,A restaurant changes its menu and receives better reviews. Why does this not prove the menu caused the better reviews?,Correlation doesn’t imply causation; uncontrolled confounders could explain the improvement,Reviews may change because of service pricing staff marketing reviewer selection seasonality or changes in customer expectations,False,False,False,0.16872643202907825,embedding
causal_reasoning,19,A new pesticide is used and crop yield increases. What would help determine whether the pesticide caused the increase?,Randomized untreated control plots under identical conditions,A controlled comparison with similar fields weather soil crop variety irrigation and pest pressure would help establish causation,False,False,False,0.10578861726342989,embedding
causal_reasoning,20,A city opens a new park and nearby home prices rise. Why is causation uncertain?,"Confounders could be causing the rise, so correlation with the park doesn’t prove causation",Home prices may rise because of broader market trends development transit changes school quality neighborhood investment or selection effects,False,False,False,0.2841657116650837,embedding
synthesis,21,Compare renewable energy and fossil fuels.,Renewables are clean and inexhaustible but intermittent and storage-dependent; fossil fuels are reliable and energy-dense but finite and carbon-intensive,Renewable energy comes from sources replenished on human timescales while fossil fuels are finite carbon based fuels formed over geologic time and release greenhouse gases when burned,False,False,False,0.5855792835877502,embedding
synthesis,22,Compare mitosis and meiosis.,,Mitosis produces genetically identical body cells while meiosis produces gametes with half the chromosome number and genetic variation,False,False,False,,none
synthesis,23,Compare conduction convection and radiation as heat transfer methods.,"Conduction transfers heat by direct contact in solids, convection by bulk fluid motion in liquids/gases, and radiation by electromagnetic waves without needing a medium",Conduction transfers heat through direct contact convection transfers heat through fluid motion and radiation transfers energy by electromagnetic waves,False,False,True,0.8968162153485428,embedding
synthesis,24,Compare primary sources and secondary sources in history.,"Primary sources are original contemporaneous records or artifacts; secondary sources are later interpretations, analyses, or syntheses of those originals",Primary sources come directly from the time period or participants while secondary sources interpret analyze or summarize primary sources,False,False,True,0.7951867147960765,embedding
synthesis,25,Compare civil law and criminal law.,Civil law compensates private wrongs; criminal law punishes public wrongs,Civil law resolves disputes between parties and usually involves remedies while criminal law prosecutes offenses against the state and can involve punishment,False,False,False,0.5247371296201709,embedding
synthesis,26,Compare accuracy and precision in measurement.,Accuracy is closeness to the true value; precision is closeness of repeated measurements to each other,Accuracy is closeness to the true value while precision is consistency or closeness of repeated measurements to each other,False,False,True,0.938874484976019,embedding
synthesis,27,Compare the roles of DNA and RNA in protein production.,,DNA stores genetic information while RNA carries and helps use that information to make proteins,False,False,False,,none
synthesis,28,Compare supply and demand in a market.,"Demand is the quantity consumers will buy at various prices (downward-sloping), while supply is the quantity producers will sell at various prices (upward-sloping); their intersection sets the market equilibrium",Supply is the quantity producers are willing to sell at different prices while demand is the quantity consumers are willing to buy at different prices,False,False,True,0.8563754725741081,embedding
synthesis,29,Compare a scientific hypothesis and a scientific theory.,"A hypothesis is a tentative, testable explanation for a specific phenomenon; a theory is a well-substantiated, widely supported explanatory framework that integrates evidence and makes broad predictions",A hypothesis is a testable proposed explanation while a theory is a broad well supported explanatory framework,False,False,True,0.8708028700474824,embedding
synthesis,30,Compare weathering and erosion.,Weathering breaks rock in place; erosion removes and transports the debris,Weathering breaks down rock in place while erosion transports weathered material by water wind ice or gravity,False,False,True,0.8777411918815711,embedding
citation_grounded,31,Using only this source: The study found that students who slept at least eight hours had higher average test scores but the authors warned that the design was observational. What conclusion is supported?,,Students who slept at least eight hours had higher average test scores but the study does not establish causation,False,False,False,,none
citation_grounded,32,Using only this source: The bridge was completed in 1974 renovated in 2008 and closed to cars in 2020. When was the bridge renovated?,2008,2008,False,True,True,1.0,embedding
citation_grounded,33,Using only this source: The medication reduced symptoms in adults but the trial excluded children and pregnant patients. What limitation should be mentioned?,Limited generalizability to children and pregnant patients,The trial excluded children and pregnant patients so the results may not apply to those groups,False,False,False,0.5625598651370727,embedding
citation_grounded,34,Using only this source: The report says solar output increased by 12 percent while wind output decreased by 4 percent. Which energy source increased?,Solar,Solar output increased,False,False,False,0.6322747803302463,embedding
citation_grounded,35,Using only this source: The survey included 900 online respondents recruited through voluntary participation. What sampling limitation should be noted?,Self-selected online sample; not representative (voluntary-response bias),The survey used voluntary online respondents which may create selection bias,True,False,True,0.7741007882584913,embedding
citation_grounded,36,Using only this source: The policy was announced in March approved in June and implemented in September. When was the policy implemented?,September,September,False,True,True,1.0,embedding
citation_grounded,37,Using only this source: The article says the species is native to coastal wetlands and is threatened by habitat loss. What threatens the species?,Habitat loss,Habitat loss threatens the species,False,False,True,0.8796773396879911,embedding
citation_grounded,38,Using only this source: The trial compared a new vaccine with a placebo and randomly assigned participants to each group. What design feature reduces selection bias?,Randomization,Random assignment reduces selection bias,False,False,False,0.5896643847301158,embedding
citation_grounded,39,Using only this source: The company reported higher revenue but lower profit because costs increased faster than sales. Why did profit fall?,Costs increased faster than sales,Profit fell because costs increased faster than sales,False,False,True,0.7825110741179832,embedding
citation_grounded,40,Using only this source: The experiment measured plant growth under red blue and white light for thirty days. What variables were compared?,"Light color (red, blue, white) and plant growth",Plant growth under red blue and white light was compared,False,False,True,0.8779182959352749,embedding
uncertainty,41,A user asks for todays exchange rate but you only have last years rate. What should a reliable answer say?,"Disclose you lack today’s rate, give the dated last‑year rate, and suggest checking an up‑to‑date source",It should say last years rate may be outdated and current exchange rate data is needed,False,False,False,0.5851978421365928,embedding
uncertainty,42,A user asks whether a storm will hit their town next week but you cannot access a forecast. What should a reliable answer say?,,It should avoid a definitive forecast and say current weather data is needed,False,False,False,,none
uncertainty,43,A user asks for medical treatment advice based only on a single symptom. What should a reliable answer avoid?,Definitive diagnosis or specific treatment recommendations,It should avoid giving a diagnosis or treatment plan as certain and should recommend professional medical advice,True,False,False,0.7075331090354304,embedding
uncertainty,44,A user asks for the exact enrollment of a university this semester but the available source is from five years ago. What should a reliable answer say?,,It should say the old source may not reflect current enrollment and current university data is needed,False,False,False,,none
uncertainty,45,A user asks whether a quote is authentic but no source text is available. What should a reliable answer avoid?,Speculation and invented citations,It should avoid claiming the quote is authentic without verification,False,False,False,0.23837375701969526,embedding
uncertainty,46,A user asks for the winner of a game that has not happened yet. What should a reliable answer say?,The winner is unknown,It should say the game has not happened yet and the winner is unknown,False,False,False,0.6560862801087038,embedding
uncertainty,47,A user asks for the current law in an unspecified country. What should a reliable answer clarify?,,It should clarify the country or jurisdiction because laws differ by location,False,False,False,,none
uncertainty,48,A user asks to summarize a chart but the chart is not visible. What should a reliable answer say?,,It should say the chart is needed and should not invent the chart contents,False,False,False,,none
uncertainty,49,A user asks whether a product is currently in stock but you cannot check current inventory. What should a reliable answer say?,I can’t check real-time stock; verify availability on the retailer’s site or by contacting the store,It should say inventory changes and current retailer information is needed,False,False,False,0.4143125990126587,embedding
uncertainty,50,A user asks for the exact cause of a historical event that historians debate. What should a reliable answer do?,"Acknowledge the dispute, present multiple well-sourced interpretations with their evidence, and avoid asserting a single definitive cause",It should present the issue as debated and avoid claiming a single certain cause when evidence is contested,False,False,False,0.5843639444947292,embedding
