template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Tides occur due to gravitational forces, with the Moon having a stronger effect than the Sun because it is closer to Earth",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.8781970097917728,embedding
long_form,2,Explain why seasons occur on Earth.,Seasons occur due to Earth's axial tilt,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.847557172923872,embedding
long_form,3,Explain why boiling point changes with altitude.,Boiling point decreases with altitude due to lower atmospheric pressure,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9289042753043429,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap removes and kills pathogens on hands,Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.8079756685675074,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,Randomized controlled trials minimize bias and establish causality,Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,True,0.8272455257640567,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,Maps distort size or shape due to projecting a 3D sphere on a 2D surface,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.611097135723601,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,Photosynthesis produces oxygen and organic materials that support life,Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.7804606075296476,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,Imbalance can lead to blackouts or equipment damage,Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.47579541064953784,embedding
long_form,9,Explain why inflation reduces purchasing power.,"Inflation causes prices to rise, reducing the amount of goods and services a unit of currency can buy",Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.8267040114206288,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,Eyewitness testimony can be unreliable due to memory distortion and influence by external factors,Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,True,0.7484771258307297,embedding
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends,False,False,False,0.08223332768216807,embedding
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,Improved teaching methods,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs,False,False,False,0.28347665093907176,embedding
