id,prompt,correct_answer
1,"What is the official IUPAC name of element 113?",nihonium
2,"What is the SCOPUS Source ID for the journal Science?",22678
3,"In which year did the EU’s GDPR come into force?",2018
4,"What is the pKa of acetic acid (CH₃COOH)?",4.76
5,"Who first proposed the Chandrasekhar limit?",Subrahmanyan Chandrasekhar
6,"What does the Gödel metric describe in general relativity?","A rotating cosmological solution with closed timelike curves"
7,"Approximately how long, in minutes, is Beethoven’s Symphony No. 9?",70
8,"What is the annual parallax of Proxima Centauri in arcseconds?",0.7687
9,"How is the IPv6 loopback address written in full hexadecimal?","0000:0000:0000:0000:0000:0000:0000:0001"
10,"Who composed the 24 Preludes, Op. 28, for solo piano?",Frédéric Chopin
11,"At what altitude (in km) is the Kármán line defined?",100
12,"Which treaty ended the Russo-Japanese War?",Treaty of Portsmouth
13,"How many days difference existed between the Julian and Gregorian calendars in 1582?",10
14,"What is the common (trivial) name for butan-2-ol?",sec-butanol
15,"Who first formulated the principle of least action?",Pierre Louis Maupertuis
16,"What is the exact value of ζ(2), the Riemann zeta function at 2?","π²/6"
17,"What is the UN M49 numeric code for “Western Europe”?",155
18,"Who first detected the cosmic microwave background radiation?",Arno Penzias and Robert Wilson
19,"What is the Baudot code used for?",Teleprinter/telex character encoding
20,"What are the latitude and longitude (in degrees) of the Geographic South Pole?","90° S, 0° E"
21,"Who first synthesized buckminsterfullerene (C₆₀)?","Harold Kroto, Robert Curl, Richard Smalley"
22,"State the Hardy–Weinberg equilibrium equation.","p² + 2pq + q² = 1"
23,"Who coined the term “Big Bang” (pejoratively)?",Fred Hoyle
24,"What is the standard atomic mass of deuterium?",2.014102
25,"What does the acronym “LIDAR” stand for?","Light Detection And Ranging"
26,"What is the molar mass of glucose (C₆H₁₂O₆)?","180.16 g/mol"
27,"What is the Euler characteristic of a torus?",0
28,"Who first posed the P vs NP problem?",Stephen Cook
29,"What economic measure represents the total value of goods/services produced within a nation’s borders in a year?","Gross Domestic Product (GDP)"
30,"What is the formal name of the 1935 U.S. “Wagner Act”?","National Labor Relations Act"
31,"Explain the difference between a cyclone and an anticyclone.","Cyclone: low-pressure, inward-spiraling winds; anticyclone: high-pressure, outward-spiraling winds"
32,"What was Dmitri Mendeleev’s middle name?",Ivanovich
33,"In what year was Chernobyl’s New Safe Confinement completed?",2016
34,"Which stereoisomeric form (D or L) do most biological amino acids adopt?",L
35,"Who first formulated the Navier–Stokes equations?","Claude-Louis Navier and George Gabriel Stokes"
36,"What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?",8.2
37,"What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?","10⁻²¹"
38,"What is the original French title of Proust’s In Search of Lost Time?","À la recherche du temps perdu"
39,"What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?","Banach–Tarski paradox"
40,"What is the ISO 4217 currency code for the Venezuelan bolívar soberano?",VES
41,"What is the speed of sound in dry air at 20 °C (in m/s)?",343
42,"Write down the Euler–Lagrange equation.","(d/dx)(∂L/∂y′) – ∂L/∂y = 0"
43,"Who first measured the speed of light using a rotating-mirror experiment?",Léon Foucault
44,"What is the name of the galaxy cluster that contains the Milky Way?",Local Group
45,"For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?",2.93
46,"Who introduced the concept of the memristor?",Leon Chua
47,"Draw the structural (skeletal) formula of ascorbic acid (vitamin C).","C1=CC(=C(C(=C1O)O)O)C(=O)O (skeletal SMILES)"
48,"What protein complex in eukaryotes is responsible for initiating transcription?",RNA polymerase II
49,"What is the Sackur–Tetrode equation used to calculate?","Absolute entropy of a monatomic ideal gas"
50,"What does the Derjaguin approximation estimate in colloid science?","Force (interaction energy) between curved surfaces from planar-surface data"


