template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus is hotter on average than Mercury because it has a thick atmosphere that traps heat, causing a greenhouse effect",Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.9425206037229967,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Antibiotics target bacterial cells, not viruses",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.8201681501257124,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"This is due to a phenomenon called Rayleigh scattering, where shorter-wavelength light (blue and violet) is scattered more than longer-wavelength light (red, orange, and yellow) in the Earth's atmosphere. However, the sky appears blue instead of violet because our eyes are more sensitive to blue light and because sunlight reaches us more at the blue part of the spectrum than the violet part. At sunset, the light has to pass through more of Earth's atmosphere, which scatters the shorter-wavelength light out of our line of sight, allowing the longer-wavelength (red, orange) light to reach us",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.8614285092465193,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error by improving the representativeness of the sample, but it doesn't automatically remove bias because bias is based on systematic errors that are not affected by sample size",Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,False,0.7188697719900025,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves scientific reliability by exposing research to scrutiny by other experts in the field, potentially catching errors or biases; however, it doesn't guarantee correctness because reviewers can also miss errors or be influenced by their own biases",Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,True,0.7653472467198985,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income inequality, environmental degradation, unpaid domestic and volunteer work, or social well-being",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,True,0.8413206993092165,embedding
long_form,7,Explain why correlation alone does not prove causation.,"Correlation only indicates a relationship between two variables, not that one variable's change directly causes the other's change",Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,False,0.5707710888483767,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading can incorrectly mark a correct answer wrong because it doesn't account for synonyms, alternative phrasing, or minor spelling mistakes",Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.6758654602915362,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Different jurisdictions may have varying legal traditions, societal norms, or legislative priorities",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,True,0.7477632161852205,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not single events",Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.8678384217603538,embedding
causal_reasoning,11,A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,Scores may have risen because of other factors such as easier tests different students extra study teacher changes or broader trends,False,False,False,0.13090497735713938,embedding
causal_reasoning,12,A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other potential factors influencing air pollution levels,Researchers should check weather industrial emissions seasonal trends public transit changes traffic displacement and comparison areas,False,False,False,0.3650675279284816,embedding
causal_reasoning,13,A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other factors may have changed at the same time,Other changes such as staffing training patient mix equipment reporting practices or hospital policy could also affect complications,False,False,False,0.3057585771707761,embedding
causal_reasoning,14,A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A consistent pattern of increased sales following similar past advertisements,A randomized test comparison market pre trend data seasonality controls and information about pricing distribution and competitor behavior would strengthen the claim,False,False,False,0.3957729315342122,embedding
causal_reasoning,15,A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,Grades could be affected by study time sleep course difficulty motivation tutoring prior ability or other confounding factors,False,False,False,0.11933523256995625,embedding
causal_reasoning,16,A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Changes in global climate, increased rainfall, variations in sun's radiation, and changes in wind patterns",Weather variation land use changes measurement differences irrigation pollution changes and broader climate patterns should be considered,False,False,False,0.5151264463720299,embedding
causal_reasoning,17,A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,The test set could have easier questions,The test mix sampling method scoring method abstention rate or prompt difficulty may have changed,False,False,False,0.486956718571759,embedding
