prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus is hotter due to its thick atmosphere rich in carbon dioxide, causing a strong greenhouse effect",1,False
Explain why antibiotics do not work against viral infections.,Antibiotics target bacterial structures/functions not present in viruses,1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"The sky appears blue during the day due to Rayleigh scattering, which scatters shorter blue wavelengths, and red or orange near sunset because the sun's light passes through more atmosphere, scattering shorter wavelengths and leaving longer red wavelengths",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size averages out random variations but does not correct systematic errors,1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves reliability by ensuring research is evaluated by experts, but human error and bias can still occur",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP ignores income distribution, environmental impact, and non-market activities",1,False
Explain why correlation alone does not prove causation.,Correlation does not prove causation because a third variable may influence both correlated variables,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,Minor variations or synonyms in phrasing,1,False
Explain why a legal rule may differ between jurisdictions.,"Legal rules may differ due to varying societal values, historical influences, and legislative priorities",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate is the long-term average of weather over time, not a single weather event",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other factors influencing air quality,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other variables such as improved staff training or increased resources may contribute,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Controlled experiment showing increased sales only with the advertisement,0,True
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Natural climate variations, increased cloud cover, changes in land use, or reduced urban heat effects",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,"Other factors such as random variation, data quality changes, or external influences could contribute",1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A/B testing,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is long-term patterns,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics treat bacteria, not viruses",1,False
Compare renewable and nonrenewable energy sources.,Renewable energy is sustainable; nonrenewable energy is finite,1,False
Compare judicial review and legislation.,"Judicial review interprets the law, while legislation creates the law",1,False
Compare inflation and unemployment as economic indicators.,"Inflation measures price levels, while unemployment measures job availability",1,False
Compare precision and recall in a medical screening test.,"Precision measures the proportion of true positive results among all positive results, while recall measures the proportion of true positive results among all actual positive cases",1,False
Compare primary and secondary sources in historical research.,"Primary sources are direct evidence from the time period, while secondary sources analyze or interpret primary sources",1,False
Compare a theory and a hypothesis in science.,"A theory is a well-substantiated explanation, while a hypothesis is a testable prediction",1,False
Compare natural selection and genetic drift.,"Natural selection is non-random and adaptive, while genetic drift is random and non-adaptive",1,False
Compare open loop and closed loop control systems.,Open loop systems operate without feedback; closed loop systems use feedback to adjust for desired output,1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,Lack of a placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Other factors could have influenced the emissions decrease,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
