template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Atmosphere comprised mostly of carbon dioxide on Venus causes it to have a stronger greenhouse effect,Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,False,0.7143300936311834,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,Different mechanism of action,Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,False,0.1977660993468425,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"Light from the sun is scattered by air molecules and particles during the day, making the sky appear blue. At sunset, the sun's light has to pass through more atmosphere, causing shorter blue and green wavelengths to scatter and leaving mostly red and orange light visible",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.8850985726820887,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces random error but does not automatically remove bias because bias is a systematic error that is inherent to the data collection method or process,Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,False,0.68419499312372,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,Minimizes bias and errors in research articles,Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,False,0.39759623049634424,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not take into account factors such as income distribution, environmental quality, and leisure time",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,True,0.7406204877774172,embedding
long_form,7,Explain why correlation alone does not prove causation.,Correlation does not prove causation due to the possibility of a third variable influencing both factors,Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,False,0.6676278400842253,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,Overlapping correctness,Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.19112259922676555,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,Jurisdictional boundaries,Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,False,0.45648447654626934,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,"Climate is determined by long-term patterns, not short-term fluctuations",Climate refers to long term patterns while one cold day is a short term weather event,False,False,False,0.6910954563951119,embedding
