prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus is hotter on average than Mercury because it has a thick atmosphere that traps heat, creating a greenhouse effect",1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target and kill bacteria, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"This is due to a phenomenon known as Rayleigh scattering, where shorter-wavelength light (blue and violet) is scattered more than longer-wavelength light (red, orange, and yellow) by the atmosphere. During sunset, the sun is lower in the sky, meaning its light has to pass through more atmosphere, scattering more short-wavelength light and allowing more long-wavelength light to reach our eyes",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error by making the sample more representative of the population, but does not remove bias because bias is a systematic error not related to sample size",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves scientific reliability by exposing research to scrutiny from multiple experts, which can catch errors or biases, but it cannot guarantee correctness as reviewers may miss mistakes or be influenced by their own biases",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income inequality, non-market activities, or environmental damage",1,False
Explain why correlation alone does not prove causation.,"Correlation only indicates a relationship between two variables, not that one variable necessarily causes the other",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,Exact match grading can incorrectly mark a correct answer wrong due to slight variations in wording or spelling,1,False
Explain why a legal rule may differ between jurisdictions.,"Different jurisdictions may have different laws due to cultural, historical, social, or political differences",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not individual events",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,There could be other factors influencing the rise in test scores,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other possible causes for the decrease in air pollution,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"There could be other variables at play, such as improved training, advancements in technology, or changes in patient demographics",1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Sales data showing a consistent increase following the advertisement launch,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Changes in global weather patterns, increased cloud cover, or variations in ocean temperatures",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,The test set could be easier or different from the original data,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Conducting an experiment with control and test groups before and after the algorithm change,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather refers to short-term atmospheric conditions while climate refers to long-term weather patterns,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria are susceptible to antibiotics, whereas viruses are not",1,False
Compare renewable and nonrenewable energy sources.,"Renewable energy sources are replenishable in a short period of time and have less environmental impact, while nonrenewable energy sources are finite and can have significant environmental impact",1,False
Compare judicial review and legislation.,"Judicial review is the power of courts to examine the actions of the legislative and executive branches and determine their constitutionality, while legislation refers to laws that are passed by the legislative branch",1,False
Compare inflation and unemployment as economic indicators.,"Inflation measures the rate at which the general level of prices for goods and services is rising, while unemployment measures the number of people without jobs who are actively seeking work",1,False
Compare precision and recall in a medical screening test.,"Precision is the proportion of true positive results out of all positive results, while recall is the proportion of true positive results out of all actual positive cases",1,False
Compare primary and secondary sources in historical research.,"Primary sources are original, firsthand accounts of an event, while secondary sources are interpretations or analyses based on primary sources",1,False
Compare a theory and a hypothesis in science.,"A theory is a well-substantiated explanation of some aspect of the natural world, based on a body of facts that have been repeatedly confirmed through observation and experiment, while a hypothesis is a suggested solution for an unexplained occurrence that does not fit into current accepted scientific theory",1,False
Compare natural selection and genetic drift.,"Natural selection is a process where traits that enhance survival and reproduction become more common over generations, while genetic drift is a random change in allele frequencies that happens in small populations",1,False
Compare open loop and closed loop control systems.,"Open loop control systems do not use feedback to determine if output has reached the desired goal, while closed loop control systems use feedback to adjust their output to reach and maintain the desired goal",1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,The trial did not include a placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Both emissions decrease and production decrease occurred simultaneously,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,By a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine reduces fever in children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,The users were not randomly assigned,1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,An association between sleep duration and grades is supported,0,True
Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,The experiment does not account for growth under other types of light,1,False
A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,The information is not currently available,1,False
A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Giving a specific diagnosis,0,True
A user asks for the contents of a document that was not provided. What should a reliable answer say?,The content of the document is unknown,1,False
A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,The applicable jurisdiction,1,False
A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,The value changes daily and cannot be provided exactly at this time,1,False
A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,Unable to provide current information,1,False
A user asks for a citation but no source is available. What should a reliable answer avoid?,Speculation,1,False
A user asks to identify an object from an unclear image. What should a reliable answer avoid?,Speculation,1,False
A user asks who will win a future election. What should a reliable answer say?,It is impossible to predict,1,False
A user asks whether two technical terms are equivalent but context is missing. What should a reliable answer say?,"Without context, it's impossible to accurately determine if the two terms are equivalent",1,False
Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides happen due to the gravitational pull of the Moon and the Sun on Earth's water. The Moon has a stronger tidal effect because it is closer to Earth, making its gravitational pull stronger than the Sun's despite its smaller mass",1,False
Explain why seasons occur on Earth.,Seasons occur on Earth due to its tilt on its axis during its orbit around the Sun,1,False
Explain why boiling point changes with altitude.,Boiling point changes with altitude due to the decrease in atmospheric pressure,1,False
Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap destroys the lipid envelope of certain viruses and bacteria, thereby killing them and reducing the spread of infectious disease",1,False
Explain why randomized controlled trials are useful for testing whether a treatment works.,"Randomized controlled trials minimize bias, allowing a clear comparison between the treatment and control group, thus providing reliable evidence on the effectiveness of a treatment",1,False
Explain why a map can distort the size or shape of countries.,A map can distort the size or shape of countries due to the challenge of representing a 3D surface (the Earth) on a 2D plane,1,False
Explain why photosynthesis is important for most ecosystems.,Photosynthesis is important for most ecosystems because it produces oxygen and serves as the primary energy source for life,1,False
Explain why electric power grids need supply and demand to stay balanced.,"If supply and demand are not balanced, it could lead to blackouts or damage to the power grid infrastructure",1,False
Explain why inflation reduces purchasing power.,"Inflation reduces purchasing power because it increases prices, meaning a given amount of money buys less",1,False
Explain why eyewitness testimony can be unreliable.,"Eyewitness testimony can be unreliable due to factors like memory distortions, stress, and suggestion",1,False
A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,1,False
A school starts serving breakfast and attendance improves. What else could explain the improvement?,Changes in teaching methods,1,False
A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Correlation does not imply causation,1,False
A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,A significant decrease in missed appointments corresponds directly with the implementation of the reminder system,1,False
A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,"Changes in weather, introduction of algae-eating species, or alterations in water chemistry",1,False
A company raises wages and employee turnover falls. Why might wages not be the only cause?,"Other factors such as improved working conditions, benefits, or employee morale may also contribute to lower turnover",1,False
