id,prompt,model_response,correct_answer,hallucinated
1,What is the official IUPAC name of element 113?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,nihonium,True
2,What is the SCOPUS Source ID for the journal Science?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,22678,True
3,In which year did the EU’s GDPR come into force?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2018,True
4,What is the pKa of acetic acid (CH₃COOH)?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,4.76,True
5,Who first proposed the Chandrasekhar limit?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Subrahmanyan Chandrasekhar,True
6,What does the Gödel metric describe in general relativity?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A rotating cosmological solution with closed timelike curves,True
7,"Approximately how long, in minutes, is Beethoven’s Symphony No. 9?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,70,True
8,What is the annual parallax of Proxima Centauri in arcseconds?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0.7687,True
9,How is the IPv6 loopback address written in full hexadecimal?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0000:0000:0000:0000:0000:0000:0000:0001,True
10,"Who composed the 24 Preludes, Op. 28, for solo piano?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Frédéric Chopin,True
11,At what altitude (in km) is the Kármán line defined?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,100,True
12,Which treaty ended the Russo-Japanese War?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Treaty of Portsmouth,True
13,How many days difference existed between the Julian and Gregorian calendars in 1582?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,10,True
14,What is the common (trivial) name for butan-2-ol?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,sec-butanol,True
