template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus is hotter on average than Mercury because it has a thick atmosphere that traps heat, creating a greenhouse effect",Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.9419197227723788,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Antibiotics target and kill bacteria, not viruses",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.8151675256731448,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"This is due to a phenomenon known as Rayleigh scattering, where shorter-wavelength light (blue and violet) is scattered more than longer-wavelength light (red, orange, and yellow) by the atmosphere. During sunset, the sun is lower in the sky, meaning its light has to pass through more atmosphere, scattering more short-wavelength light and allowing more long-wavelength light to reach our eyes",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.8599884518443842,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error by making the sample more representative of the population, but does not remove bias because bias is a systematic error not related to sample size",Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,False,0.7002952226138159,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves scientific reliability by exposing research to scrutiny from multiple experts, which can catch errors or biases, but it cannot guarantee correctness as reviewers may miss mistakes or be influenced by their own biases",Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,True,0.7597239691147694,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income inequality, non-market activities, or environmental damage",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,True,0.7494413480263357,embedding
long_form,7,Explain why correlation alone does not prove causation.,"Correlation only indicates a relationship between two variables, not that one variable necessarily causes the other",Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,False,0.6548457128511025,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,Exact match grading can incorrectly mark a correct answer wrong due to slight variations in wording or spelling,Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.6476977515325857,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Different jurisdictions may have different laws due to cultural, historical, social, or political differences",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,False,0.6400410570547783,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not individual events",Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.8388852585261722,embedding
