prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Because Venus’s dense CO2 atmosphere drives a runaway greenhouse effect that traps heat continuously, while airless Mercury rapidly loses heat to space, making Venus’s average temperature higher",1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacterial-specific structures and metabolic pathways that viruses lack, so they cannot inhibit viral replication",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"Because Rayleigh scattering favors short (blue) wavelengths, the daytime sky appears blue, but at sunset the longer atmospheric path removes most blue so longer (red/orange) wavelengths dominate",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Because larger samples average out random noise, shrinking sampling variability (SE ∝ 1/√n), while bias arises from systematic errors (e.g., selection or measurement) that persist regardless of n",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review applies expert scrutiny that filters obvious flaws and improves rigor, but reviewers can miss errors, share biases, and rarely replicate results, so findings can still be wrong",1,False
Explain why GDP is an incomplete measure of national well being.,"Because it measures market production, not income distribution, unpaid work, environmental costs, leisure, health, or other nonmarket and sustainability factors that determine well-being",1,False
Explain why correlation alone does not prove causation.,"Because correlation shows association, not causality; confounders, reverse causality, or chance can create spurious links",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Because it demands an identical string, equivalent answers phrased or formatted differently are marked wrong",1,False
Explain why a legal rule may differ between jurisdictions.,"Because each jurisdiction has different lawmakers, precedents, and policy priorities shaped by its history and culture",1,False
Explain why climate is not disproved by one unusually cold day.,"Because climate is long-term trends, while a single cold day is short-term variability",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,"Because correlation isn’t causation; without a control group or randomization, confounders could explain the rise",1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Because other concurrent changes, secular trends, the Hawthorne effect, regression to the mean, or random variation could also reduce",1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A randomized A/B test showing higher sales in ad‑exposed markets than matched controls,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation doesn’t prove causation; confounders or reverse causality may explain the improvement,1,False
