prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Because Venus’s dense CO2 atmosphere and cloud cover cause a runaway greenhouse effect that traps heat, whereas airless Mercury rapidly reradiates heat to space",1,False
Explain why antibiotics do not work against viral infections.,"Viruses lack the bacterial targets (cell walls, ribosomes, metabolic pathways) that antibiotics disrupt and replicate inside host cells, so antibiotics are ineffective",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"Because air molecules Rayleigh‑scatter short (blue) wavelengths most, the sky looks blue by day, but at sunset the longer path scatters the blues away, leaving predominantly red/orange light",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Larger samples average out random noise, shrinking standard errors, but bias is a systematic shift from design/measurement/selection that does not average out, yielding a more precise estimate of the wrong value",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"By subjecting methods and reasoning to expert scrutiny, peer review filters many errors and boosts reliability, yet fallible, time‑limited reviewers without full data can miss bias, fraud, or subtle flaws, so findings remain provisional and sometimes wrong",1,False
Explain why GDP is an incomplete measure of national well being.,"Because it measures market output, not how benefits are distributed or sustained, omitting nonmarket work, environmental costs, leisure, underground activity, and broader health, education, and quality‑of‑life outcomes",1,False
Explain why correlation alone does not prove causation.,"Because correlation may result from confounders, reverse causality, or chance, it does not establish causation",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"It matches exact strings, not meaning, so correct variants (synonyms, formatting, punctuation) get marked wrong",1,False
Explain why a legal rule may differ between jurisdictions.,"Because each jurisdiction independently legislates and interprets law according to its own history, values, institutions, and policy priorities",1,False
Explain why climate is not disproved by one unusually cold day.,Climate is long-term averages; one cold day is short-term weather noise,1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,"Seasonality/weather, other simultaneous policies or emission changes, preexisting trends, and monitoring/measurement changes",1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A randomized A/B test showing a significant sales lift in ad‑exposed groups versus concurrent controls,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,"Correlation doesn’t imply causation; confounders (e.g., studying more) could explain the improvement",1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A randomized A/B test assigning users to the old vs. new algorithm and comparing satisfaction,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Because correlation does not imply causation; confounders or concurrent trends could explain the drop,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,,1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is their long-term average over 30+ years,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,Bacteria can be treated with antibiotics; viruses cannot,1,False
Compare renewable and nonrenewable energy sources.,"Renewables replenish on human timescales and typically emit less; nonrenewables are finite, deplete with use, and usually produce higher emissions and waste",1,False
Compare judicial review and legislation.,"Legislation by elected legislatures enacts general rules; judicial review by courts interprets and tests them against the constitution, striking down unconstitutional ones",1,False
Compare inflation and unemployment as economic indicators.,,1,False
Compare precision and recall in a medical screening test.,Precision (PPV) is the proportion of positive test results that are true cases; recall (sensitivity) is the proportion of all diseased patients the test correctly identifies,1,False
Compare primary and secondary sources in historical research.,Primary sources are contemporaneous firsthand evidence; secondary sources are later analyses or interpretations of them,1,False
Compare a theory and a hypothesis in science.,"A hypothesis is a tentative, testable claim; a theory is a well-substantiated explanatory framework",1,False
Compare natural selection and genetic drift.,"Natural selection is a nonrandom, adaptive change in allele frequencies via differential fitness, whereas genetic drift is random, nonadaptive allele-frequency fluctuation strongest in small populations",1,False
Compare open loop and closed loop control systems.,,1,False
