template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus has a thicker atmosphere than Mercury, causing a stronger greenhouse effect",Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.8156727482193967,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.7835384470915168,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,Scattering of sunlight by Earth's atmosphere,Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,False,0.6067237974429499,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error due to more data points, but does not address underlying issues causing bias",Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,False,0.6776420513905982,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review involves experts in the field evaluating research, providing feedback, and identifying potential flaws or errors",Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,False,0.6613597311817851,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not account for non-market transactions, income inequality, environmental degradation, and overall quality of life",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,True,0.7330911152041093,embedding
long_form,7,Explain why correlation alone does not prove causation.,Correlation does not prove causation because it does not account for other variables or factors that may be influencing both the variables being studied,Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,True,0.7496287072681216,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,"Synonyms, misspellings, and formatting differences can cause exact match grading to mark a correct answer wrong",Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.564820771264543,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,Different laws and regulations,Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,True,0.7376866686920985,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,"Weather is the condition of the atmosphere at a specific time and place, while climate is the long-term average of weather patterns in a region",Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.7381858002967957,embedding
causal_reasoning,11,A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,Scores may have risen because of other factors such as easier tests different students extra study teacher changes or broader trends,False,False,False,0.13090497735713938,embedding
causal_reasoning,12,A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Traffic data,Researchers should check weather industrial emissions seasonal trends public transit changes traffic displacement and comparison areas,False,False,False,0.39895137102769246,embedding
causal_reasoning,13,A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,The checklist was not properly implemented or followed,Other changes such as staffing training patient mix equipment reporting practices or hospital policy could also affect complications,False,False,False,0.08614078583322296,embedding
causal_reasoning,14,A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A control group in the study,A randomized test comparison market pre trend data seasonality controls and information about pricing distribution and competitor behavior would strengthen the claim,False,False,False,0.114203134944307,embedding
causal_reasoning,15,A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,Grades could be affected by study time sleep course difficulty motivation tutoring prior ability or other confounding factors,False,False,False,0.11933523256995625,embedding
causal_reasoning,16,A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,1. Climate change effects,Weather variation land use changes measurement differences irrigation pollution changes and broader climate patterns should be considered,False,False,False,0.48507289556185645,embedding
causal_reasoning,17,A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Data discrepancy,The test mix sampling method scoring method abstention rate or prompt difficulty may have changed,False,False,False,0.2632765130061038,embedding
causal_reasoning,18,A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Control group,A controlled experiment or A B test with comparable users stable measurement and checks for seasonality traffic source changes and external events,False,False,False,0.007595334529929351,embedding
causal_reasoning,19,A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,Crime rates can change because of enforcement demographics economic conditions reporting changes seasonal effects or long term trends,False,False,False,0.11927137371023368,embedding
causal_reasoning,20,A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,The user may have changed diet exercise motivation sleep or other habits and there is no control group or counterfactual comparison,False,False,False,0.25118067851633713,embedding
synthesis,21,Compare weather and climate.,Weather changes frequently; climate is the average of weather patterns over a long period of time,Weather describes short term atmospheric conditions while climate describes long term patterns and averages,False,False,True,0.7546379383048722,embedding
synthesis,22,Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria can be treated with antibiotics, while viruses cannot",Bacteria are living cells with structures antibiotics can target while viruses replicate inside host cells and are not treated by antibiotics,False,False,True,0.7912509944953671,embedding
synthesis,23,Compare renewable and nonrenewable energy sources.,"Renewable energy sources are environmentally sustainable, while nonrenewable sources are finite and deplete over time",Renewable sources are replenished naturally on human timescales while nonrenewable sources are finite or form over geologic timescales,False,False,True,0.7566988074453088,embedding
synthesis,24,Compare judicial review and legislation.,"Judicial review interprets the laws, while legislation creates the laws",Judicial review evaluates whether government action complies with higher law while legislation creates or changes statutory law,False,False,True,0.8031982502800783,embedding
synthesis,25,Compare inflation and unemployment as economic indicators.,Inverse,Inflation measures price increases while unemployment measures the share of people seeking work who do not have jobs,False,False,False,0.04652105896866279,embedding
synthesis,26,Compare precision and recall in a medical screening test.,"Precision focuses on the accuracy of positive predictions, while recall focuses on the ability to find all positive instances",Precision measures how many positive results are true positives while recall measures how many actual cases the test detects,False,False,True,0.8075851938069188,embedding
synthesis,27,Compare primary and secondary sources in historical research.,Primary sources provide direct evidence while secondary sources interpret and analyze primary sources,Primary sources come directly from the time or participants while secondary sources interpret analyze or summarize primary evidence,False,False,True,0.9057905164344539,embedding
synthesis,28,Compare a theory and a hypothesis in science.,Theory: A widely accepted explanation backed by evidence; Hypothesis: A testable prediction to explain a phenomenon,A hypothesis is a testable proposed explanation while a theory is a well supported explanatory framework,False,False,True,0.7930897053707365,embedding
synthesis,29,Compare natural selection and genetic drift.,"Natural selection results in the survival of organisms with traits that increase their reproductive success, whereas genetic drift is a random change in the frequency of alleles in a population",Natural selection changes traits through differential survival or reproduction while genetic drift changes allele frequencies by chance,False,False,True,0.8880951708343984,embedding
synthesis,30,Compare open loop and closed loop control systems.,"Open loop control systems do not have feedback, while closed loop control systems do",Open loop systems act without feedback while closed loop systems use feedback to adjust behavior,False,False,True,0.8825483366860143,embedding
citation_grounded,31,Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,lack of placebo control group,The trial did not include a placebo control group,False,False,False,0.6327727373543283,embedding
citation_grounded,32,Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,Emissions may have fallen because production decreased rather than only because of the factory upgrade,False,False,False,0.2503617471488158,embedding
citation_grounded,33,Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,2021,False,True,True,1.0000000000000002,embedding
citation_grounded,34,Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 prompts,The number of unique prompts should be reported along with row level counts,False,False,False,0.4899051295332731,embedding
citation_grounded,35,Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,third reviewer,Disagreements were resolved by a third reviewer,False,False,False,0.6266435992916556,embedding
citation_grounded,36,Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,Medicine is safe and effective for children,It should not be concluded that the medicine was shown effective in children,True,False,True,0.769575969005662,embedding
citation_grounded,37,Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,non-random assignment,The users were not randomly assigned so selection bias may affect the result,False,False,False,0.3791798077729156,embedding
citation_grounded,38,Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1998,False,True,True,1.0,embedding
citation_grounded,39,Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,"The association between sleep duration and grades is supported, but causation is not established",Sleep duration was associated with grades but causation was not established,False,False,True,0.9364003516553614,embedding
citation_grounded,40,Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,two weeks,The experiment only tested red and blue light over two weeks,False,False,False,0.2488539377732663,embedding
uncertainty,41,A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,Provide the population from the current year,The source may be outdated and current data is needed before giving a definitive population,False,False,False,0.5517944430800883,embedding
uncertainty,42,A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Providing medical advice,It should avoid giving a confident diagnosis and should recommend professional medical evaluation,False,False,False,0.5668073935011925,embedding
uncertainty,43,A user asks for the contents of a document that was not provided. What should a reliable answer say?,Document not provided,It should say the document is needed and should not invent its contents,False,False,False,0.588732560223162,embedding
uncertainty,44,A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,Specify the need for the user's jurisdiction,It should clarify the relevant jurisdiction because legal rules vary by location,False,False,False,0.6059256536539156,embedding
