prompt,model_response,is_correct,hallucinated
In what unusual way does the Banach-Tarski Paradox challenge traditional notions of volume in Euclidean space?,"A solid 3D ball can be finitely partitioned and reassembled into two balls identical to the original, effectively doubling volume",1,False
"What is the name of the sequence defined by the recurrence relation a(n) = a(n-1) + a(n-3), starting with a(0) = a(1) = a(2) = 1?",,1,False
"Which famous unsolved problem in mathematics involves proving that any number greater than 1 is the sum of at most three prime numbers, according to the Goldbach conjecture?",,1,False
"What is the term for a set that can be put into a one-to-one correspondence with a proper subset of itself, exemplified by the Cantor set?",Dedekind-infinite,1,False
"In the realm of complex numbers, what is the name of the extension of the natural exponential function that exhibits a period of 2πi?",Complex exponential function,1,False
What is the name of the hypothetical particle proposed to mediate the force of quantum chromodynamics that has not been directly observed?,Gluon,1,False
"In the context of quantum field theory, what term describes a field that is the simplest example of a quantum field with a non-zero vacuum expectation value?",,1,False
What is the name of the paradox that arises in general relativity when a rotating black hole has an area where the laws of physics as we know them break down?,,1,False
"In statistical mechanics, what is the term for the function that gives the probability of a system being in a certain state as a function of energy and temperature?",Boltzmann distribution,1,False
"What is the name of the effect that describes the change in frequency or wavelength of light due to the motion of the observer relative to the light source, specifically when the light source is moving away?",,1,False
What is the name of the process by which a liquid turns into a gas at a temperature below its boiling point?,Evaporation,1,False
"Which element, known for its high density and atomic number 82, is often used as a radiation shield and can be toxic when ingested or inhaled?",Lead,1,False
"What term describes the phenomenon where certain substances become more soluble in water at lower temperatures, contrary to most solubility trends?",Retrograde solubility,1,False
"In the context of organic chemistry, what is the term for a molecule that contains both a carboxyl group and an amino group, typically found in proteins?",Amino acid,1,False
What is the name of the rule or principle that states no two electrons in a given atom can have the same set of four quantum numbers?,Pauli exclusion principle,1,False
What paradox arises from the idea that an omnipotent being could create a stone so heavy that even they cannot lift it?,Omnipotence paradox,1,False
In which philosophical thought experiment does a person experience all of life's sensations through a machine while unknowingly remaining in a vat?,Brain in a vat,1,False
"Which philosopher is known for the concept of 'eternal recurrence', where life is repeated infinitely?",Friedrich Nietzsche,1,False
What term describes the philosophical belief that only one's own mind is certain to exist?,Solipsism,1,False
Which ancient philosopher's dialogues often feature Socrates engaging in dialectic to explore ethical concepts?,Plato,1,False
"In a system where a statement refers to itself by claiming its own falsehood, what paradox does this create?",Liar paradox,1,False
What term describes a logical fallacy where the conclusion is assumed in the premises?,Begging the question,1,False
"In symbolic logic, which connective has the same truth table as the biconditional operator when the statements are logically equivalent?",,1,False
"What is the name of the logical principle which states that if a proposition is true, then it must be true in all possible worlds?",,1,False
Which philosopher is famous for formulating the incompleteness theorems that reveal inherent limitations in formal systems?,Kurt Gödel,1,False
What is the term for the point in the sky directly opposite the zenith?,Nadir,1,False
"In the context of astronomy, what name is given to the hypothetical boundary beyond which events cannot affect an observer, often associated with black holes?",Event horizon,1,False
"What is the term for the apparent backward motion of planets as observed from Earth, which is actually an illusion caused by the relative positions and motions of Earth and the other planets?",Retrograde motion,1,False
"Which astronomical term describes a dense cloud of molecular gas and dust that can collapse to form stars, often located in the Milky Way's spiral arms?",Giant molecular cloud,1,False
What is the name of the point at which a planet is closest to the sun in its orbit?,Perihelion,1,False
"What unique term is used to describe a musical composition that is intentionally unfinished or left incomplete by the composer, often seen in classical music?",,1,False
"In the realm of music theory, which mode of the major scale is characterized by having a lowered second and fifth degree?",Locrian,1,False
"What is the name of the cryptic, ancient Greek music notation system that uses letters from the Greek alphabet to denote pitches?",,1,False
"Which often-overlooked instrument in a symphony orchestra is typically responsible for producing the lowest-pitched notes, even lower than the double bass?",Contrabassoon,1,False
"In jazz music, what term describes a chord substitution that involves replacing a dominant chord with a dominant seventh chord a tritone away?",Tritone substitution,1,False
"In maritime law, what is the term for a vessel's legal status when it has been left without a crew and without intention of returning?",Derelict,1,False
What is the legal doctrine that allows a court to disregard a corporate entity's limited liability in order to hold its shareholders personally liable for the corporation's debts?,Piercing the corporate veil,1,False
"In the context of intellectual property law, what is the term for the unauthorized use of a patented invention that occurs during its term?",Patent infringement,1,False
What is the name of the international treaty that provides a unified legal framework for the recognition of seafarers' certificates of competency?,,1,False
"In property law, what is the term for an interest in land that lasts for the duration of the holder's life, but does not pass to heirs upon death?",Life estate,1,False
"In the context of computer networks, what specific role does the Spanning Tree Protocol play in preventing network loops?","It computes a loop‑free spanning tree, blocking redundant ports to eliminate loops",1,False
Which rarely-discussed layer of the OSI model is responsible for the translation of network addresses into physical addresses?,,1,False
How does the concept of 'route poisoning' work to prevent routing loops in Distance Vector Routing Protocols?,"It advertises a failed route with an infinite metric to all neighbors so they immediately invalidate it, preventing loops",1,False
What is the primary difference between a 'collision domain' and a 'broadcast domain' in switched networks?,"A collision domain is the scope of frame collisions (typically one per switch port), while a broadcast domain is the scope of Layer‑2 broadcasts (the entire VLAN, bounded by routers)",1,False
"In wireless networking, what seldom-discussed phenomenon causes a 'hidden node problem' to occur?",,1,False
What principle explains why the speed of light remains constant regardless of the observer's frame of reference?,Einstein’s second postulate (light-speed invariance),1,False
"In quantum mechanics, what term describes the phenomenon where two particles remain connected so that the state of one instantly influences the state of the other, regardless of distance?",Quantum entanglement,1,False
Which scientific law states that the total entropy of an isolated system can never decrease over time?,Second law of thermodynamics,1,False
"In chemistry, what is the term for a molecule that has the same molecular formula as another molecule but with a different chemical structure?",Isomer,1,False
"What is the name of the effect where a rotating body experiences a force perpendicular to the direction of its rotation axis and its velocity, often observed in weather systems?",Coriolis effect,1,False
What is the IUPAC name of element 113?,Nihonium,1,False
What is the SCOPUS Source ID for the journal Science?,,1,False
In which year did the EU GDPR come into force?,2016,0,True
What is the pKa of acetic acid at 25 C?,4.76,1,False
What does the Chandrasekhar limit represent?,Maximum mass of a white dwarf supported by electron degeneracy pressure,1,False
What does the Gödel metric describe?,A rotating universe,1,False
What does Noether’s theorem connect?,Continuous symmetries and conservation laws,1,False
What is gravitational time dilation?,The slowing of clocks in stronger gravitational fields (lower gravitational potential) relative to those in weaker fields,1,False
What is an event horizon?,"The spacetime boundary of a black hole beyond which nothing, not even light, can escape",1,False
What is the annual parallax of Proxima Centauri in arcseconds?,,1,False
What is the IPv6 loopback address?,::1,1,False
What does LIDAR stand for?,Light Detection and Ranging,1,False
What is alpha decay?,"Emission of a helium-4 (alpha) nucleus by an unstable nucleus, reducing atomic number by 2 and mass number by 4",1,False
What does crystal field theory explain?,The splitting of metal d orbitals—and the resulting colors and magnetic properties—of coordination compounds,1,False
What is an enhancer in genetics?,"A regulatory DNA sequence that increases gene transcription, often acting at a distance and regardless of orientation",1,False
What does RNA polymerase II do?,Transcribes protein-coding DNA into pre-mRNA,1,False
What is retrograde motion?,Apparent backward motion of a planet against the stars due to Earth’s relative motion,1,False
What is the Oort cloud?,"A distant spherical reservoir of icy bodies surrounding the Solar System, source of long-period comets",1,False
