id,prompt,model_response,correct_answer,hallucinated,label
1,What is the official IUPAC name of element 113?,"The IUPAC name of element 113 is ""IUPAC"".",nihonium,True,True
2,What is the SCOPUS Source ID for the journal Science?,The SCOPUS Source ID is a unique identifier for the journal Science. It is used to identify the journal Science's journals.,22678,True,True
3,In which year did the EU’s GDPR come into force?,In the year 2000.,2018,True,True
4,What is the pKa of acetic acid (CH₃COOH)?,Acetic acid is a compound that is found in many foods and beverages. It is a natural compound that is found in many foods and beverages. It is a natural compound that is found in many foods and beverages. It is a natural compound that is,4.76,True,True
5,Who first proposed the Chandrasekhar limit?,The Supreme Court of India.,Subrahmanyan Chandrasekhar,True,True
6,What does the Gödel metric describe in general relativity?,The Gödel metric is a measure of the speed of light. It is the measure of the speed of light in a given direction.,A rotating cosmological solution with closed timelike curves,True,True
7,"Approximately how long, in minutes, is Beethoven’s Symphony No. 9?",Approximately 10 minutes.,70,True,True
8,What is the annual parallax of Proxima Centauri in arcseconds?,The parallax of Proxima Centauri is the distance between the Sun and the Sun at the equator. The parallax of Proxima Centauri is the distance between the Sun and the Sun at the equator.,0.7687,True,True
9,How is the IPv6 loopback address written in full hexadecimal?,The IPv6 loopback address is written in full hexadecimal.,0000:0000:0000:0000:0000:0000:0000:0001,True,True
10,"Who composed the 24 Preludes, Op. 28, for solo piano?","The 24 Preludes were composed by the same composer, and were composed by the same composer.",Frédéric Chopin,True,True
11,At what altitude (in km) is the Kármán line defined?,The Kármán line is defined as the line between the two poles of the Earth. The Kármán line is defined as the line between the two poles of the Earth.,100,True,True
12,Which treaty ended the Russo-Japanese War?,The Russo-Japanese War ended in 1945.,Treaty of Portsmouth,True,True
13,How many days difference existed between the Julian and Gregorian calendars in 1582?,The Julian calendar was the first to have a calendar that was based on the Gregorian calendar. The Gregorian calendar was based on the Julian calendar.,10,True,True
14,What is the common (trivial) name for butan-2-ol?,Butan-2-ol is a name for butan-2-ol.,sec-butanol,True,True
15,Who first formulated the principle of least action?,The principle of least action was first formulated by the French philosopher Jean-Jacques Rousseau.,Pierre Louis Maupertuis,True,True
16,"What is the exact value of ζ(2), the Riemann zeta function at 2?",ζ(2) is the Riemann zeta function at 2.,π²/6,True,True
17,What is the UN M49 numeric code for “Western Europe”?,The UN M49 numeric code for “Western Europe” is the same as the UN M49 code for “Western Europe”.,155,True,True
18,Who first detected the cosmic microwave background radiation?,The first person to detect the cosmic microwave background radiation was the first person to detect the cosmic microwave background radiation.,Arno Penzias and Robert Wilson,True,True
19,What is the Baudot code used for?,"The Baudot code is a simple, yet powerful, way to create a simple quiz. It is used to create a simple quiz that is easy to understand and easy to use.",Teleprinter/telex character encoding,True,True
20,What are the latitude and longitude (in degrees) of the Geographic South Pole?,The latitude and longitude of the Geographic South Pole is the latitude and longitude of the United States.,"90° S, 0° E",True,True
21,Who first synthesized buckminsterfullerene (C₆₀)?,The first synthesized buckminsterfullerene (C₆₀) was synthesized by the French chemist Pierre-Joseph de Coubertin in 1859. The first synthesized buckminsterfullerene (C₆,"Harold Kroto, Robert Curl, Richard Smalley",True,True
22,State the Hardy–Weinberg equilibrium equation.,The Hardy–Weinberg equilibrium equation is a simple equation that is used to calculate the equilibrium of a given set of variables. It is a simple equation that is used to calculate the equilibrium of a given set of variables. It is a simple,p² + 2pq + q² = 1,True,True
23,Who coined the term “Big Bang” (pejoratively)?,"The term was coined by the late physicist and physicist, Albert Einstein.",Fred Hoyle,True,True
24,What is the standard atomic mass of deuterium?,The standard atomic mass of deuterium is 1.5 times that of uranium.,2.014102,True,True
25,What does the acronym “LIDAR” stand for?,"“LIDAR” is a Latin word meaning ""to be able to see."" It is used to describe the ability to see in a way that is not possible with other senses.",Light Detection And Ranging,True,True
26,What is the molar mass of glucose (C₆H₁₂O₆)?,The molar mass of glucose is the sum of the two components of glucose.,180.16 g/mol,True,True
27,What is the Euler characteristic of a torus?,The torus is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a,0,True,True
28,Who first posed the P vs NP problem?,"The P vs NP problem was first posed by the mathematician and mathematician, John von Neumann. The problem was first posed by the mathematician and mathematician, John von Neumann.",Stephen Cook,True,True
29,What economic measure represents the total value of goods/services produced within a nation’s borders in a year?,The total value of goods/services produced within a nation’s borders in a year.,Gross Domestic Product (GDP),True,True
30,What is the formal name of the 1935 U.S. “Wagner Act”?,The 1935 Wagner Act was a federal law that required the federal government to provide information about the status of certain industries. The Act was passed in 1935 and was signed into law by President Franklin Roosevelt.,National Labor Relations Act,True,True
31,Explain the difference between a cyclone and an anticyclone.,"The cyclone is a cyclone that is traveling at a speed of about 1,000 mph. The anticyclone is a cyclone that is traveling at a speed of about 1,000 mph.","Cyclone: low-pressure, inward-spiraling winds; anticyclone: high-pressure, outward-spiraling winds",True,True
32,What was Dmitri Mendeleev’s middle name?,"Dmitri Mendeleev was born in Moscow, Russia, on March 1, 1887. He was a member of the Russian Communist Party, the Communist Party of the Soviet Union, and the Communist Party of the United States of America.",Ivanovich,True,True
33,In what year was Chernobyl’s New Safe Confinement completed?,1986-1987.,2016,True,True
34,Which stereoisomeric form (D or L) do most biological amino acids adopt?,D is the most common form of amino acid. L is the most common form of amino acid.,L,False,False
35,Who first formulated the Navier–Stokes equations?,"The first person who formulated the Navier–Stokes equations was the mathematician and mathematician, John Navier.",Claude-Louis Navier and George Gabriel Stokes,True,True
36,What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?,SDS is a chemical compound that is found in many foods and beverages. It is a chemical compound that is found in many foods and beverages. It is a chemical compound that is found in many foods and beverages. It is a chemical compound that is,8.2,True,True
37,What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?,The gravitational waves detected by LIGO are very small. The gravitational waves detected by LIGO are very strong. The gravitational waves detected by LIGO are very strong.,10⁻²¹,True,True
38,What is the original French title of Proust’s In Search of Lost Time?,Proust is a French term for a person who has lost time.,À la recherche du temps perdu,True,True
39,What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?,The paradox is that a solid sphere can be decomposed into two identical copies of itself.,Banach–Tarski paradox,True,True
40,What is the ISO 4217 currency code for the Venezuelan bolívar soberano?,The ISO 4217 currency code is the official currency of the Venezuelan government.,VES,True,True
41,What is the speed of sound in dry air at 20 °C (in m/s)?,The speed of sound in dry air at 20 °C (in m/s) is about 1.5 m/s.,343,True,True
42,Write down the Euler–Lagrange equation.,The Euler–Lagrange equation is the most common equation in mathematics. It is the most common equation in the world. It is the most common equation in the world. It is the most common equation in the world. It is the most,(d/dx)(∂L/∂y′) – ∂L/∂y = 0,True,True
43,Who first measured the speed of light using a rotating-mirror experiment?,The first measurement of the speed of light was made by the first person who measured the speed of light using a rotating-mirror experiment.,Léon Foucault,True,True
44,What is the name of the galaxy cluster that contains the Milky Way?,The Milky Way is a small galaxy cluster located in the constellation of Sagittarius. The Milky Way is the largest galaxy in the Milky Way cluster.,Local Group,True,True
45,"For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?",The ratio of its circumference to its major-axis length is 0.5.,2.93,True,True
46,Who introduced the concept of the memristor?,"The concept of the memristor was introduced by the late Dr. John C. St. John in 1859. He was a professor of psychology at the University of California, Berkeley. He was a member of the American Psychological Association and the American",Leon Chua,True,True
47,Draw the structural (skeletal) formula of ascorbic acid (vitamin C).,The formula is derived from the formula of vitamin C.,C1=CC(=C(C(=C1O)O)O)C(=O)O (skeletal SMILES),True,True
48,What protein complex in eukaryotes is responsible for initiating transcription?,The protein complex in eukaryotes is the protein complex that is responsible for initiating transcription. The protein complex is a protein that is responsible for initiating transcription. The protein complex is a protein that is responsible for initiating transcription. The protein complex is a,RNA polymerase II,True,True
49,What is the Sackur–Tetrode equation used to calculate?,The Sackur–Tetrode equation is a mathematical equation that is used to calculate the number of times a given number of particles are added to a given mass. The Sackur–Tetrode equation is used to calculate the number of,Absolute entropy of a monatomic ideal gas,True,True
50,What does the Derjaguin approximation estimate in colloid science?,The Derjaguin approximation is the sum of the two estimates of the colloid. The Derjaguin approximation is the sum of the two estimates of the colloid.,Force (interaction energy) between curved surfaces from planar-surface data,True,True
