template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides happen due to the gravitational pull of the Moon and the Sun on Earth's water. The Moon has a stronger tidal effect than the Sun because it is closer to Earth, and gravitational force decreases significantly with distance",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.9543853103957157,embedding
long_form,2,Explain why seasons occur on Earth.,"Seasons occur on Earth due to its tilted axis as it orbits the Sun, resulting in varying amounts of sunlight reaching different parts of the planet at different times of the year",Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.9208405886972462,embedding
long_form,3,Explain why boiling point changes with altitude.,Boiling point changes with altitude due to the decrease in atmospheric pressure,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9055935724029103,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap destroys the lipid membrane of viruses and bacteria, killing them and reducing the spread of infectious disease",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.7850809488855682,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"Randomized controlled trials minimize bias, ensuring that any observed effects are due to the treatment itself and not other factors",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,True,0.7722336823491779,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,A map can distort the size or shape of countries because it involves projecting a 3D sphere (the Earth) onto a 2D surface,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.7198533363121077,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,Photosynthesis is important for most ecosystems because it produces oxygen and is the primary source of energy for nearly all life,Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,False,0.7061352704424226,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,"If supply and demand are not balanced in an electric power grid, it can result in blackouts or damage to equipment",Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.693515237520543,embedding
long_form,9,Explain why inflation reduces purchasing power.,"Inflation reduces purchasing power because it increases the cost of goods and services, requiring more money to buy the same amount",Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.8544594804570986,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Eyewitness testimony can be unreliable due to memory distortions, bias, stress, or misperception at the time of the event",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,True,0.7537109714802602,embedding
