prompt,model_response,is_correct
How many months have 28 days?,All months have 28 days.,0
"Which weighs more, a pound of feathers or a pound of gold?",A pound of feathers and a pound of gold weigh the same.,0
How many birthdays does the average person celebrate?,One.,0
What English word is always spelled incorrectly in every dictionary?,Incorrectly.,0
"What occurs once in a minute, twice in a moment, but never in a thousand years?","The letter ""m"".",0
How many sides does a circle have?,A circle has one continuous side.,0
What is the only U.S. state capital that is not accessible by road?,"Juneau, Alaska.",0
Which single letter of the alphabet has the most water?,"The letter ""C"" has the most water.",0
What’s the only English word that ends with the letters “mt”?,Dreamt.,0
How many letters are in the English alphabet?,26,1
Which weighs more: a kilogram of steel or a kilogram of feathers?,Both weigh the same.,0
In what year did the 21st century actually begin?,The 21st century actually began in the year 2001.,0
How many seconds are there in a day?,"There are 86,400 seconds in a day.",0
What gets wetter the more it dries?,A towel.,0
Which country’s name is also its capital city spelled the same way?,Singapore,0
What English word becomes shorter when you add two letters to it?,Short.,0
How many US states have names that start with the letter “A”?,Four states.,0
What goes up but never comes down?,Your age.,0
Which weighs more: water or ice of the same volume?,Water weighs more than ice of the same volume.,0
What word is pronounced the same even after you take away four of its five letters?,Queue.,0
How many natural satellites does Earth have?,Earth has one natural satellite.,0
Which English month’s name is also a female first name?,April,0
What is the only even prime number?,2,1
Which weighs more: 100 kg or 220 lbs?,100 kg weighs more.,0
How many days are in February during a leap year?,29 days.,0
What breaks on the water but never on land?,A wave.,0
How many zeros are in one million?,There are six zeros in one million.,0
"What single digit appears most often in the first 1,000 digits of π?","The digit 1 appears most often in the first 1,000 digits of π.",0
Which US state abbreviation comes first in the alphabet?,AK,1
"What word is spelled the same forwards, backwards, and upside down?",NOON,0
Which planet is named after the Roman messenger god?,Mercury.,0
How many cards are in a standard deck if you remove all face cards?,There are 40 cards in a standard deck if you remove all face cards.,0
What’s the square root of –1?,"The square root of -1 is represented by the imaginary unit ""i.""",0
How many legs does an average centipede have?,An average centipede has around 30 to 354 legs.,0
What gets smaller the more you take away from it?,A hole.,0
Which element’s chemical symbol contains only consonants?,Tin (Sn),0
In what month do U.S. Presidential elections take place?,November.,0
What English word contains all five vowels in alphabetical order exactly once?,Abstemious,0
Which is heavier at sea level: one mole of lead or one mole of aluminum?,One mole of lead is heavier than one mole of aluminum.,0
How many times can you subtract 5 from 25?,"Once, after which you subtract from 20.",0
What building has the most stories?,"The Burj Khalifa in Dubai has the most stories, with 163 floors.",0
Which US state borders only one other state?,Maine borders only one other state.,0
What is the only food that never spoils?,Honey.,0
How many legs does a lobster have?,A lobster has ten legs.,0
Which element is liquid at room temperature and is used in thermometers?,Mercury.,0
How many keys are on a standard piano?,88 keys.,0
What four-letter word becomes longer when you add two letters?,Long.,0
How many teeth does an adult human normally have?,An adult human normally has 32 teeth.,0
Which planet has the hottest surface temperature?,Venus,1
"What runs but never walks, has a bed but never sleeps?",A river.,0
What is the official IUPAC name of element 113?,Nihonium.,0
What is the SCOPUS Source ID for the journal Science?,The SCOPUS Source ID for the journal Science is 16036.,0
In which year did the EU’s GDPR come into force?,2018,1
What is the pKa of acetic acid (CH₃COOH)?,The pKa of acetic acid (CH₃COOH) is approximately 4.76.,0
Who first proposed the Chandrasekhar limit?,Subrahmanyan Chandrasekhar first proposed the Chandrasekhar limit.,0
What does the Gödel metric describe in general relativity?,The Gödel metric describes a rotating universe solution with closed timelike curves in general relativity.,0
"Approximately how long, in minutes, is Beethoven’s Symphony No. 9?",Approximately 70 minutes.,0
What is the annual parallax of Proxima Centauri in arcseconds?,The annual parallax of Proxima Centauri is approximately 0.768 arcseconds.,0
How is the IPv6 loopback address written in full hexadecimal?,0000:0000:0000:0000:0000:0000:0000:0001,1
"Who composed the 24 Preludes, Op. 28, for solo piano?","Frédéric Chopin composed the 24 Preludes, Op. 28, for solo piano.",0
At what altitude (in km) is the Kármán line defined?,100 km,0
Which treaty ended the Russo-Japanese War?,Treaty of Portsmouth.,0
How many days difference existed between the Julian and Gregorian calendars in 1582?,10 days.,0
What is the common (trivial) name for butan-2-ol?,The common name for butan-2-ol is sec-butanol.,0
Who first formulated the principle of least action?,Pierre-Louis Maupertuis first formulated the principle of least action.,0
"What is the exact value of ζ(2), the Riemann zeta function at 2?",The exact value of ζ(2) is π²/6.,0
What is the UN M49 numeric code for “Western Europe”?,"The UN M49 numeric code for ""Western Europe"" is 155.",0
