prompt,model_response,is_correct,hallucinated
Explain why increasing sample size reduces random error but not measurement bias.,"Increasing sample size reduces random error by averaging out fluctuations but doesn’t affect measurement bias, which is a systematic error",1,False
Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,"Increasing sample size does not affect measurement bias, only reduces random error",1,False
"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size reduces random error by averaging out fluctuations, increasing precision, but does not affect measurement bias, which is a systematic error unaffected by sample size",1,False
A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,Increasing sample size reduces random error but does not affect measurement bias,1,False
Explain why antibiotics often work against bacteria but not viruses.,Antibiotics target bacterial structures/functions not present in viruses,1,False
Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"Antibiotics target bacteria, not viruses",1,False
"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target specific bacterial structures and functions, such as cell walls or protein synthesis, which viruses lack. Viruses replicate inside host cells, making them inaccessible to antibiotics that can't target intracellular processes",1,False
A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics are effective against bacteria, not viruses, because viruses lack the structures antibiotics target",1,False
Explain why a low p-value does not prove a hypothesis is true.,"A low p-value indicates strong evidence against the null hypothesis, not proof of the hypothesis",1,False
Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,"A low p-value indicates statistical significance, not proof of truth, as it only suggests evidence against the null hypothesis",1,False
"Give a multi-sentence explanation of why a low p-value does not prove a hypothesis is true, including the key limitation.","A low p-value indicates strong evidence against the null hypothesis, suggesting the data is unlikely under it, but it does not prove the alternative hypothesis is true. The key limitation is that p-values do not measure the probability that the hypothesis itself is true or false, nor do they account for the possibility of Type I or Type II errors",1,False
A student claims the opposite of this idea: a low p-value does not prove a hypothesis is true. Explain why the student's claim is wrong.,"A low p-value indicates strong evidence against the null hypothesis, not proof that a hypothesis is true",1,False
Explain why a single cold day does not disprove climate warming.,Weather variability doesn't negate long-term climate trends,1,False
