prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus has a thick atmosphere that traps heat,0,True
Explain why antibiotics do not work against viral infections.,Different mechanisms of action,1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"Blue light is scattered in the Earth's atmosphere during the day, while red and orange light is scattered less, resulting in the sky appearing blue during the day and red or orange near sunset",0,True
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error by providing more data points for analysis, but bias is a systematic error that can still be present regardless of sample size",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Bias, oversight, and limitations in scope can affect peer review",1,False
Explain why GDP is an incomplete measure of national well being.,It does not account for distribution of income,1,False
Explain why correlation alone does not prove causation.,Correlation does not prove causation due to the possibility of confounding variables,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,Synonyms or paraphrasing may not be recognized as correct matches,1,False
Explain why a legal rule may differ between jurisdictions.,"Differences in culture, history, legal traditions, and societal values",1,False
Explain why climate is not disproved by one unusually cold day.,Climate is the average of weather conditions over a long period of time,1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Vehicle traffic data,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other factors could have also contributed to the decrease in patient complications,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Random assignment to treatment and control groups,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,1. Seasonal variation in temperature,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Data quality issues,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A/B testing,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not equal causation,1,False
Compare weather and climate.,"Weather is short-term and can change frequently, while climate refers to long-term patterns of temperature, precipitation, and other factors",1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria can be treated with antibiotics, while viruses cannot",1,False
Compare renewable and nonrenewable energy sources.,Renewable energy sources are sustainable and nonrenewable energy sources are finite,1,False
Compare judicial review and legislation.,"Judicial review interprets laws, legislation creates laws",1,False
Compare inflation and unemployment as economic indicators.,Negative correlation,1,False
Compare precision and recall in a medical screening test.,"Precision measures the true positives out of all positive results, while recall measures the true positives out of all actual positives",0,True
Compare primary and secondary sources in historical research.,"Primary sources provide firsthand accounts, while secondary sources interpret or analyze primary sources",1,False
Compare a theory and a hypothesis in science.,"Theory: Provides a comprehensive explanation supported by evidence, hypothesis: A testable prediction or explanation for a set of observations",1,False
Compare natural selection and genetic drift.,Natural selection is driven by environmental pressures while genetic drift is a random process,1,False
Compare open loop and closed loop control systems.,Closed loop control systems are more complex than open loop systems,1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,placebo control group,0,True
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine would not reduce fever in children,1,False
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,selection bias,1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,"Association between sleep duration and grades, not causation",1,False
Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,Two weeks,1,False
A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,Provide the population as of the last available data from ten years ago,0,True
A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Providing medical diagnosis,0,True
A user asks for the contents of a document that was not provided. What should a reliable answer say?,Document not provided,1,False
A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,The need to specify the jurisdiction,1,False
A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,The statistic changes daily,1,False
A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,Check the journal or publisher's website for the most up-to-date information,1,False
A user asks for a citation but no source is available. What should a reliable answer avoid?,Speculating about the information,1,False
A user asks to identify an object from an unclear image. What should a reliable answer avoid?,Speculation,1,False
A user asks who will win a future election. What should a reliable answer say?,It is impossible to predict the outcome of a future election,1,False
A user asks whether two technical terms are equivalent but context is missing. What should a reliable answer say?,Cannot determine without additional context,1,False
Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,Gravitational pull from the Moon is closer to Earth than the Sun's,1,False
