template,id,prompt,correct_answer
enhanced_long_form_explanation,21,Explain why increasing sample size reduces random error but not measurement bias.,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes."
enhanced_long_form_explanation,22,Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes."
enhanced_long_form_explanation,23,"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes."
enhanced_long_form_explanation,24,A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes."
enhanced_long_form_explanation,25,Explain why antibiotics often work against bacteria but not viruses.,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets."
enhanced_long_form_explanation,26,Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets."
enhanced_long_form_explanation,27,"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets."
enhanced_long_form_explanation,28,A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets."
enhanced_long_form_explanation,29,Explain why a low p-value does not prove a hypothesis is true.,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding."
enhanced_long_form_explanation,30,Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding."
enhanced_long_form_explanation,31,"Give a multi-sentence explanation of why a low p-value does not prove a hypothesis is true, including the key limitation.","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding."
enhanced_long_form_explanation,32,A student claims the opposite of this idea: a low p-value does not prove a hypothesis is true. Explain why the student's claim is wrong.,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding."
enhanced_long_form_explanation,33,Explain why a single cold day does not disprove climate warming.,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance."
enhanced_long_form_explanation,34,Explain the common misconception behind the statement that a single cold day does not disprove climate warming.,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance."
enhanced_long_form_explanation,35,"Give a multi-sentence explanation of why a single cold day does not disprove climate warming, including the key limitation.","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance."
enhanced_long_form_explanation,36,A student claims the opposite of this idea: a single cold day does not disprove climate warming. Explain why the student's claim is wrong.,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance."
enhanced_long_form_explanation,37,Explain why high training accuracy can still indicate overfitting.,A model can memorize training noise or examples and then fail to generalize to new cases.
enhanced_long_form_explanation,38,Explain the common misconception behind the statement that high training accuracy can still indicate overfitting.,A model can memorize training noise or examples and then fail to generalize to new cases.
enhanced_long_form_explanation,39,"Give a multi-sentence explanation of why high training accuracy can still indicate overfitting, including the key limitation.",A model can memorize training noise or examples and then fail to generalize to new cases.
enhanced_long_form_explanation,40,A student claims the opposite of this idea: high training accuracy can still indicate overfitting. Explain why the student's claim is wrong.,A model can memorize training noise or examples and then fail to generalize to new cases.
enhanced_long_form_explanation,41,Explain why correlation between two variables is not enough to prove causation.,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation."
enhanced_long_form_explanation,42,Explain the common misconception behind the statement that correlation between two variables is not enough to prove causation.,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation."
enhanced_long_form_explanation,43,"Give a multi-sentence explanation of why correlation between two variables is not enough to prove causation, including the key limitation.","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation."
enhanced_long_form_explanation,44,A student claims the opposite of this idea: correlation between two variables is not enough to prove causation. Explain why the student's claim is wrong.,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation."
enhanced_long_form_explanation,45,Explain why a placebo control helps interpret treatment studies.,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions."
enhanced_long_form_explanation,46,Explain the common misconception behind the statement that a placebo control helps interpret treatment studies.,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions."
enhanced_long_form_explanation,47,"Give a multi-sentence explanation of why a placebo control helps interpret treatment studies, including the key limitation.","A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions."
enhanced_long_form_explanation,48,A student claims the opposite of this idea: a placebo control helps interpret treatment studies. Explain why the student's claim is wrong.,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions."
enhanced_long_form_explanation,49,Explain why a map projection cannot preserve all properties of Earth.,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere."
enhanced_long_form_explanation,50,Explain the common misconception behind the statement that a map projection cannot preserve all properties of Earth.,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere."
enhanced_long_form_explanation,51,"Give a multi-sentence explanation of why a map projection cannot preserve all properties of Earth, including the key limitation.","Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere."
enhanced_long_form_explanation,52,A student claims the opposite of this idea: a map projection cannot preserve all properties of Earth. Explain why the student's claim is wrong.,"Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere."
enhanced_long_form_explanation,53,Explain why a confidence interval is not a guarantee that the parameter is inside one realized interval.,"In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval."
enhanced_long_form_explanation,54,Explain the common misconception behind the statement that a confidence interval is not a guarantee that the parameter is inside one realized interval.,"In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval."
enhanced_long_form_explanation,55,"Give a multi-sentence explanation of why a confidence interval is not a guarantee that the parameter is inside one realized interval, including the key limitation.","In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval."
enhanced_long_form_explanation,56,A student claims the opposite of this idea: a confidence interval is not a guarantee that the parameter is inside one realized interval. Explain why the student's claim is wrong.,"In frequentist interpretation, the procedure has long-run coverage; a fixed parameter is not assigned a probability within a particular interval."
enhanced_long_form_explanation,57,Explain why a neural network can produce confident wrong answers.,"Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence."
enhanced_long_form_explanation,58,Explain the common misconception behind the statement that a neural network can produce confident wrong answers.,"Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence."
enhanced_long_form_explanation,59,"Give a multi-sentence explanation of why a neural network can produce confident wrong answers, including the key limitation.","Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence."
enhanced_long_form_explanation,60,A student claims the opposite of this idea: a neural network can produce confident wrong answers. Explain why the student's claim is wrong.,"Model confidence reflects learned patterns and calibration, not guaranteed truth or verified evidence."
enhanced_long_form_explanation,61,Explain why a short answer can be correct but incomplete.,"A short response can contain the key fact while missing explanation, scope, assumptions, or limitations needed for full adequacy."
enhanced_long_form_explanation,62,Explain the common misconception behind the statement that a short answer can be correct but incomplete.,"A short response can contain the key fact while missing explanation, scope, assumptions, or limitations needed for full adequacy."
enhanced_long_form_explanation,63,"Give a multi-sentence explanation of why a short answer can be correct but incomplete, including the key limitation.","A short response can contain the key fact while missing explanation, scope, assumptions, or limitations needed for full adequacy."
enhanced_long_form_explanation,64,A student claims the opposite of this idea: a short answer can be correct but incomplete. Explain why the student's claim is wrong.,"A short response can contain the key fact while missing explanation, scope, assumptions, or limitations needed for full adequacy."
enhanced_long_form_explanation,65,Explain why water expands when it freezes.,"Hydrogen bonding forms an open crystal structure in ice, making solid water less dense than liquid water."
enhanced_long_form_explanation,66,Explain the common misconception behind the statement that water expands when it freezes.,"Hydrogen bonding forms an open crystal structure in ice, making solid water less dense than liquid water."
enhanced_long_form_explanation,67,"Give a multi-sentence explanation of why water expands when it freezes, including the key limitation.","Hydrogen bonding forms an open crystal structure in ice, making solid water less dense than liquid water."
enhanced_long_form_explanation,68,A student claims the opposite of this idea: water expands when it freezes. Explain why the student's claim is wrong.,"Hydrogen bonding forms an open crystal structure in ice, making solid water less dense than liquid water."
enhanced_long_form_explanation,69,Explain why a balanced chemical equation must conserve atoms.,"Chemical reactions rearrange atoms, so every element must have the same count on both sides of the equation."
enhanced_long_form_explanation,70,Explain the common misconception behind the statement that a balanced chemical equation must conserve atoms.,"Chemical reactions rearrange atoms, so every element must have the same count on both sides of the equation."
enhanced_long_form_explanation,71,"Give a multi-sentence explanation of why a balanced chemical equation must conserve atoms, including the key limitation.","Chemical reactions rearrange atoms, so every element must have the same count on both sides of the equation."
