id,prompt,model_response,correct_answer,hallucinated
1,What is the official IUPAC name of element 113?,Nihonium.,nihonium,False
2,What is the SCOPUS Source ID for the journal Science?,The SCOPUS Source ID for the journal Science is 16036.,22678,True
3,In which year did the EU’s GDPR come into force?,2018,2018,False
4,What is the pKa of acetic acid (CH₃COOH)?,The pKa of acetic acid (CH₃COOH) is approximately 4.76.,4.76,False
5,Who first proposed the Chandrasekhar limit?,Subrahmanyan Chandrasekhar first proposed the Chandrasekhar limit.,Subrahmanyan Chandrasekhar,False
6,What does the Gödel metric describe in general relativity?,The Gödel metric describes a rotating universe solution with closed timelike curves in general relativity.,A rotating cosmological solution with closed timelike curves,True
7,"Approximately how long, in minutes, is Beethoven’s Symphony No. 9?",Approximately 70 minutes.,70,False
8,What is the annual parallax of Proxima Centauri in arcseconds?,The annual parallax of Proxima Centauri is approximately 0.768 arcseconds.,0.7687,True
9,How is the IPv6 loopback address written in full hexadecimal?,0000:0000:0000:0000:0000:0000:0000:0001,0000:0000:0000:0000:0000:0000:0000:0001,False
10,"Who composed the 24 Preludes, Op. 28, for solo piano?","Frédéric Chopin composed the 24 Preludes, Op. 28, for solo piano.",Frédéric Chopin,False
11,At what altitude (in km) is the Kármán line defined?,100 km,100,False
12,Which treaty ended the Russo-Japanese War?,Treaty of Portsmouth.,Treaty of Portsmouth,False
13,How many days difference existed between the Julian and Gregorian calendars in 1582?,10 days.,10,False
14,What is the common (trivial) name for butan-2-ol?,The common name for butan-2-ol is sec-butanol.,sec-butanol,False
15,Who first formulated the principle of least action?,Pierre-Louis Maupertuis first formulated the principle of least action.,Pierre Louis Maupertuis,True
16,"What is the exact value of ζ(2), the Riemann zeta function at 2?",The exact value of ζ(2) is π²/6.,π²/6,False
17,What is the UN M49 numeric code for “Western Europe”?,"The UN M49 numeric code for ""Western Europe"" is 155.",155,False
18,Who first detected the cosmic microwave background radiation?,Arno Penzias and Robert Wilson.,Arno Penzias and Robert Wilson,False
19,What is the Baudot code used for?,The Baudot code is used for telegraphy and early digital communication encoding.,Teleprinter/telex character encoding,True
20,What are the latitude and longitude (in degrees) of the Geographic South Pole?,"Latitude: 90° S, Longitude: 0°","90° S, 0° E",True
21,Who first synthesized buckminsterfullerene (C₆₀)?,"Harold Kroto, James Heath, Sean O'Brien, Robert Curl, and Richard Smalley first synthesized buckminsterfullerene (C₆₀) in 1985.","Harold Kroto, Robert Curl, Richard Smalley",True
22,State the Hardy–Weinberg equilibrium equation.,The Hardy–Weinberg equilibrium equation is \( p^2 + 2pq + q^2 = 1 \).,p² + 2pq + q² = 1,True
23,Who coined the term “Big Bang” (pejoratively)?,Fred Hoyle.,Fred Hoyle,False
24,What is the standard atomic mass of deuterium?,The standard atomic mass of deuterium is approximately 2.014 amu (atomic mass units).,2.014102,True
25,What does the acronym “LIDAR” stand for?,Light Detection and Ranging.,Light Detection And Ranging,False
26,What is the molar mass of glucose (C₆H₁₂O₆)?,The molar mass of glucose (C₆H₁₂O₆) is 180.16 g/mol.,180.16 g/mol,False
27,What is the Euler characteristic of a torus?,The Euler characteristic of a torus is 0.,0,False
28,Who first posed the P vs NP problem?,Stephen Cook first posed the P vs NP problem.,Stephen Cook,False
29,What economic measure represents the total value of goods/services produced within a nation’s borders in a year?,Gross Domestic Product (GDP).,Gross Domestic Product (GDP),False
30,What is the formal name of the 1935 U.S. “Wagner Act”?,"The formal name of the 1935 U.S. ""Wagner Act"" is the National Labor Relations Act.",National Labor Relations Act,False
31,Explain the difference between a cyclone and an anticyclone.,"A cyclone is a system of winds rotating inward to an area of low atmospheric pressure, whereas an anticyclone is a system of winds rotating outward from an area of high atmospheric pressure.","Cyclone: low-pressure, inward-spiraling winds; anticyclone: high-pressure, outward-spiraling winds",True
32,What was Dmitri Mendeleev’s middle name?,Ivanovich,Ivanovich,False
33,In what year was Chernobyl’s New Safe Confinement completed?,2016.,2016,False
34,Which stereoisomeric form (D or L) do most biological amino acids adopt?,L-form.,L,False
35,Who first formulated the Navier–Stokes equations?,Claude-Louis Navier and George Gabriel Stokes first formulated the Navier–Stokes equations.,Claude-Louis Navier and George Gabriel Stokes,False
36,What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?,The critical micelle concentration of sodium dodecyl sulfate (SDS) is approximately 8.2 mM.,8.2,False
37,What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?,The strain amplitude of gravitational waves detected by LIGO is on the order of magnitude of 10^-21.,10⁻²¹,True
38,What is the original French title of Proust’s In Search of Lost Time?,À la recherche du temps perdu,À la recherche du temps perdu,False
39,What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?,The Banach–Tarski paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself.,Banach–Tarski paradox,False
40,What is the ISO 4217 currency code for the Venezuelan bolívar soberano?,VES,VES,False
41,What is the speed of sound in dry air at 20 °C (in m/s)?,The speed of sound in dry air at 20 °C is approximately 343 m/s.,343,False
42,Write down the Euler–Lagrange equation.,The Euler–Lagrange equation is \(\frac{d}{dt}\left(\frac{\partial L}{\partial \dot{q}}\right) - \frac{\partial L}{\partial q} = 0\).,(d/dx)(∂L/∂y′) – ∂L/∂y = 0,True
43,Who first measured the speed of light using a rotating-mirror experiment?,Léon Foucault first measured the speed of light using a rotating-mirror experiment.,Léon Foucault,False
44,What is the name of the galaxy cluster that contains the Milky Way?,The Local Group.,Local Group,False
45,"For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?",The ratio of the circumference to the major-axis length of an ellipse with eccentricity 0.5 is approximately 3.14.,2.93,True
46,Who introduced the concept of the memristor?,Leon Chua introduced the concept of the memristor in 1971.,Leon Chua,False
