template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method,reasoning
enhanced_long_form_explanation,1,Explain why increasing sample size reduces random error but not measurement bias.,"Because random fluctuations average out as n grows (SE ∝ 1/√n), whereas systematic offsets shift all observations in the same direction and do not diminish with sample size","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,False,0.5622107378485447,embedding,no_contradiction_evidence
enhanced_long_form_explanation,2,Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,False,,none,empty_response
enhanced_long_form_explanation,3,"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size averages out random fluctuations, reducing variance and narrowing confidence intervals (SE ∝ 1/√n). Measurement bias is systematic error, so it does not cancel with more data; the estimate simply becomes a more precise miss. Key limitation: bigger samples improve precision, not accuracy—bias requires better measurement or design, not more observations","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,False,0.6928340858959746,embedding,no_contradiction_evidence
enhanced_long_form_explanation,4,A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,"Because increasing n averages out random noise (SE ∝ 1/√n) but cannot cancel systematic measurement bias, so sample size boosts precision","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,False,0.6503953788251641,embedding,no_contradiction_evidence
enhanced_long_form_explanation,5,Explain why antibiotics often work against bacteria but not viruses.,"Antibiotics target bacterial cell walls, ribosomes, and metabolic enzymes—structures viruses lack because they replicate using host machinery—so they don’t work on viruses","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8392630664415802,embedding,embedding_support
enhanced_long_form_explanation,6,Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"It assumes antibiotics are universal, but they target bacterial-specific machinery (e.g., cell walls, ribosomes) that viruses lack, so they’re ineffective against viruses","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.7982720522278122,embedding,embedding_support
enhanced_long_form_explanation,7,"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target bacterial-only features such as peptidoglycan cell walls, 70S ribosomes, DNA gyrase, and folate synthesis. Viruses lack these structures and replicate by hijacking host-cell machinery. The key limitation is the absence of unique viral targets that can","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.804549480064067,embedding,embedding_support
enhanced_long_form_explanation,8,A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics target bacterial-only structures (e.g., cell walls and 70S ribosomes), which viruses lack, so they’re ineffective against viruses","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.7922388959306959,embedding,embedding_support
enhanced_long_form_explanation,9,Explain why a low p-value does not prove a hypothesis is true.,,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,False,,none,empty_response
enhanced_long_form_explanation,10,Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,False,,none,empty_response
enhanced_long_form_explanation,11,"Give a multi-sentence explanation of why a low p-value does not prove a hypothesis is true, including the key limitation.",,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,False,,none,empty_response
enhanced_long_form_explanation,12,A student claims the opposite of this idea: a low p-value does not prove a hypothesis is true. Explain why the student's claim is wrong.,,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,False,,none,empty_response
enhanced_long_form_explanation,13,Explain why a single cold day does not disprove climate warming.,"Weather is short‑term variability; climate warming is a long‑term trend, so isolated cold days remain expected","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7594904737938741,embedding,embedding_support
enhanced_long_form_explanation,14,Explain the common misconception behind the statement that a single cold day does not disprove climate warming.,It confuses short‑term local weather with long‑term global climate trends; natural variability allows cold days even as average temperatures rise,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7502057396259099,embedding,embedding_support
enhanced_long_form_explanation,15,"Give a multi-sentence explanation of why a single cold day does not disprove climate warming, including the key limitation.","A single cold day reflects short-term weather, while climate warming is a long-term change in global averages over decades. Natural variability and circulation can still produce cold snaps in a warming world. The key limitation is that one day is an anecdote with no statistical power to detect trends","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7821416615442547,embedding,embedding_support
enhanced_long_form_explanation,16,A student claims the opposite of this idea: a single cold day does not disprove climate warming. Explain why the student's claim is wrong.,"Weather is short-term; climate is long-term—one cold day is normal variability, not evidence against global warming","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7362294813950776,embedding,embedding_support
enhanced_long_form_explanation,17,Explain why high training accuracy can still indicate overfitting.,"Because the model may memorize training-set noise and idiosyncrasies, yielding high training accuracy but poor generalization (low validation/test accuracy)",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.6224816263576527,embedding,no_contradiction_evidence
enhanced_long_form_explanation,18,Explain the common misconception behind the statement that high training accuracy can still indicate overfitting.,,A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,,none,empty_response
enhanced_long_form_explanation,19,"Give a multi-sentence explanation of why high training accuracy can still indicate overfitting, including the key limitation.","High training accuracy can reflect memorization of noise and spurious patterns rather than learning generalizable structure, i.e., overfitting. The key limitation is that training accuracy measures performance only on seen data and does not indicate generalization to unseen data",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.493131032001892,embedding,no_contradiction_evidence
enhanced_long_form_explanation,20,A student claims the opposite of this idea: high training accuracy can still indicate overfitting. Explain why the student's claim is wrong.,"Because a model can memorize the training set, achieving high training accuracy yet low validation/test accuracy—i.e., overfitting",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.5118725890194327,embedding,no_contradiction_evidence
enhanced_long_form_explanation,21,Explain why correlation between two variables is not enough to prove causation.,"Because correlation may arise from confounding, reverse causation, bias, or chance rather than a direct causal relationship","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,True,0.8914445511197445,embedding,embedding_support
enhanced_long_form_explanation,22,Explain the common misconception behind the statement that correlation between two variables is not enough to prove causation.,,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,False,,none,empty_response
enhanced_long_form_explanation,23,"Give a multi-sentence explanation of why correlation between two variables is not enough to prove causation, including the key limitation.","Correlation measures association, not whether one variable changes the other. The link can arise from confounders, reverse causality, or chance. The key limitation is the lack of control and temporal identification, so correlation alone cannot isolate a causal effect","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,True,0.7252370383769342,embedding,embedding_support
enhanced_long_form_explanation,24,A student claims the opposite of this idea: correlation between two variables is not enough to prove causation. Explain why the student's claim is wrong.,"Because correlations can arise from confounders, reverse causation, selection bias, or pure chance, they do not establish causality","Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",False,False,True,0.8630190453611193,embedding,embedding_support
enhanced_long_form_explanation,25,Explain why a placebo control helps interpret treatment studies.,"It isolates the treatment’s true effect by controlling for placebo responses, natural recovery, and other nonspecific influences","A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,True,0.8404599406537541,embedding,embedding_support
enhanced_long_form_explanation,26,Explain the common misconception behind the statement that a placebo control helps interpret treatment studies.,,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,False,,none,empty_response
enhanced_long_form_explanation,27,"Give a multi-sentence explanation of why a placebo control helps interpret treatment studies, including the key limitation.",,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,False,,none,empty_response
enhanced_long_form_explanation,28,A student claims the opposite of this idea: a placebo control helps interpret treatment studies. Explain why the student's claim is wrong.,,"A placebo control helps separate the treatment's effect from expectations, natural recovery, and other shared study conditions.",False,False,False,,none,empty_response
enhanced_long_form_explanation,29,Explain why a map projection cannot preserve all properties of Earth.,"Because a sphere’s positive Gaussian curvature cannot be mapped isometrically to a plane’s zero curvature, any projection must distort at least one of area, shape (angles), distance, or direction","Flattening a curved surface requires distortion, so no flat map preserves all area, distance, direction, and shape everywhere.",False,False,False,0.5583094301716874,embedding,no_contradiction_evidence
