prompt,model_response,is_correct
"If a mathematician claims that all primes are odd, which number challenges this assertion?",2,1
What is the only even prime number that defies the rule that all prime numbers are odd?,2,1
"In the Fibonacci sequence, which two consecutive numbers both equal one?",The numbers are 1 and 1,1
What is the smallest positive integer that is neither negative nor zero?,1,1
Which mathematical constant is the ratio of a circle's circumference to its diameter?,Pi (π),1
```json,4,0
[,42,0
"""If a cat is sitting on a frictionless surface and suddenly pushes itself off with its paws, which principle of physics explains the cat's motion in the opposite direction?"",",Newton's third law of motion,1
"""In a vacuum, if a feather and a hammer are dropped simultaneously from the same height, which one hits the ground first according to classical mechanics?"",",They hit the ground simultaneously,1
"""What is the term for the apparent force that acts on a mass moving in a circular path and is directed away from the center of rotation?"",",Centrifugal force,1
What element is represented by the symbol 'Hg' in the periodic table?,Mercury,1
Which law states that the volume of a gas is inversely proportional to its pressure at constant temperature?,Boyle's Law,1
What is the common name for the compound with the chemical formula NaCl?,Table salt,1
Which chemical element has the highest atomic number that occurs naturally?,Uranium,1
What is the term for the minimum energy required to start a chemical reaction?,Activation energy,1
"If a tree falls in a forest and no one is around to hear it, does it make a sound according to the principles of empirical philosophy?","According to empirical philosophy, it does not make a sound because sound is only defined by perception",0
"In the realm of existentialism, what is the primary focus when considering the essence of human existence?",The primary focus is on individual freedom and responsibility,0
"According to dualism, can the mind exist independently of the body, and if so, how does this impact our understanding of consciousness?","Yes, dualism posits that the mind can exist independently of the body, suggesting that consciousness is a non-physical entity",1
What is the fundamental difference between utilitarianism and deontological ethics when making moral decisions?,"Utilitarianism focuses on the consequences of actions to maximize overall happiness, while deontological ethics emphasizes following moral rules or duties regardless of outcomes",0
How does Socratic irony function as a method for uncovering truth in philosophical discourse?,"Socratic irony functions by pretending ignorance to stimulate dialogue and expose contradictions, leading others to deeper understanding and truth",0
```json,,0
[,42,0
"""If a statement about a set is true for the first element and if it's true for one element implies it's true for the next, what logical principle allows us to conclude it's true for all elements?"",",Mathematical induction,1
"""What term describes a logical fallacy where the conclusion is assumed in one of the premises?"",",Begging the question,1
"""In logic, what is the name of the rule that states if a statement is true, then its double negation is also true?"",",Double negation elimination,1
How does the apparent retrograde motion of planets challenge the geocentric model of the universe?,Apparent retrograde motion challenges the geocentric model by implying that planets move in complex loops inconsistent with circular orbits around Earth,0
Why do astronomers use light-years instead of kilometers or miles to measure astronomical distances?,Light-years are used because they conveniently express vast astronomical distances in comprehensible terms,0
What causes the phases of the Moon to change as viewed from Earth?,"The changing positions of the Moon, Earth, and Sun cause the phases of the Moon",0
How does the Doppler effect help astronomers determine whether a star or galaxy is moving away from or towards us?,The Doppler effect causes the light from a star or galaxy moving away to shift towards red and towards blue if moving closer,0
What is the significance of the Hertzsprung-Russell diagram in understanding the life cycle of stars?,"The Hertzsprung-Russell diagram illustrates the relationship between a star's luminosity and its temperature, revealing its evolutionary stage",0
How can a song in a minor key evoke a sense of happiness despite its traditionally somber tone?,Upbeat tempo and major key elements can evoke happiness in a minor key song,0
"What is the term for the speed of a piece of music, often indicated by beats per minute?",Tempo,1
How does a composer use dynamics to influence the emotional impact of a musical piece?,"A composer uses dynamics to influence the emotional impact of a musical piece by varying the volume to create contrast, tension, and emotional expression",0
Which element of music involves the combination of different pitches played simultaneously?,Harmony,1
What is the name of the symbol used to indicate the pitch of written notes in Western music notation?,Clef,1
What legal principle allows a defendant to be tried again for the same offense after an appeal results in a retrial without violating double jeopardy protections?,"The principle is ""mistrial declaration.""",0
In what situation can a contract be considered both void and voidable depending on the jurisdiction and circumstances?,A contract involving a minor can be considered both void and voidable depending on the jurisdiction and circumstances,0
How does the rule against perpetuities impact the future interest in property that is conditioned on an event occurring more than 21 years after the creation of the interest?,The rule against perpetuities invalidates future interests that might vest more than 21 years after a life in being at the creation of the interest,0
Under which legal doctrine might a person be held liable for a dog bite even if they had no prior knowledge of the dog's aggressive behavior?,Strict liability,1
"What is the term for a clause in a contract that requires arbitration instead of litigation, and how might it be challenged in court?","The term is ""arbitration clause,"" and it might be challenged in court on grounds of unconscionability, lack of mutual consent, or violation of public policy",1
What is the primary difference between a hub and a switch in a network setting?,"A hub broadcasts data to all connected devices, while a switch directs data only to the intended recipient device",0
"In networking, what is the main purpose of the OSI model's transport layer?",The main purpose of the OSI model's transport layer is to provide reliable data transfer and error recovery,0
How does a VPN enhance security in a network environment?,A VPN enhances security by encrypting internet traffic and masking the user's IP address,0
What is the key function of a subnet mask in an IP network?,The key function of a subnet mask is to divide an IP address into network and host portions,0
Why is DNS fundamental for web browsing in a network?,"DNS translates domain names into IP addresses, enabling web browsing",0
```json,,0
[,Canada is the second-largest country in the world by total area,0
"""What scientific principle explains why ice floats on water?"",",Ice floats on water because its density is lower than that of liquid water,0
"""Which element is the most abundant in the Earth's crust?"",",Oxygen,1
"""In what type of scientific study would you most likely use a petri dish?"",",Microbiology,1
What is the official IUPAC name of element 113?,Nihonium,1
What is the SCOPUS Source ID for the journal Science?,The SCOPUS Source ID for the journal Science is 24862,0
In which year did the EU’s GDPR come into force?,2018,1
What is the pKa of acetic acid (CH₃COOH)?,4.76,1
Who first proposed the Chandrasekhar limit?,Subrahmanyan Chandrasekhar first proposed the Chandrasekhar limit,1
What does the Gödel metric describe in general relativity?,The Gödel metric describes a rotating universe solution in general relativity,0
What is the annual parallax of Proxima Centauri in arcseconds?,0.7687 arcseconds,1
How is the IPv6 loopback address written in full hexadecimal?,0000:0000:0000:0000:0000:0000:0000:0001,1
At what altitude (in km) is the Kármán line defined?,100,1
Which treaty ended the Russo-Japanese War?,Treaty of Portsmouth,1
How many days difference existed between the Julian and Gregorian calendars in 1582?,10,1
What is the common (trivial) name for butan-2-ol?,Sec-butanol,1
Who first formulated the principle of least action?,Pierre Maupertuis first formulated the principle of least action,0
What is the UN M49 numeric code for “Western Europe”?,155,1
Who first detected the cosmic microwave background radiation?,Arno Penzias and Robert Wilson,1
What is the Baudot code used for?,The Baudot code is used for telegraphy and early digital communication systems,0
What are the latitude and longitude (in degrees) of the Geographic South Pole?,"Latitude: -90 degrees, Longitude: Undefined",0
Who first synthesized buckminsterfullerene (C₆₀)?,"Harry Kroto, Richard Smalley, and Robert Curl",1
State the Hardy–Weinberg equilibrium equation.,p² + 2pq + q² = 1,0
Who coined the term “Big Bang” (pejoratively)?,Fred Hoyle,1
What is the standard atomic mass of deuterium?,2.014 amu,0
What does the acronym “LIDAR” stand for?,Light Detection and Ranging,1
What is the molar mass of glucose (C₆H₁₂O₆)?,180.16 g/mol,1
What is the Euler characteristic of a torus?,0,1
Who first posed the P vs NP problem?,Stephen Cook first posed the P vs NP problem,1
What economic measure represents the total value of goods/services produced within a nation’s borders in a year?,Gross Domestic Product (GDP),1
What is the formal name of the 1935 U.S. “Wagner Act”?,The National Labor Relations Act,1
Explain the difference between a cyclone and an anticyclone.,"A cyclone is a system of winds rotating inward to an area of low atmospheric pressure, while an anticyclone is a system of winds rotating outward from an area of high atmospheric pressure",1
