template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Tides arise from the Moon’s and Sun’s differential gravity across Earth,",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,False,0.6807484606368095,embedding
long_form,2,Explain why seasons occur on Earth.,"Earth’s axial tilt makes the Sun’s angle and day length change through the year as Earth orbits the Sun, creating seasons",Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.7850228156853041,embedding
long_form,3,Explain why boiling point changes with altitude.,"Because atmospheric pressure drops with altitude, the liquid’s vapor pressure equals it at a lower temperature, so the boiling point decreases",Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9283193890689352,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap disrupts lipid membranes and emulsifies oils, lifting pathogens off skin so rinsing removes them and reduces transmission",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.9436822465745635,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"Randomization creates comparable treatment and control groups and, with blinding/placebos, minimizes bias so outcome differences can be causally attributed to the treatment",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,False,0.6433099329433708,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,"Because any 2D projection of Earth’s curved surface must stretch or compress regions, altering size and shape",A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.659725677279235,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,"It converts sunlight and CO2 into biomass and oxygen, forming the base of food webs and sustaining most life",Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.7446597629409463,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,"Because electricity is produced and consumed in real time with minimal storage, generation must match load to keep frequency and voltage stable; imbalance drives frequency drift, stresses equipment, triggers protection, and can cause outages",Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.6809331949743628,embedding
long_form,9,Explain why inflation reduces purchasing power.,"Rising prices mean each unit of currency buys fewer goods and services, reducing money’s real value",Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.7336002438840604,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Because memory is reconstructive and easily distorted by stress, suggestion, bias, attention limits, and time, producing inaccurate recollections",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,False,0.6938914227712304,embedding
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Temporal correlation does not prove causation; other factors or regression to the mean could explain the decline,Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends,False,False,False,0.2572786411472394,embedding
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs,False,False,False,,none
causal_reasoning,13,A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,"Temporal correlation isn’t causation; confounders, trends, or concurrent policies could explain the drop",Unemployment can change because of monetary policy global demand demographics industry trends stimulus business cycles or measurement changes,False,False,False,0.4253055239975392,embedding
causal_reasoning,14,A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,A randomized controlled trial showing patients assigned reminders had significantly fewer missed visits than a comparable control group,A randomized comparison between patients who did and did not receive reminders with similar baseline conditions would strengthen the claim,False,False,True,0.7977883445285906,embedding
causal_reasoning,15,A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,,Weather rainfall water temperature wastewater changes invasive species monitoring changes and natural variation could also affect algae blooms,False,False,False,,none
