template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides happen due to the gravitational pull of the moon and the sun on Earth's water. The Moon has a stronger tidal effect because it's closer to Earth, so its gravitational influence is stronger than the Sun's",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.9510886806944874,embedding
long_form,2,Explain why seasons occur on Earth.,"Seasons occur on Earth due to its tilt on its axis as it orbits the sun, causing varying amounts of sunlight to reach different regions at different times of the year",Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.9290904918140188,embedding
long_form,3,Explain why boiling point changes with altitude.,Boiling point changes with altitude due to the decrease in atmospheric pressure,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9055935724029103,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap breaks down the lipid envelope of many viruses and bacteria, killing them and washing them away",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,False,0.7003817233529332,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"Randomized controlled trials are useful for testing whether a treatment works because they minimize bias, establish causality, and allow for comparison between treatment and control groups",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,True,0.8288373801188643,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,"A map can distort the size or shape of countries because it is a two-dimensional representation of a three-dimensional object, the Earth",A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.6477938544163372,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,"Photosynthesis is important for most ecosystems because it produces oxygen and converts solar energy into chemical energy, which fuels all living organisms",Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.7479824679486774,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,"If supply and demand are not balanced in electric power grids, it can lead to blackouts or damage to the infrastructure",Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.6958593128623451,embedding
long_form,9,Explain why inflation reduces purchasing power.,Inflation reduces purchasing power because it increases the price of goods and services,Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.8169143649920608,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Eyewitness testimony can be unreliable due to factors like memory distortion, stress, and suggestion",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,True,0.7699188108379024,embedding
