prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus is hotter due to its thick atmosphere trapping heat through the greenhouse effect,1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacterial structures/processes, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"The sky appears blue due to Rayleigh scattering of shorter blue wavelengths; at sunset, the sun's light passes through more atmosphere, scattering shorter wavelengths and leaving longer red/orange wavelengths",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size averages out random error but does not address systematic bias,1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,Peer review improves reliability by providing expert critique but can't guarantee correctness due to potential biases or errors remaining,1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income distribution, environmental factors, or non-market activities",1,False
Explain why correlation alone does not prove causation.,Correlation does not account for confounding variables or establish a direct cause-effect relationship,0,True
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading fails to account for synonyms, phrasing variations, or minor errors",1,False
Explain why a legal rule may differ between jurisdictions.,"Legal rules may differ due to varying local customs, cultures, or legislative priorities",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not single events",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other pollution sources and weather changes,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other factors or changes in hospital practices could contribute,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A control group showing no sales increase without the advertisement,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Climate variability, changes in land use, or increased precipitation",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Other variables or changes could have influenced the results,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A/B testing,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is long-term patterns,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics treat bacteria, not viruses",1,False
Compare renewable and nonrenewable energy sources.,"Renewable energy sources are sustainable and replenishable, whereas nonrenewable energy sources are finite and deplete over time",1,False
Compare judicial review and legislation.,Judicial review evaluates legality; legislation creates laws,1,False
Compare inflation and unemployment as economic indicators.,"Inflation measures price changes, while unemployment measures joblessness",1,False
Compare precision and recall in a medical screening test.,Precision is the proportion of true positives among positive results; recall is the proportion of true positives detected out of all actual cases,1,False
Compare primary and secondary sources in historical research.,"Primary sources are original, firsthand accounts, while secondary sources analyze or interpret primary sources",1,False
Compare a theory and a hypothesis in science.,"A theory is a well-substantiated explanation, while a hypothesis is a testable prediction",1,False
Compare natural selection and genetic drift.,"Natural selection involves differential survival based on traits, while genetic drift is random allele frequency changes",1,False
Compare open loop and closed loop control systems.,Open loop systems lack feedback; closed loop systems use feedback for control,1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,Lack of placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,Disagreements were resolved by a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine reduces fever in children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,Selection bias,1,False
