template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method,reasoning
enhanced_long_form_explanation,1,Explain why increasing sample size reduces random error but not measurement bias.,"Increasing sample size reduces random error by averaging out fluctuations but doesn’t affect measurement bias, which is a systematic error","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.8018365383041957,embedding,embedding_support
enhanced_long_form_explanation,2,Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,"Increasing sample size does not affect measurement bias, only reduces random error","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7613767575672155,embedding,embedding_support
enhanced_long_form_explanation,3,"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size reduces random error by averaging out fluctuations, increasing precision, but does not affect measurement bias, which is a systematic error unaffected by sample size","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7925275499848387,embedding,embedding_support
enhanced_long_form_explanation,4,A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,Increasing sample size reduces random error but does not affect measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7741290483735779,embedding,embedding_support
enhanced_long_form_explanation,5,Explain why antibiotics often work against bacteria but not viruses.,Antibiotics target bacterial structures/functions not present in viruses,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8488021574701403,embedding,embedding_support
enhanced_long_form_explanation,6,Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"Antibiotics target bacteria, not viruses","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8238566127185663,embedding,embedding_support
enhanced_long_form_explanation,7,"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target specific bacterial structures and functions, such as cell walls or protein synthesis, which viruses lack. Viruses replicate inside host cells, making them inaccessible to antibiotics that can't target intracellular processes","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.9125263863835075,embedding,embedding_support
enhanced_long_form_explanation,8,A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics are effective against bacteria, not viruses, because viruses lack the structures antibiotics target","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8283185263647416,embedding,embedding_support
enhanced_long_form_explanation,9,Explain why a low p-value does not prove a hypothesis is true.,"A low p-value indicates strong evidence against the null hypothesis, not proof of the hypothesis","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.7649271387877422,embedding,embedding_support
enhanced_long_form_explanation,10,Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,"A low p-value indicates statistical significance, not proof of truth, as it only suggests evidence against the null hypothesis","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.7442630711608108,embedding,embedding_support
enhanced_long_form_explanation,11,"Give a multi-sentence explanation of why a low p-value does not prove a hypothesis is true, including the key limitation.","A low p-value indicates strong evidence against the null hypothesis, suggesting the data is unlikely under it, but it does not prove the alternative hypothesis is true. The key limitation is that p-values do not measure the probability that the hypothesis itself is true or false, nor do they account for the possibility of Type I or Type II errors","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.8226695193520667,embedding,embedding_support
enhanced_long_form_explanation,12,A student claims the opposite of this idea: a low p-value does not prove a hypothesis is true. Explain why the student's claim is wrong.,"A low p-value indicates strong evidence against the null hypothesis, not proof that a hypothesis is true","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.7769354744167061,embedding,embedding_support
enhanced_long_form_explanation,13,Explain why a single cold day does not disprove climate warming.,Weather variability doesn't negate long-term climate trends,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,False,0.6388942159210488,embedding,no_contradiction_evidence
enhanced_long_form_explanation,14,Explain the common misconception behind the statement that a single cold day does not disprove climate warming.,Weather is short-term; climate is long-term,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7342894486028234,embedding,embedding_support
enhanced_long_form_explanation,15,"Give a multi-sentence explanation of why a single cold day does not disprove climate warming, including the key limitation.","Climate warming refers to long-term trends, not isolated weather events; a single cold day is a short-term fluctuation, not indicative of global climate patterns","A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7946060565145001,embedding,embedding_support
enhanced_long_form_explanation,16,A student claims the opposite of this idea: a single cold day does not disprove climate warming. Explain why the student's claim is wrong.,Weather is not climate; a single day doesn't represent long-term climate trends,"A cold day is short-term weather, while climate change concerns long-term patterns in average conditions and energy balance.",False,False,True,0.7410233058510279,embedding,embedding_support
enhanced_long_form_explanation,17,Explain why high training accuracy can still indicate overfitting.,High training accuracy with low test accuracy indicates overfitting,A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.25986930391121715,embedding,no_contradiction_evidence
enhanced_long_form_explanation,18,Explain the common misconception behind the statement that high training accuracy can still indicate overfitting.,High training accuracy can indicate overfitting if the model performs poorly on unseen data,A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.33314617865033785,embedding,no_contradiction_evidence
enhanced_long_form_explanation,19,"Give a multi-sentence explanation of why high training accuracy can still indicate overfitting, including the key limitation.","High training accuracy can indicate overfitting because the model may have learned the noise and specific patterns of the training data rather than generalizing to new data. The key limitation is that the model may perform poorly on unseen data, failing to predict accurately outside the training set",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.36279682766786475,embedding,no_contradiction_evidence
enhanced_long_form_explanation,20,A student claims the opposite of this idea: high training accuracy can still indicate overfitting. Explain why the student's claim is wrong.,"High training accuracy can indicate overfitting if the model performs poorly on new, unseen data",A model can memorize training noise or examples and then fail to generalize to new cases.,False,False,False,0.39207327049104523,embedding,no_contradiction_evidence
enhanced_long_form_explanation,21,Explain why correlation between two variables is not enough to prove causation.,Correlation does not account for confounding variables or establish a direct cause-effect relationship,"Correlation can arise from confounding, reverse causation, selection effects, or coincidence rather than direct causation.",True,False,True,0.7556342074153087,embedding,nli_contradiction_veto
