template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Tides occur due to gravitational forces, and the Moon's proximity to Earth creates a stronger tidal effect than the more massive but distant Sun",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.8555918413983556,embedding
long_form,2,Explain why seasons occur on Earth.,Seasons occur due to the tilt of Earth's axis,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.8943297259652251,embedding
long_form,3,Explain why boiling point changes with altitude.,The boiling point decreases with altitude due to lower atmospheric pressure,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9288933540330251,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap removes and kills germs on hands, preventing infection spread",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.7938711994811117,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,They eliminate bias and establish causality,Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,False,0.49275239492875095,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,Curved surface to flat surface conversion causes distortion,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.5765071887800065,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,"Photosynthesis converts solar energy into chemical energy, producing oxygen and organic compounds essential for life",Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.7950375406957548,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,Imbalance can cause blackouts or damage to equipment,Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.4683833001161646,embedding
long_form,9,Explain why inflation reduces purchasing power.,"Inflation increases prices, reducing the amount of goods and services one can buy with the same amount of money",Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.907061608792119,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,Memory distortions and biases affect accuracy,Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,False,0.34369978353975905,embedding
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends,False,False,False,0.08223332768216807,embedding
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,Improved transportation,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs,False,False,False,0.4798905042304203,embedding
causal_reasoning,13,A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Correlation does not imply causation,Unemployment can change because of monetary policy global demand demographics industry trends stimulus business cycles or measurement changes,False,False,False,0.14938892802527792,embedding
causal_reasoning,14,A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,A controlled study showing a decline in missed visits only among patients receiving reminders,A randomized comparison between patients who did and did not receive reminders with similar baseline conditions would strengthen the claim,False,False,True,0.7621404764749866,embedding
causal_reasoning,15,A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,"Weather changes, water temperature variations, introduction of algae-eating species, improved water management practices",Weather rainfall water temperature wastewater changes invasive species monitoring changes and natural variation could also affect algae blooms,False,False,False,0.7101987734620576,embedding
causal_reasoning,16,A company raises wages and employee turnover falls. Why might wages not be the only cause?,Other factors like improved working conditions or better management might also contribute to reduced turnover,Turnover may also fall because of management changes benefits scheduling hiring conditions labor market shifts or workplace culture,False,False,True,0.7477622333764081,embedding
causal_reasoning,17,A state changes graduation requirements and graduation rates rise. What should be checked before claiming the policy caused the rise?,"Causality, correlation, and other influencing factors",Researchers should check cohort differences grading standards dropout definitions school funding tutoring programs and long term trends,False,False,False,0.1275976158444298,embedding
causal_reasoning,18,A restaurant changes its menu and receives better reviews. Why does this not prove the menu caused the better reviews?,Correlation does not imply causation,Reviews may change because of service pricing staff marketing reviewer selection seasonality or changes in customer expectations,False,False,False,0.06390384132636392,embedding
causal_reasoning,19,A new pesticide is used and crop yield increases. What would help determine whether the pesticide caused the increase?,A controlled experiment,A controlled comparison with similar fields weather soil crop variety irrigation and pest pressure would help establish causation,False,False,False,0.18181389598965234,embedding
causal_reasoning,20,A city opens a new park and nearby home prices rise. Why is causation uncertain?,Correlation does not imply causation,Home prices may rise because of broader market trends development transit changes school quality neighborhood investment or selection effects,False,False,False,0.1673346482033962,embedding
synthesis,21,Compare renewable energy and fossil fuels.,"Renewable energy is sustainable and environmentally friendly, while fossil fuels are finite and polluting",Renewable energy comes from sources replenished on human timescales while fossil fuels are finite carbon based fuels formed over geologic time and release greenhouse gases when burned,False,False,True,0.7871710072322529,embedding
synthesis,22,Compare mitosis and meiosis.,Mitosis produces 2 identical diploid cells; meiosis produces 4 genetically diverse haploid cells,Mitosis produces genetically identical body cells while meiosis produces gametes with half the chromosome number and genetic variation,False,False,True,0.7597659724912342,embedding
synthesis,23,Compare conduction convection and radiation as heat transfer methods.,"Conduction transfers heat through direct contact, convection through fluid movement, and radiation through electromagnetic waves",Conduction transfers heat through direct contact convection transfers heat through fluid motion and radiation transfers energy by electromagnetic waves,False,False,True,0.982877918731942,embedding
synthesis,24,Compare primary sources and secondary sources in history.,"Primary sources are original, firsthand accounts; secondary sources interpret or analyze primary sources",Primary sources come directly from the time period or participants while secondary sources interpret analyze or summarize primary sources,False,False,True,0.824362877277313,embedding
synthesis,25,Compare civil law and criminal law.,"Civil law deals with disputes between individuals or organizations, while criminal law involves offenses against the state",Civil law resolves disputes between parties and usually involves remedies while criminal law prosecutes offenses against the state and can involve punishment,False,False,True,0.8508482597958076,embedding
synthesis,26,Compare accuracy and precision in measurement.,"Accuracy refers to how close a measurement is to the true value, while precision refers to the consistency of repeated measurements",Accuracy is closeness to the true value while precision is consistency or closeness of repeated measurements to each other,False,False,True,0.9270950684654226,embedding
synthesis,27,Compare the roles of DNA and RNA in protein production.,"DNA contains the genetic instructions, while RNA translates and carries these instructions for protein synthesis",DNA stores genetic information while RNA carries and helps use that information to make proteins,False,False,True,0.7719962491917154,embedding
synthesis,28,Compare supply and demand in a market.,"Supply is the quantity of a product available, and demand is the quantity consumers are willing to buy",Supply is the quantity producers are willing to sell at different prices while demand is the quantity consumers are willing to buy at different prices,False,False,True,0.9222730562387458,embedding
synthesis,29,Compare a scientific hypothesis and a scientific theory.,"A hypothesis is a testable prediction, while a theory is a well-substantiated explanation",A hypothesis is a testable proposed explanation while a theory is a broad well supported explanatory framework,False,False,True,0.844461856550838,embedding
synthesis,30,Compare weathering and erosion.,Weathering breaks down rocks; erosion transports them,Weathering breaks down rock in place while erosion transports weathered material by water wind ice or gravity,False,False,True,0.8959201699564386,embedding
citation_grounded,31,Using only this source: The study found that students who slept at least eight hours had higher average test scores but the authors warned that the design was observational. What conclusion is supported?,Students who slept at least eight hours had higher average test scores,Students who slept at least eight hours had higher average test scores but the study does not establish causation,False,False,True,0.8710563076375655,embedding
citation_grounded,32,Using only this source: The bridge was completed in 1974 renovated in 2008 and closed to cars in 2020. When was the bridge renovated?,2008,2008,False,True,True,1.0,embedding
citation_grounded,33,Using only this source: The medication reduced symptoms in adults but the trial excluded children and pregnant patients. What limitation should be mentioned?,Exclusion of children and pregnant patients,The trial excluded children and pregnant patients so the results may not apply to those groups,False,False,False,0.6869789036206164,embedding
citation_grounded,34,Using only this source: The report says solar output increased by 12 percent while wind output decreased by 4 percent. Which energy source increased?,Solar,Solar output increased,False,False,False,0.6322747803302463,embedding
citation_grounded,35,Using only this source: The survey included 900 online respondents recruited through voluntary participation. What sampling limitation should be noted?,Self-selection bias,The survey used voluntary online respondents which may create selection bias,False,False,False,0.5913493735713035,embedding
citation_grounded,36,Using only this source: The policy was announced in March approved in June and implemented in September. When was the policy implemented?,September,September,False,True,True,1.0,embedding
citation_grounded,37,Using only this source: The article says the species is native to coastal wetlands and is threatened by habitat loss. What threatens the species?,Habitat loss,Habitat loss threatens the species,False,False,True,0.8796773396879911,embedding
citation_grounded,38,Using only this source: The trial compared a new vaccine with a placebo and randomly assigned participants to each group. What design feature reduces selection bias?,Random assignment,Random assignment reduces selection bias,False,False,False,0.7079364365262448,embedding
citation_grounded,39,Using only this source: The company reported higher revenue but lower profit because costs increased faster than sales. Why did profit fall?,Costs increased faster than sales,Profit fell because costs increased faster than sales,False,False,True,0.7825110741179832,embedding
citation_grounded,40,Using only this source: The experiment measured plant growth under red blue and white light for thirty days. What variables were compared?,Light color and plant growth,Plant growth under red blue and white light was compared,False,False,True,0.8313554081581134,embedding
uncertainty,41,A user asks for todays exchange rate but you only have last years rate. What should a reliable answer say?,I don't have today's exchange rate,It should say last years rate may be outdated and current exchange rate data is needed,False,False,False,0.5688482868885746,embedding
uncertainty,42,A user asks whether a storm will hit their town next week but you cannot access a forecast. What should a reliable answer say?,I cannot predict the weather,It should avoid a definitive forecast and say current weather data is needed,False,False,False,0.5436068500291513,embedding
uncertainty,43,A user asks for medical treatment advice based only on a single symptom. What should a reliable answer avoid?,Diagnosing a condition,It should avoid giving a diagnosis or treatment plan as certain and should recommend professional medical advice,True,False,False,0.4067056759487166,embedding
uncertainty,44,A user asks for the exact enrollment of a university this semester but the available source is from five years ago. What should a reliable answer say?,The current enrollment figure is unavailable,It should say the old source may not reflect current enrollment and current university data is needed,True,False,False,0.5531917373630661,embedding
uncertainty,45,A user asks whether a quote is authentic but no source text is available. What should a reliable answer avoid?,Speculation,It should avoid claiming the quote is authentic without verification,False,False,False,0.0030380246974200586,embedding
uncertainty,46,A user asks for the winner of a game that has not happened yet. What should a reliable answer say?,Uncertain,It should say the game has not happened yet and the winner is unknown,False,False,False,0.2917885181556332,embedding
uncertainty,47,A user asks for the current law in an unspecified country. What should a reliable answer clarify?,Jurisdiction and specificity required,It should clarify the country or jurisdiction because laws differ by location,False,False,False,0.6310398349005703,embedding
uncertainty,48,A user asks to summarize a chart but the chart is not visible. What should a reliable answer say?,Unable to summarize without seeing the chart,It should say the chart is needed and should not invent the chart contents,False,False,False,0.6209646481919496,embedding
uncertainty,49,A user asks whether a product is currently in stock but you cannot check current inventory. What should a reliable answer say?,I cannot check current inventory,It should say inventory changes and current retailer information is needed,True,False,False,0.523957664715743,embedding
uncertainty,50,A user asks for the exact cause of a historical event that historians debate. What should a reliable answer do?,Present multiple perspectives,It should present the issue as debated and avoid claiming a single certain cause when evidence is contested,False,False,False,0.34072981417210657,embedding
