template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Because Venus’s dense CO2 atmosphere and cloud cover cause a runaway greenhouse effect that traps heat, whereas airless Mercury rapidly reradiates heat to space",Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.8248014162191138,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Viruses lack the bacterial targets (cell walls, ribosomes, metabolic pathways) that antibiotics disrupt and replicate inside host cells, so antibiotics are ineffective",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.8050627558703345,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"Because air molecules Rayleigh‑scatter short (blue) wavelengths most, the sky looks blue by day, but at sunset the longer path scatters the blues away, leaving predominantly red/orange light",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.8539768485504705,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,"Larger samples average out random noise, shrinking standard errors, but bias is a systematic shift from design/measurement/selection that does not average out, yielding a more precise estimate of the wrong value",Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,False,0.6772828425249303,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,"By subjecting methods and reasoning to expert scrutiny, peer review filters many errors and boosts reliability, yet fallible, time‑limited reviewers without full data can miss bias, fraud, or subtle flaws, so findings remain provisional and sometimes wrong",Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,False,0.6430713400249195,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"Because it measures market output, not how benefits are distributed or sustained, omitting nonmarket work, environmental costs, leisure, underground activity, and broader health, education, and quality‑of‑life outcomes",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,False,0.6490664004565222,embedding
long_form,7,Explain why correlation alone does not prove causation.,"Because correlation may result from confounders, reverse causality, or chance, it does not establish causation",Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,True,0.8317328539532809,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,"It matches exact strings, not meaning, so correct variants (synonyms, formatting, punctuation) get marked wrong",Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.5529673664422132,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Because each jurisdiction independently legislates and interprets law according to its own history, values, institutions, and policy priorities",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,False,0.5201092338581959,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,Climate is long-term averages; one cold day is short-term weather noise,Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.7296298995435931,embedding
