template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides happen due to gravitational forces between Earth, Moon, and Sun, with the Moon having a stronger tidal effect due to its closer proximity to Earth",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.9361251215376388,embedding
long_form,2,Explain why seasons occur on Earth.,Earth's axial tilt causes varying amounts of sunlight to reach different parts of the planet throughout the year,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.7434973519422038,embedding
long_form,3,Explain why boiling point changes with altitude.,The atmospheric pressure decreases at higher altitudes,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,False,0.698037125269125,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap breaks down the lipid envelope of many viruses,Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,False,0.6046811374500578,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,Randomized controlled trials help to minimize bias and ensure that treatment effects are accurately measured,Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,True,0.7952151914432831,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,Map projections distort size or shape due to the challenge of representing a 3D surface on a 2D plane,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.6371322170560475,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,Produces oxygen,Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,False,0.5637279415588269,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,To maintain stability and prevent blackouts,Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.3928079506477715,embedding
long_form,9,Explain why inflation reduces purchasing power.,Because prices increase,Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,False,0.6122902410754844,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Memory distortion, suggestibility, post-event misinformation",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,False,0.4067873314761617,embedding
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends,False,False,False,0.08223332768216807,embedding
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,None,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs,False,False,False,0.038475292498605464,embedding
causal_reasoning,13,A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Correlation does not imply causation,Unemployment can change because of monetary policy global demand demographics industry trends stimulus business cycles or measurement changes,False,False,False,0.14938892802527792,embedding
causal_reasoning,14,A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,Patient data showing a correlation between missed visits and receiving reminders,A randomized comparison between patients who did and did not receive reminders with similar baseline conditions would strengthen the claim,False,False,False,0.6909369559063188,embedding
