template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Gravitational force, inverse square law, closer proximity",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,False,0.09710234967372146,embedding
long_form,2,Explain why seasons occur on Earth.,Tilt of Earth's axis,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,False,0.4422854855765913,embedding
long_form,3,Explain why boiling point changes with altitude.,Decreased atmospheric pressure causes lower boiling points,Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.8160855985983797,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap breaks down the protective coating of viruses and bacteria,Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,False,0.6681856406449316,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,To eliminate bias and provide reliable evidence of treatment efficacy,Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,False,0.5939868454540639,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,Map projections can distort the size or shape of countries due to the challenge of flattening a three-dimensional surface onto a two-dimensional map,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,False,0.7061486670422763,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,Produces oxygen,Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,False,0.5637279415588269,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,To ensure stable and reliable energy distribution,Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.4606894913682443,embedding
long_form,9,Explain why inflation reduces purchasing power.,Inflation increases the price of goods and services,Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.8435796239630797,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Human memory is fallible and impacted by factors like stress, leading to inaccuracies in recall",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,False,0.599656825887129,embedding
