template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus is hotter due to its thick atmosphere trapping heat through the greenhouse effect,Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.8767309618769874,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Antibiotics target bacterial structures/processes, not viruses",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.8465579005500549,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"The sky appears blue due to Rayleigh scattering of shorter blue wavelengths; at sunset, the sun's light passes through more atmosphere, scattering shorter wavelengths and leaving longer red/orange wavelengths",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.8882058368145421,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size averages out random error but does not address systematic bias,Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,False,0.6747419778828556,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,Peer review improves reliability by providing expert critique but can't guarantee correctness due to potential biases or errors remaining,Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,True,0.7420118992245247,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income distribution, environmental factors, or non-market activities",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,False,0.6184048081128414,embedding
long_form,7,Explain why correlation alone does not prove causation.,Correlation does not account for confounding variables or establish a direct cause-effect relationship,Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,True,False,True,0.764137668664395,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading fails to account for synonyms, phrasing variations, or minor errors",Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.675244991218184,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Legal rules may differ due to varying local customs, cultures, or legislative priorities",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,True,0.7307041897958135,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not single events",Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.8678384217603538,embedding
causal_reasoning,11,A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,Scores may have risen because of other factors such as easier tests different students extra study teacher changes or broader trends,False,False,False,0.13090497735713938,embedding
causal_reasoning,12,A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other pollution sources and weather changes,Researchers should check weather industrial emissions seasonal trends public transit changes traffic displacement and comparison areas,False,False,False,0.4887529508202574,embedding
causal_reasoning,13,A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other factors or changes in hospital practices could contribute,Other changes such as staffing training patient mix equipment reporting practices or hospital policy could also affect complications,False,False,False,0.6642155505287456,embedding
causal_reasoning,14,A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A control group showing no sales increase without the advertisement,A randomized test comparison market pre trend data seasonality controls and information about pricing distribution and competitor behavior would strengthen the claim,False,False,False,0.25321975607531466,embedding
causal_reasoning,15,A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,Grades could be affected by study time sleep course difficulty motivation tutoring prior ability or other confounding factors,False,False,False,0.11933523256995625,embedding
causal_reasoning,16,A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Climate variability, changes in land use, or increased precipitation",Weather variation land use changes measurement differences irrigation pollution changes and broader climate patterns should be considered,False,False,True,0.775187448238384,embedding
causal_reasoning,17,A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Other variables or changes could have influenced the results,The test mix sampling method scoring method abstention rate or prompt difficulty may have changed,False,False,False,0.40338828810175,embedding
