prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Because Venus’s dense CO2 atmosphere drives an extreme greenhouse effect that traps heat, while airless Mercury loses heat rapidly, making Venus hotter on average",1,False
Explain why antibiotics do not work against viral infections.,Viruses lack the bacterial targets of antibiotics and replicate using host machinery,1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"Because Rayleigh scattering in the atmosphere sends short blue wavelengths toward us by day, but over the longer sunset path the blue is scattered out, leaving longer red/orange wavelengths",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Adding observations averages out chance fluctuations, reducing variance, but systematic errors from flawed design, measurement, or unrepresentative sampling shift estimates consistently and thus persist regardless of sample size",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review screens for methodological soundness and plausibility, improving reliability, but reviewers can miss errors, biases and limited data persist, and only replication can confirm correctness",1,False
Explain why GDP is an incomplete measure of national well being.,"Because it values only market transactions and ignores distribution, unpaid work, leisure, environmental damage, health, education, and sustainability",1,False
Explain why correlation alone does not prove causation.,"Because two variables may co-vary due to confounding factors, reverse causality, or chance, not a causal relationship",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"It treats semantically correct answers that don’t match verbatim—e.g., synonyms, paraphrases, formatting differences, or minor typos—as incorrect",1,False
Explain why a legal rule may differ between jurisdictions.,"Because each jurisdiction’s history, constitution, politics, culture, and precedent produce different policy choices, their legal rules diverge",1,False
Explain why climate is not disproved by one unusually cold day.,Climate is long-term averages; one cold day is short-term weather variability and cannot refute long-term trends,1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,"Because without a control or randomization, confounders could explain the rise; correlation ≠ causation",1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,"Rule out confounders—weather/seasonality, other policies or economic/industrial shifts, traffic rerouting, and measurement changes—using control areas and pre-ban trend comparisons",1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A randomized A/B test showing higher sales in ad-exposed groups than controls,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,"Correlation doesn’t imply causation: randomness, test-set shifts, leakage, or evaluation changes could reduce errors independent of the update",1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Randomized A/B test,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,"Correlation does not imply causation; confounders, changes in enforcement/reporting, or preexisting trends could explain the decline",1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,"Because a mere temporal association doesn’t establish causation or rule out confounders, selection bias, or regression to the mean",1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is long-term averages and patterns over 30+ years,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics treat bacterial infections, not viral infections",1,False
Compare renewable and nonrenewable energy sources.,Renewables replenish naturally and are generally lower-emission; nonrenewables are finite fuels that deplete and usually pollute more,1,False
Compare judicial review and legislation.,Judicial review interprets and can invalidate laws; legislation creates laws,1,False
Compare inflation and unemployment as economic indicators.,"Inflation gauges price growth and purchasing power, unemployment gauges labor market slack; both signal economic health and often trade off in the short run",1,False
Compare precision and recall in a medical screening test.,"Precision (PPV) is the proportion of positive results that are true disease, while recall (sensitivity) is the proportion of all diseased individuals correctly identified",1,False
Compare primary and secondary sources in historical research.,"Primary sources are original, contemporaneous firsthand evidence; secondary sources are later analyses or interpretations of those sources",1,False
Compare a theory and a hypothesis in science.,"A hypothesis is a tentative, testable prediction; a theory is a well-substantiated, broad explanation supported by extensive evidence",1,False
Compare natural selection and genetic drift.,"Natural selection is nonrandom allele-frequency change driven by fitness differences, whereas genetic drift is random allele-frequency change, strongest in small populations",1,False
Compare open loop and closed loop control systems.,"Open loop: no feedback—simple, cheap, fast, low accuracy, poor disturbance/parameter tolerance; closed loop: feedback—self-correcting, accurate, disturbance-robust, but more complex, costlier, potentially unstable/slower",1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,Lack of a placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Reduced production is a confounder; the emissions drop may not be from the upgrade,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,By a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,That the medicine reduces fever in children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,Self-selection bias limits causal inference,1,False
