template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus has a thick atmosphere rich in carbon dioxide, causing a strong greenhouse effect",Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.7492871476914151,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.7835384470915168,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"The sky appears blue due to Rayleigh scattering, which scatters shorter blue wavelengths more than other colors, while at sunset, the light travels through more atmosphere, scattering more blue light and leaving longer red/orange wavelengths",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.8930956205182173,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces variability but does not affect systematic error,Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,True,0.790222860928681,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves reliability by ensuring scrutiny and feedback from experts, but it does not guarantee correctness due to potential biases and human error",Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,True,0.7225101093328294,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income distribution, environmental factors, or quality of life",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,False,0.7116805523946587,embedding
long_form,7,Explain why correlation alone does not prove causation.,Correlation does not prove causation because it does not account for other variables or the direction of the relationship,Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,True,0.7586584418149793,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading fails to account for synonyms, spelling variations, or phrasing differences",Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.6667041015588965,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Legal rules differ due to variations in local laws, cultures, and judicial interpretations",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,True,0.7507466409156475,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not individual weather events",Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.8456054985011552,embedding
causal_reasoning,11,A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,Scores may have risen because of other factors such as easier tests different students extra study teacher changes or broader trends,False,False,False,0.13090497735713938,embedding
causal_reasoning,12,A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,"Other pollution sources, weather changes, and traffic patterns",Researchers should check weather industrial emissions seasonal trends public transit changes traffic displacement and comparison areas,False,False,False,0.6141565815657312,embedding
causal_reasoning,13,A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Other factors such as staff training, improved equipment, or changes in patient demographics might also contribute to the reduction in complications",Other changes such as staffing training patient mix equipment reporting practices or hospital policy could also affect complications,False,False,True,0.7551105185611292,embedding
causal_reasoning,14,A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Controlled experiment showing increased sales only in areas with the advertisement,A randomized test comparison market pre trend data seasonality controls and information about pricing distribution and competitor behavior would strengthen the claim,False,False,False,0.39721901511888535,embedding
causal_reasoning,15,A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,Grades could be affected by study time sleep course difficulty motivation tutoring prior ability or other confounding factors,False,False,False,0.11933523256995625,embedding
causal_reasoning,16,A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Changes in climate patterns, urban development, or natural variability",Weather variation land use changes measurement differences irrigation pollution changes and broader climate patterns should be considered,False,False,False,0.6582812854758224,embedding
causal_reasoning,17,A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,"External variables, changes in test conditions, or random chance",The test mix sampling method scoring method abstention rate or prompt difficulty may have changed,False,False,False,0.25868149623945436,embedding
causal_reasoning,18,A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A/B testing,A controlled experiment or A B test with comparable users stable measurement and checks for seasonality traffic source changes and external events,False,False,False,0.30254891398543476,embedding
causal_reasoning,19,A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,Crime rates can change because of enforcement demographics economic conditions reporting changes seasonal effects or long term trends,False,False,False,0.11927137371023368,embedding
causal_reasoning,20,A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,The user may have changed diet exercise motivation sleep or other habits and there is no control group or counterfactual comparison,False,False,False,0.25118067851633713,embedding
synthesis,21,Compare weather and climate.,Weather is short-term atmospheric conditions; climate is long-term average conditions,Weather describes short term atmospheric conditions while climate describes long term patterns and averages,False,False,True,0.8506706013018204,embedding
synthesis,22,Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics treat bacteria, not viruses",Bacteria are living cells with structures antibiotics can target while viruses replicate inside host cells and are not treated by antibiotics,False,False,True,0.7417770915431192,embedding
synthesis,23,Compare renewable and nonrenewable energy sources.,"Renewable energy sources are naturally replenished, while nonrenewable energy sources are finite",Renewable sources are replenished naturally on human timescales while nonrenewable sources are finite or form over geologic timescales,False,False,True,0.7933084476533209,embedding
synthesis,24,Compare judicial review and legislation.,Judicial review interprets and evaluates laws; legislation creates them,Judicial review evaluates whether government action complies with higher law while legislation creates or changes statutory law,False,False,True,0.7771625312700644,embedding
synthesis,25,Compare inflation and unemployment as economic indicators.,Inflation measures price level changes; unemployment measures joblessness rates,Inflation measures price increases while unemployment measures the share of people seeking work who do not have jobs,False,False,True,0.8401167910229889,embedding
synthesis,26,Compare precision and recall in a medical screening test.,"Precision measures the proportion of true positive results among all positive results, while recall measures the proportion of true positive results among all actual positive cases",Precision measures how many positive results are true positives while recall measures how many actual cases the test detects,False,False,True,0.8897559034819935,embedding
synthesis,27,Compare primary and secondary sources in historical research.,"Primary sources are original documents or evidence from the time period, while secondary sources analyze or interpret primary sources",Primary sources come directly from the time or participants while secondary sources interpret analyze or summarize primary evidence,False,False,True,0.8849851710877312,embedding
synthesis,28,Compare a theory and a hypothesis in science.,"A theory is a well-substantiated explanation, while a hypothesis is a testable prediction",A hypothesis is a testable proposed explanation while a theory is a well supported explanatory framework,False,False,True,0.862295024093306,embedding
synthesis,29,Compare natural selection and genetic drift.,Natural selection is adaptive; genetic drift is random,Natural selection changes traits through differential survival or reproduction while genetic drift changes allele frequencies by chance,False,False,True,0.7340587378469505,embedding
synthesis,30,Compare open loop and closed loop control systems.,Open loop lacks feedback; closed loop uses feedback for control,Open loop systems act without feedback while closed loop systems use feedback to adjust behavior,False,False,True,0.7944827848186122,embedding
citation_grounded,31,Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,Lack of placebo control group,The trial did not include a placebo control group,False,False,False,0.6327727373543283,embedding
citation_grounded,32,Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,Emissions may have fallen because production decreased rather than only because of the factory upgrade,False,False,False,0.2503617471488158,embedding
citation_grounded,33,Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,2021,False,True,True,1.0000000000000002,embedding
citation_grounded,34,Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,The number of unique prompts should be reported along with row level counts,False,False,False,0.6880425587555038,embedding
citation_grounded,35,Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,By a third reviewer,Disagreements were resolved by a third reviewer,False,False,False,0.5729158450246613,embedding
citation_grounded,36,Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine reduces fever in children,It should not be concluded that the medicine was shown effective in children,True,False,False,0.622654010011061,embedding
