template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides arise from the differential gravitational pull across Earth that creates ocean bulges, and the Moon dominates because tidal force scales as M/r^3, so its proximity outweighs the Sun’s greater mass",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.8657045906898081,embedding
long_form,2,Explain why seasons occur on Earth.,"Earth’s axial tilt causes hemispheres to receive different sun angles and day lengths as it orbits the Sun, producing seasons",Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,True,0.7885534487258654,embedding
long_form,3,Explain why boiling point changes with altitude.,"Because boiling occurs when vapor pressure equals ambient pressure, and atmospheric pressure falls with altitude, the temperature needed (boiling point) decreases as elevation increases",Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9148564838285757,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap’s surfactants break up oils and enveloped viruses, lifting microbes off skin so rinsing removes them, cutting transmission",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.7786458523668491,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"Random assignment to treatment and control, often with blinding, balances known and unknown confounders so outcome differences can be causally attributed to the treatment rather than bias",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,False,0.6587804765673967,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,"Because projecting Earth’s curved surface onto a flat map inevitably stretches or compresses regions, altering size and shape",A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,True,0.7546923592090907,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,"It converts sunlight into chemical energy, producing biomass that underpins most food webs and oxygen for aerobic life, driving the carbon and oxygen cycles",Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.7602758409889547,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,"Because grids have negligible storage, generation must equal demand at every moment to keep frequency and voltage stable; otherwise frequency drifts, triggering protective trips and blackouts",Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.7194763803107839,embedding
long_form,9,Explain why inflation reduces purchasing power.,"As prices rise, each unit of currency buys fewer goods and services",Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.7281168989967837,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Because memory is reconstructive and malleable, it is easily distorted by stress, suggestion, bias, poor viewing, delays, and misinformation, so confidence often fails to predict accuracy",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,False,0.531944450941753,embedding
causal_reasoning,11,A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,,Accidents may have fallen because of road redesign enforcement weather traffic volume seasonal patterns or broader safety trends,False,False,False,,none
causal_reasoning,12,A school starts serving breakfast and attendance improves. What else could explain the improvement?,,Attendance could improve because of transportation changes policy changes family outreach student population changes weather or other school programs,False,False,False,,none
