prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus’s thick CO2 atmosphere causes a runaway greenhouse effect that traps and redistributes heat, whereas airless Mercury quickly loses it to space",1,False
Explain why antibiotics do not work against viral infections.,"Because antibiotics target bacterial cell walls, ribosomes, and metabolism that viruses lack, and viruses replicate inside host cells, leaving no bacterial targets",0,True
Explain why the sky appears blue during the day but red or orange near sunset.,"Rayleigh scattering in air scatters short-wavelength blue light most (blue sky), but at sunset the longer atmospheric path scatters blue away, leaving the less-scattered red/orange light",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size averages out random noise, reducing variance, but systematic errors from biased design/selection/measurement persist, giving a more precise estimate of the wrong value",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,,1,False
Explain why GDP is an incomplete measure of national well being.,"Because it measures only market output and ignores income distribution, unpaid work, leisure, environmental/resource costs, quality-of-life factors (health, education, safety), and sustainability, GDP can rise even as well-being falls",1,False
Explain why correlation alone does not prove causation.,"Correlation may reflect confounders, reverse causation, or chance rather than causation",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Because it checks literal strings rather than meaning, correct answers with different wording, order, formatting, capitalization, punctuation, or minor typos are marked wrong",1,False
Explain why a legal rule may differ between jurisdictions.,"Different constitutions, statutes, precedents, cultures, and policy goals lead jurisdictions to adopt and interpret rules differently",1,False
Explain why climate is not disproved by one unusually cold day.,"Because climate is long-term patterns and trends, while a single cold day is short-term weather variability within those patterns",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,"Because correlation alone doesn’t establish causation—confounders like selection bias, maturation, history effects, or regression to the mean could explain the rise",1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,"Whether similar declines occurred in comparable areas without the ban, controlling for weather/seasonality, other policies, economic/industrial changes, and measurement methods",1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Because concurrent interventions, secular trends, Hawthorne effect, case‑mix/reporting changes, or regression to the mean could also reduce complications",1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A randomized A/B test showing a statistically significant sales lift in ad-exposed groups versus identical controls,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation; confounding variables or reverse causality could explain the improvement,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A randomized controlled A/B test comparing the new and old algorithms,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,"Because correlation doesn’t imply causation—confounds, secular trends, or regression to the mean could explain the decline",1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,,1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is the long-term average of those conditions in a region,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics work against bacteria, not viruses",1,False
Compare renewable and nonrenewable energy sources.,Renewables replenish naturally and emit less; nonrenewables are finite and emit more,1,False
Compare judicial review and legislation.,Legislation makes general rules; judicial review interprets them and can strike them down as unconstitutional,1,False
Compare inflation and unemployment as economic indicators.,Inflation measures price growth; unemployment measures joblessness—both indicate macroeconomic health and often trade off in the short run,1,False
Compare precision and recall in a medical screening test.,Precision: fraction of positive test results that are true cases (PPV); Recall: fraction of actual cases correctly identified (sensitivity),1,False
Compare primary and secondary sources in historical research.,"Primary sources are firsthand, contemporaneous evidence; secondary sources are later analyses or interpretations of those materials",1,False
Compare a theory and a hypothesis in science.,"A hypothesis is a tentative, testable proposition; a theory is a well-substantiated, broad explanatory framework supported by extensive evidence",1,False
Compare natural selection and genetic drift.,"Natural selection is nonrandom, adaptive change in allele frequencies via differential reproductive success, whereas genetic drift is random, nonadaptive fluctuation due to chance, strongest in small populations",1,False
Compare open loop and closed loop control systems.,"Open-loop: no feedback—simple, fast, cheap but sensitive to disturbances and less accurate/stable; closed-loop: uses feedback—more complex, slower, costlier but rejects disturbances",1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,No placebo control—cannot rule out placebo effects,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,"Because reduced production could have caused the emissions drop, so post-upgrade correlation doesn’t establish causation",1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,By a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,That it reduces fever in children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,"Lack of random assignment causes self-selection bias, so causality cannot be inferred",1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
