id,prompt,model_response,correct_answer
1,How many months have 28 days?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,12
2,"Which weighs more, a pound of feathers or a pound of gold?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,They weigh the same
3,How many birthdays does the average person celebrate?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,1
4,What English word is always spelled incorrectly in every dictionary?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,incorrectly
5,"What occurs once in a minute, twice in a moment, but never in a thousand years?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,The letter M
6,How many sides does a circle have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Two (inside and outside)
7,What is the only U.S. state capital that is not accessible by road?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Juneau
8,Which single letter of the alphabet has the most water?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,C
9,What’s the only English word that ends with the letters “mt”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,dreamt
10,How many letters are in the English alphabet?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,26
11,Which weighs more: a kilogram of steel or a kilogram of feathers?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,They weigh the same
12,In what year did the 21st century actually begin?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2001
13,How many seconds are there in a day?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,86400
14,What gets wetter the more it dries?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A towel
15,Which country’s name is also its capital city spelled the same way?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Luxembourg
16,What English word becomes shorter when you add two letters to it?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,short
17,How many US states have names that start with the letter “A”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,4
18,What goes up but never comes down?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Your age
