template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,"Ocean tides result from differential gravity creating bulges; the Moon’s tide is stronger because tidal force ∝ M/r^3 and its much smaller r outweighs the Sun’s larger M, yielding roughly twice the solar effect",Ocean tides are mainly caused by gravitational differences across Earth and the Moon has a stronger tidal effect because it is much closer than the Sun,False,False,True,0.8608443042129201,embedding
long_form,2,Explain why seasons occur on Earth.,Earth’s 23.5° axial tilt causes changing sunlight angles and day lengths as it orbits the Sun,Seasons occur because Earths axis is tilted causing different hemispheres to receive different angles and durations of sunlight during the year,False,False,False,0.5948819542689322,embedding
long_form,3,Explain why boiling point changes with altitude.,"Because atmospheric pressure decreases with altitude, a liquid’s vapor pressure equals the surrounding pressure at a lower temperature, so its boiling point falls",Boiling point decreases at higher altitude because atmospheric pressure is lower so water reaches its vapor pressure at a lower temperature,False,False,True,0.9105108718792022,embedding
long_form,4,Explain why washing hands with soap helps reduce the spread of infectious disease.,"Soap breaks down pathogen lipid membranes and lifts microbes from skin so rinsing removes them, reducing transmission",Soap helps remove microbes and oils from skin and disrupts lipid membranes of some pathogens while rinsing carries them away,False,False,True,0.943591445540204,embedding
long_form,5,Explain why randomized controlled trials are useful for testing whether a treatment works.,"By randomly assigning subjects to treatment or control (often with blinding), RCTs balance confounders and isolate causal effects, so outcome differences can be attributed to the treatment",Randomized controlled trials reduce selection bias and compare treatment outcomes against a control group to estimate causal effects,False,False,False,0.5914497839026243,embedding
long_form,6,Explain why a map can distort the size or shape of countries.,Because flattening Earth’s curved surface onto a flat map requires projections that unavoidably distort area and shape,A flat map projects Earths curved surface onto a plane so some combination of area shape distance or direction must be distorted,False,False,True,0.8019312735281976,embedding
long_form,7,Explain why photosynthesis is important for most ecosystems.,"It converts sunlight into biomass and oxygen, forming the base of food webs and enabling aerobic life",Photosynthesis converts light energy into chemical energy and produces organic matter that supports food webs while releasing oxygen,False,False,True,0.7467816248038222,embedding
long_form,8,Explain why electric power grids need supply and demand to stay balanced.,"Because electricity is delivered in real time with little storage; any supply–demand mismatch shifts frequency/voltage, tripping equipment and causing blackouts",Electric grids require generation and consumption to stay closely matched because large imbalances can destabilize frequency and cause outages,False,False,False,0.5776605688590302,embedding
long_form,9,Explain why inflation reduces purchasing power.,Because rising prices mean each unit of money buys fewer goods and services,Inflation raises the general price level so the same amount of money buys fewer goods and services,False,False,True,0.7870017589686996,embedding
long_form,10,Explain why eyewitness testimony can be unreliable.,"Eyewitness testimony can be unreliable because memory is reconstructive and easily distorted by stress, suggestion, bias, and time",Eyewitness memory can be affected by stress perception time suggestion bias and memory reconstruction,False,False,True,0.8524848400176819,embedding
