prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus is hotter on average than Mercury because it has a dense atmosphere, primarily composed of carbon dioxide, which causes a strong greenhouse effect",1,False
Explain why antibiotics do not work against viral infections.,Antibiotics target bacterial structures or functions that viruses do not have,1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"This occurs due to a phenomenon called Rayleigh scattering, where shorter-wavelength light (blue and violet) is scattered more than longer-wavelength light (red, orange, and yellow) by the atmosphere. During sunset, the sun is lower in the sky, causing light to pass through more atmosphere and scatter more short-wavelength light, letting the longer-wavelength light reach the observer",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error by averaging out fluctuations, but bias is systematic error not affected by sample size",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves scientific reliability by allowing multiple experts to scrutinize and validate the methodology and findings, but it doesn't guarantee correctness as it is still subject to human error and bias",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income inequality, non-market activities, environmental degradation, or quality of life factors such as health and education",1,False
Explain why correlation alone does not prove causation.,"Correlation only indicates a relationship between two variables, not that one directly causes the other",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading can incorrectly mark a correct answer wrong due to variations in phrasing, spelling, or punctuation",1,False
Explain why a legal rule may differ between jurisdictions.,"Different jurisdictions have varying historical, cultural, and societal contexts that shape their legal rules",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate is long-term weather patterns, not individual events",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other potential factors affecting air pollution,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Other factors may have simultaneously improved, such as staff training or equipment",1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Sales data showing a consistent increase following the advertisement launch,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Changes in global weather patterns, variations in solar radiation, atmospheric changes, and other environmental factors",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,The test set may have become easier,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Conducting an experiment where the only variable changed is the ranking algorithm,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather refers to short-term atmospheric conditions while climate refers to long-term weather patterns,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria can be treated with antibiotics, but viruses cannot",1,False
