template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus is hotter due to its dense carbon dioxide atmosphere causing a strong greenhouse effect,Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat,False,False,True,0.8715050963006328,embedding
long_form,2,Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics,False,False,True,0.7835384470915168,embedding
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,"The sky appears blue due to Rayleigh scattering, which scatters shorter blue wavelengths more than longer red wavelengths; at sunset, the sun's light passes through more atmosphere, scattering blue light out and leaving red and orange hues",Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible,False,False,True,0.8728513727051425,embedding
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces variability but doesn't eliminate systematic errors,Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain,False,False,True,0.8055793313037888,embedding
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,Peer review provides critical evaluation and validation but may overlook errors or biases,Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted,False,False,False,0.6745053534192342,embedding
long_form,6,Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income distribution, environmental factors, or non-market activities",GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare,False,False,False,0.6184048081128414,embedding
long_form,7,Explain why correlation alone does not prove causation.,Correlation does not account for other variables that might influence the relationship,Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship,False,False,False,0.6249009957516275,embedding
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading fails to account for synonyms, varied phrasing, or minor spelling errors",Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning,False,False,False,0.6662064494147816,embedding
long_form,9,Explain why a legal rule may differ between jurisdictions.,"Differences in legislation, cultural values, or legal systems",Different jurisdictions have different statutes regulations court precedents and procedural rules,False,False,False,0.5378063654632301,embedding
long_form,10,Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term patterns, not single weather events",Climate refers to long term patterns while one cold day is a short term weather event,False,False,True,0.859104022287045,embedding
causal_reasoning,11,A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,Scores may have risen because of other factors such as easier tests different students extra study teacher changes or broader trends,False,False,False,0.13090497735713938,embedding
causal_reasoning,12,A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other factors affecting air quality,Researchers should check weather industrial emissions seasonal trends public transit changes traffic displacement and comparison areas,False,False,False,0.34179201349124305,embedding
causal_reasoning,13,A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Other variables like staff training, equipment upgrades, or policy changes might have contributed",Other changes such as staffing training patient mix equipment reporting practices or hospital policy could also affect complications,False,False,False,0.6741597032454153,embedding
causal_reasoning,14,A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A/B testing results showing increased sales only in the group exposed to the advertisement,A randomized test comparison market pre trend data seasonality controls and information about pricing distribution and competitor behavior would strengthen the claim,False,False,False,0.4063191680524724,embedding
causal_reasoning,15,A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,Grades could be affected by study time sleep course difficulty motivation tutoring prior ability or other confounding factors,False,False,False,0.11933523256995625,embedding
causal_reasoning,16,A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Natural climate variability, changes in land use, or other environmental policies",Weather variation land use changes measurement differences irrigation pollution changes and broader climate patterns should be considered,False,False,True,0.7510494693699018,embedding
causal_reasoning,17,A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Test set changes,The test mix sampling method scoring method abstention rate or prompt difficulty may have changed,False,False,False,0.4074541648481553,embedding
