template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method,reasoning
enhanced_long_form_explanation,1,Explain why increasing sample size reduces random error but not measurement bias.,Increasing sample size reduces random error but not measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7689057997790526,embedding,embedding_support
enhanced_long_form_explanation,2,Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,Increasing sample size helps reduce random error but does not address measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7653823292525359,embedding,embedding_support
enhanced_long_form_explanation,3,"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size reduces random error by providing more data points to calculate a more precise estimate of the true population value. However, it does not address measurement bias, which is a systematic error that affects all measurements in the same way across the entire sample. One limitation is that increasing sample size does not guarantee elimination of all sources of bias in a study","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,False,0.6711514701216856,embedding,no_contradiction_evidence
enhanced_long_form_explanation,4,A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,Increasing sample size reduces both random error and measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",True,False,True,0.7608290168900985,embedding,nli_contradiction_veto
enhanced_long_form_explanation,5,Explain why antibiotics often work against bacteria but not viruses.,Antibiotics target bacteria cell structures and functions,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,False,0.7166754431888828,embedding,no_contradiction_evidence
enhanced_long_form_explanation,6,Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,Antibiotics are ineffective against viruses,"Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,False,0.7012727500475432,embedding,no_contradiction_evidence
enhanced_long_form_explanation,7,"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics work against bacteria by targeting specific structures or functions in the bacterial cell, such as cell wall synthesis or protein production. However, antibiotics do not affect viruses because viruses replicate inside host cells and are not considered living organisms. The key limitation is that antibiotics cannot target viral replication processes since viruses do not have their own metabolic machinery","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8494303023686903,embedding,embedding_support
enhanced_long_form_explanation,8,A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics target bacteria, not viruses","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8238566127185663,embedding,embedding_support
enhanced_long_form_explanation,9,Explain why a low p-value does not prove a hypothesis is true.,A low p-value indicates that the results are unlikely to have occurred by chance,"A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,False,0.6863924001501931,embedding,no_contradiction_evidence
enhanced_long_form_explanation,10,Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,"A low p-value indicates that the results are statistically significant, but it does not prove the hypothesis is true","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",True,False,True,0.733802876443485,embedding,nli_contradiction_veto
