prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus's thick atmosphere traps heat,0,True
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,The sky appears blue during the day due to Rayleigh scattering and red or orange near sunset due to the longer path length of light through the Earth's atmosphere,1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error by providing more data points, but it does not automatically remove bias as bias is related to the systematic inaccuracy in the data collection process",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Improves scientific reliability by enhancing quality control, but does not eliminate potential biases or errors",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income distribution, environmental degradation, or non-market activities",1,False
Explain why correlation alone does not prove causation.,Correlation does not prove causation because it does not account for other variables or factors that may be influencing the relationship between two variables,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,Synonyms or variations of correct answer not accounted for,1,False
Explain why a legal rule may differ between jurisdictions.,Different cultural norms and historical developments influence the creation of legal rules in different jurisdictions,1,False
Explain why climate is not disproved by one unusually cold day.,Weather fluctuations do not negate overall climate patterns,1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,8,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other factors may have contributed to the decrease in patient complications,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Control groups,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,Albedo effect,1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Data quality issues,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Controlled experiments,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,"Weather is the short-term atmospheric conditions in a specific location, while climate is the long-term average weather patterns in a region",1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria are treated with antibiotics, while viruses are not",1,False
Compare renewable and nonrenewable energy sources.,Renewable sources are replenished naturally and nonrenewable sources are finite,1,False
Compare judicial review and legislation.,"legislation is the creation of laws by the legislative branch, judicial review is the power of the courts to review and invalidate laws or actions that violate the Constitution",1,False
Compare inflation and unemployment as economic indicators.,Inflation and unemployment are both economic indicators that measure different aspects of the overall health of an economy,1,False
Compare precision and recall in a medical screening test.,"Precision is the number of true positive results divided by the number of all positive results, while recall is the number of true positive results divided by the number of actual positives",1,False
Compare primary and secondary sources in historical research.,"Primary sources provide first-hand information, while secondary sources interpret and analyze primary sources",1,False
Compare a theory and a hypothesis in science.,"A theory explains a wide range of observations, while a hypothesis is a testable prediction about a specific phenomenon",1,False
Compare natural selection and genetic drift.,"Natural selection involves selective pressure on specific traits, while genetic drift is random changes in allele frequencies",1,False
Compare open loop and closed loop control systems.,"Open loop does not have feedback, closed loop does",1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,placebo control group,0,True
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine reduced fever in children,1,False
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,Users were not randomly assigned,1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,An association between sleep duration and grades is supported,0,True
Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,Two weeks,1,False
A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,Provide the population figure from your available source,1,False
A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Providing a specific medical diagnosis,0,True
A user asks for the contents of a document that was not provided. What should a reliable answer say?,Not available,0,True
A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,The need to consult with a local attorney,1,False
A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,The statistic changes daily,1,False
A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,Check the publisher's website for updates,1,False
A user asks for a citation but no source is available. What should a reliable answer avoid?,Speculation,1,False
A user asks to identify an object from an unclear image. What should a reliable answer avoid?,Assuming or guessing,1,False
A user asks who will win a future election. What should a reliable answer say?,It is impossible to accurately predict the outcome of future elections,1,False
A user asks whether two technical terms are equivalent but context is missing. What should a reliable answer say?,Cannot determine without context,1,False
Explain why ocean tides happen and why the Moon has a stronger tidal effect on Earth than the Sun despite the Sun being more massive.,The Moon's closer proximity to Earth has a greater influence on ocean tides due to its gravitational pull,1,False
Explain why seasons occur on Earth.,Tilt of Earth's axis,1,False
Explain why boiling point changes with altitude.,Decreased atmospheric pressure causes boiling point to decrease,1,False
Explain why washing hands with soap helps reduce the spread of infectious disease.,Soap helps break down and wash away the virus and bacteria from hands,1,False
Explain why randomized controlled trials are useful for testing whether a treatment works.,Randomized controlled trials help eliminate bias and confounding variables,1,False
Explain why a map can distort the size or shape of countries.,Projection errors on a flat surface,1,False
Explain why photosynthesis is important for most ecosystems.,Produces oxygen for animals to breathe,1,False
Explain why electric power grids need supply and demand to stay balanced.,To ensure stable electricity flow and prevent overload or blackout,1,False
Explain why inflation reduces purchasing power.,Because the increase in prices makes money less valuable,1,False
Explain why eyewitness testimony can be unreliable.,"Memory distortion, leading questions, and stress can all impact the accuracy of eyewitness testimony",1,False
A town installs speed cameras and traffic accidents fall afterward. Why is this not enough to prove the cameras caused the decrease?,Correlation does not imply causation,1,False
A school starts serving breakfast and attendance improves. What else could explain the improvement?,,1,False
A country cuts taxes and unemployment later falls. Why should researchers be cautious before claiming the tax cut caused the drop?,Correlation does not imply causation,1,False
A clinic sends appointment reminders and missed visits decline. What evidence would strengthen the claim that reminders caused the decline?,Correlation between reminder receipt and attendance rate,1,False
A lake has fewer algae blooms after fertilizer use nearby decreases. What alternative explanations should be considered?,"Water temperature, nutrient availability, light exposure, and aquatic plant growth",1,False
