template,id,prompt,correct_answer
long_form,1,Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus is hotter mainly because its dense carbon dioxide atmosphere creates an extreme greenhouse effect while Mercury has little atmosphere to retain heat
long_form,2,Explain why antibiotics do not work against viral infections.,Antibiotics target bacterial structures or processes while viruses replicate inside host cells and are not killed by antibiotics
long_form,3,Explain why the sky appears blue during the day but red or orange near sunset.,Blue light is scattered more strongly by the atmosphere during the day while sunlight at sunset travels through more atmosphere leaving longer red and orange wavelengths more visible
long_form,4,Explain why increasing sample size reduces random error but does not automatically remove bias.,Larger samples reduce sampling variability but systematic bias from measurement sampling or study design can remain
long_form,5,Explain why peer review improves scientific reliability but does not guarantee correctness.,Peer review can catch errors and improve quality but reviewers can miss flaws and published papers may later be corrected challenged or retracted
long_form,6,Explain why GDP is an incomplete measure of national well being.,GDP measures economic output but does not directly measure inequality health environmental quality unpaid work leisure or overall welfare
long_form,7,Explain why correlation alone does not prove causation.,Correlation can occur because of confounding reverse causality coincidence or shared causes and does not by itself establish a direct causal relationship
long_form,8,Explain why exact match grading can incorrectly mark a correct answer wrong.,Exact match grading can reject correct paraphrases because it checks surface wording rather than meaning
long_form,9,Explain why a legal rule may differ between jurisdictions.,Different jurisdictions have different statutes regulations court precedents and procedural rules
long_form,10,Explain why climate is not disproved by one unusually cold day.,Climate refers to long term patterns while one cold day is a short term weather event
causal_reasoning,11,A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Scores may have risen because of other factors such as easier tests different students extra study teacher changes or broader trends
causal_reasoning,12,A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Researchers should check weather industrial emissions seasonal trends public transit changes traffic displacement and comparison areas
causal_reasoning,13,A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other changes such as staffing training patient mix equipment reporting practices or hospital policy could also affect complications
causal_reasoning,14,A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A randomized test comparison market pre trend data seasonality controls and information about pricing distribution and competitor behavior would strengthen the claim
causal_reasoning,15,A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Grades could be affected by study time sleep course difficulty motivation tutoring prior ability or other confounding factors
causal_reasoning,16,A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,Weather variation land use changes measurement differences irrigation pollution changes and broader climate patterns should be considered
causal_reasoning,17,A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,The test mix sampling method scoring method abstention rate or prompt difficulty may have changed
causal_reasoning,18,A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A controlled experiment or A B test with comparable users stable measurement and checks for seasonality traffic source changes and external events
causal_reasoning,19,A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Crime rates can change because of enforcement demographics economic conditions reporting changes seasonal effects or long term trends
