prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus is hotter on average than Mercury because it has a thick atmosphere that traps heat, causing a greenhouse effect",1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacterial cells, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"This is due to a phenomenon called Rayleigh scattering, where shorter-wavelength light (blue and violet) is scattered more than longer-wavelength light (red, orange, and yellow) in the Earth's atmosphere. However, the sky appears blue instead of violet because our eyes are more sensitive to blue light and because sunlight reaches us more at the blue part of the spectrum than the violet part. At sunset, the light has to pass through more of Earth's atmosphere, which scatters the shorter-wavelength light out of our line of sight, allowing the longer-wavelength (red, orange) light to reach us",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,"Increasing sample size reduces random error by improving the representativeness of the sample, but it doesn't automatically remove bias because bias is based on systematic errors that are not affected by sample size",1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves scientific reliability by exposing research to scrutiny by other experts in the field, potentially catching errors or biases; however, it doesn't guarantee correctness because reviewers can also miss errors or be influenced by their own biases",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income inequality, environmental degradation, unpaid domestic and volunteer work, or social well-being",1,False
Explain why correlation alone does not prove causation.,"Correlation only indicates a relationship between two variables, not that one variable's change directly causes the other's change",1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading can incorrectly mark a correct answer wrong because it doesn't account for synonyms, alternative phrasing, or minor spelling mistakes",1,False
Explain why a legal rule may differ between jurisdictions.,"Different jurisdictions may have varying legal traditions, societal norms, or legislative priorities",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not single events",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other potential factors influencing air pollution levels,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,Other factors may have changed at the same time,1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A consistent pattern of increased sales following similar past advertisements,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Changes in global climate, increased rainfall, variations in sun's radiation, and changes in wind patterns",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,The test set could have easier questions,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A controlled experiment with comparable groups where the only variable is the algorithm change,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather refers to short-term atmospheric conditions while climate refers to long-term weather patterns in a specific area,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Bacteria are susceptible to antibiotics, while viruses are not",1,False
