prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,"Venus has a thick atmosphere rich in carbon dioxide, causing a strong greenhouse effect",1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"The sky appears blue due to Rayleigh scattering, which scatters shorter blue wavelengths more than other colors, while at sunset, the light travels through more atmosphere, scattering more blue light and leaving longer red/orange wavelengths",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces variability but does not affect systematic error,1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review improves reliability by ensuring scrutiny and feedback from experts, but it does not guarantee correctness due to potential biases and human error",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income distribution, environmental factors, or quality of life",1,False
Explain why correlation alone does not prove causation.,Correlation does not prove causation because it does not account for other variables or the direction of the relationship,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading fails to account for synonyms, spelling variations, or phrasing differences",1,False
Explain why a legal rule may differ between jurisdictions.,"Legal rules differ due to variations in local laws, cultures, and judicial interpretations",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term weather patterns, not individual weather events",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,"Other pollution sources, weather changes, and traffic patterns",1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Other factors such as staff training, improved equipment, or changes in patient demographics might also contribute to the reduction in complications",1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Controlled experiment showing increased sales only in areas with the advertisement,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Changes in climate patterns, urban development, or natural variability",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,"External variables, changes in test conditions, or random chance",1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,A/B testing,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is long-term average conditions,1,False
