prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus is hotter due to its dense carbon dioxide atmosphere causing a strong greenhouse effect,1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"The sky appears blue due to Rayleigh scattering, which scatters shorter blue wavelengths more than longer red wavelengths; at sunset, the sun's light passes through more atmosphere, scattering blue light out and leaving red and orange hues",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces variability but doesn't eliminate systematic errors,1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,Peer review provides critical evaluation and validation but may overlook errors or biases,1,False
Explain why GDP is an incomplete measure of national well being.,"GDP does not account for income distribution, environmental factors, or non-market activities",1,False
Explain why correlation alone does not prove causation.,Correlation does not account for other variables that might influence the relationship,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading fails to account for synonyms, varied phrasing, or minor spelling errors",1,False
Explain why a legal rule may differ between jurisdictions.,"Differences in legislation, cultural values, or legal systems",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term patterns, not single weather events",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other factors affecting air quality,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Other variables like staff training, equipment upgrades, or policy changes might have contributed",1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,A/B testing results showing increased sales only in the group exposed to the advertisement,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Natural climate variability, changes in land use, or other environmental policies",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Test set changes,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Controlled experiment,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is long-term average weather patterns,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics treat bacteria, not viruses",1,False
Compare renewable and nonrenewable energy sources.,"Renewable energy sources are replenishable, while nonrenewable sources are finite",1,False
Compare judicial review and legislation.,"Judicial review interprets laws, while legislation creates laws",1,False
Compare inflation and unemployment as economic indicators.,"Inflation measures price level changes, while unemployment indicates workforce utilization",1,False
Compare precision and recall in a medical screening test.,"Precision measures true positive rate among positive results, recall measures true positive rate among actual positives",1,False
Compare primary and secondary sources in historical research.,"Primary sources are original, firsthand accounts or evidence, while secondary sources interpret or analyze primary sources",1,False
Compare a theory and a hypothesis in science.,"A theory is a well-substantiated explanation, while a hypothesis is a testable prediction",1,False
Compare natural selection and genetic drift.,"Natural selection is a process where advantageous traits increase an organism's survival and reproduction, while genetic drift is a random change in allele frequencies in a population",1,False
Compare open loop and closed loop control systems.,Open loop systems operate without feedback; closed loop systems use feedback for control,1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,Lack of a placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts should be reported,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,By a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine is effective in children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,Selection bias,1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,Sleep duration is associated with grades,1,False
Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,Lack of comparison to natural light conditions,1,False
A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,The population data is from 10 years ago and may not be accurate,1,False
A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Giving a diagnosis,0,True
A user asks for the contents of a document that was not provided. What should a reliable answer say?,Document not provided,1,False
A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,Clarify applicable jurisdiction,1,False
A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,Data is not current,0,True
A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,I cannot verify current retraction or correction status,0,True
