id,prompt
1,What is the capital of France?
2,Who is the current President of the United States?
3,What is the largest planet in our Solar System?
4,How many continents are there on Earth?
5,What is the chemical symbol for water?
6,Who wrote the play Romeo and Juliet?
7,In which country is the Great Pyramid of Giza located?
8,What is the boiling point of water at sea level in Celsius?
9,What currency is used in Japan?
10,Which language has the most native speakers worldwide?
11,What is the largest ocean on Earth?
12,How many bones are in the adult human body?
13,What is the primary language spoken in Brazil?
14,What is the smallest prime number?
15,Who painted the Mona Lisa?
16,What is the square root of 64?
17,What gas do humans breathe in that is essential for survival?
18,What is the tallest mountain above sea level in the world?
19,Which element has the atomic number 6?
20,Which country hosted the 2016 Summer Olympics?
21,What day of the week comes after Monday?
22,What color do you get by mixing red and white?
23,What is the fastest land animal?
24,Who is the author of the Harry Potter series?
25,What is the chemical formula for table salt?
26,Which planet is known as the Red Planet?
27,How many hours are there in a day?
28,What is the capital city of Australia?
29,Which country is famous for the Eiffel Tower?
30,What is the main ingredient in guacamole?
31,Which animal is known as the King of the Jungle?
32,Who discovered gravity by observing an apple?
33,What is the standard unit of electrical resistance?
34,Which organ in the human body pumps blood?
35,What year did World War II end?
36,What is the currency of the United Kingdom?
37,What metal is used to make US pennies?
38,What is the chemical symbol for gold?
39,Which planet is closest to the Sun?
40,What is H2O more commonly known as?
41,Who was the first person to walk on the Moon?
42,What is the capital of Canada?
43,What is the primary language spoken in Spain?
44,Which continent is Egypt part of?
45,What is the largest mammal in the world?
46,Who composed Beethoven’s Fifth Symphony?
47,What is the main gas in Earth’s atmosphere?
48,What is the freezing point of water in Celsius?
49,What color is chlorophyll?
50,Who wrote the novel 1984?

