prompt,model_response,is_correct,hallucinated
Explain why Venus is hotter on average than Mercury even though Mercury is closer to the Sun.,Venus is hotter due to its dense carbon dioxide atmosphere causing a strong greenhouse effect,1,False
Explain why antibiotics do not work against viral infections.,"Antibiotics target bacteria, not viruses",1,False
Explain why the sky appears blue during the day but red or orange near sunset.,"Rayleigh scattering causes shorter blue wavelengths to scatter during the day, while longer red and orange wavelengths dominate during sunset as the sun is lower on the horizon",1,False
Explain why increasing sample size reduces random error but does not automatically remove bias.,Increasing sample size reduces variability but bias is systematic and requires methodological correction,1,False
Explain why peer review improves scientific reliability but does not guarantee correctness.,"Peer review increases reliability by ensuring research is scrutinized by experts, but it doesn't guarantee correctness because errors can still be overlooked",1,False
Explain why GDP is an incomplete measure of national well being.,"GDP overlooks income distribution, environmental factors, and non-market activities",1,False
Explain why correlation alone does not prove causation.,Correlation does not prove causation because a third variable may influence both correlated variables,1,False
Explain why exact match grading can incorrectly mark a correct answer wrong.,"Exact match grading can incorrectly mark a correct answer wrong due to variations in phrasing, spelling, or formatting",1,False
Explain why a legal rule may differ between jurisdictions.,"Different legal traditions, cultures, and needs",1,False
Explain why climate is not disproved by one unusually cold day.,"Climate refers to long-term patterns, not short-term events",1,False
A new tutoring program begins and student test scores rise. Why is this not enough to prove the tutoring caused the increase?,Correlation does not imply causation,1,False
A city bans cars downtown and air pollution decreases. What else should be checked before claiming the ban caused the decrease?,Other factors influencing air quality,1,False
A hospital introduces a new checklist and patient complications fall. Why might the checklist not be the only cause?,"Other factors such as staff training, improved protocols, or seasonal variations might also contribute",1,False
A company launches a new advertisement and sales increase. What evidence would make the causal claim stronger?,Controlled experiment showing increased sales directly due to the advertisement,1,False
A person drinks more coffee and later reports better grades. Why does this not prove coffee caused the improvement?,Correlation does not imply causation,1,False
A region plants more trees and summer temperatures fall. What alternative explanations should be considered?,"Other climate interventions, natural climate variability, urban planning changes, or errors in data collection",1,False
A model update is followed by fewer wrong answers on a test set. Why might the update not be the only cause?,Other variables or changes could have influenced the test results,1,False
A search engine changes its ranking algorithm and user satisfaction rises. What would help establish causation?,Conducting a controlled experiment,1,False
A new law is followed by lower crime rates. Why should researchers be careful before claiming the law caused the drop?,Correlation does not imply causation,1,False
A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,Correlation does not imply causation,1,False
Compare weather and climate.,Weather is short-term atmospheric conditions; climate is long-term patterns,1,False
Compare bacteria and viruses in relation to antibiotic treatment.,"Antibiotics treat bacteria, not viruses",1,False
Compare renewable and nonrenewable energy sources.,"Renewable energy sources can be replenished naturally, while nonrenewable sources are finite and deplete over time",1,False
Compare judicial review and legislation.,Judicial review interprets law; legislation creates law,1,False
Compare inflation and unemployment as economic indicators.,"Inflation measures price stability, while unemployment indicates labor market health",0,True
Compare precision and recall in a medical screening test.,"Precision measures the proportion of true positive results among all positive results, while recall measures the proportion of true positive results among all actual cases",1,False
Compare primary and secondary sources in historical research.,"Primary sources are original, firsthand accounts; secondary sources analyze or interpret primary sources",1,False
Compare a theory and a hypothesis in science.,"A theory is a well-substantiated explanation, while a hypothesis is a testable prediction",1,False
Compare natural selection and genetic drift.,"Natural selection is adaptive, while genetic drift is random",1,False
Compare open loop and closed loop control systems.,"Open-loop systems operate without feedback, while closed-loop systems incorporate feedback for self-correction",1,False
Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,Lack of a placebo control group,1,False
Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Correlation does not imply causation,1,False
Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021,1,False
Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,320 unique prompts,1,False
Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,By a third reviewer,1,False
Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,The medicine is safe for children,0,True
Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,Selection bias,1,False
Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998,1,False
Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,An association exists between sleep duration and grades,1,False
Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,Limited light spectrum,1,False
A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,The population data is outdated,1,False
A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,Providing a diagnosis,0,True
A user asks for the contents of a document that was not provided. What should a reliable answer say?,Document not provided,1,False
A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,Jurisdiction needed,1,False
A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,The exact value is unavailable,0,True
A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,I cannot verify current status,0,True
