template,id,prompt,correct_answer
mathematics,1,"If a mathematician claims that all primes are odd, which number challenges this assertion?",2
mathematics,2,What is the only even prime number that defies the rule that all prime numbers are odd?,2
mathematics,3,"In the Fibonacci sequence, which two consecutive numbers both equal one?",1 and 1
mathematics,4,What is the smallest positive integer that is neither negative nor zero?,1
mathematics,5,Which mathematical constant is the ratio of a circle's circumference to its diameter?,pi
physics,6,```json,invalid input
physics,7,[,"i'm sorry, i need more information to provide an answer"
physics,8,"""If a cat is sitting on a frictionless surface and suddenly pushes itself off with its paws, which principle of physics explains the cat's motion in the opposite direction?"",",newton's third law
physics,9,"""In a vacuum, if a feather and a hammer are dropped simultaneously from the same height, which one hits the ground first according to classical mechanics?"",",both hit the ground simultaneously
physics,10,"""What is the term for the apparent force that acts on a mass moving in a circular path and is directed away from the center of rotation?"",",centrifugal force
chemistry,11,What element is represented by the symbol 'Hg' in the periodic table?,mercury
chemistry,12,Which law states that the volume of a gas is inversely proportional to its pressure at constant temperature?,boyle's law
chemistry,13,What is the common name for the compound with the chemical formula NaCl?,table salt
chemistry,14,Which chemical element has the highest atomic number that occurs naturally?,uranium
chemistry,15,What is the term for the minimum energy required to start a chemical reaction?,activation energy
philosophy,16,"If a tree falls in a forest and no one is around to hear it, does it make a sound according to the principles of empirical philosophy?",no sound
philosophy,17,"In the realm of existentialism, what is the primary focus when considering the essence of human existence?",individual freedom and choice
philosophy,18,"According to dualism, can the mind exist independently of the body, and if so, how does this impact our understanding of consciousness?",yes
philosophy,19,What is the fundamental difference between utilitarianism and deontological ethics when making moral decisions?,consequences vs. rules
philosophy,20,How does Socratic irony function as a method for uncovering truth in philosophical discourse?,feigning ignorance to stimulate critical thinking
logic,21,```json,invalid json
logic,22,[,please provide a question or context for me to assist you
logic,23,"""If a statement about a set is true for the first element and if it's true for one element implies it's true for the next, what logical principle allows us to conclude it's true for all elements?"",",mathematical induction
logic,24,"""What term describes a logical fallacy where the conclusion is assumed in one of the premises?"",",begging the question
logic,25,"""In logic, what is the name of the rule that states if a statement is true, then its double negation is also true?"",",double negation elimination
astronomy,26,How does the apparent retrograde motion of planets challenge the geocentric model of the universe?,epicycles
astronomy,27,Why do astronomers use light-years instead of kilometers or miles to measure astronomical distances?,convenience for large distances
astronomy,28,What causes the phases of the Moon to change as viewed from Earth?,the moon's orbit around earth
astronomy,29,How does the Doppler effect help astronomers determine whether a star or galaxy is moving away from or towards us?,redshift or blueshift
astronomy,30,What is the significance of the Hertzsprung-Russell diagram in understanding the life cycle of stars?,star classification and evolution
music,31,How can a song in a minor key evoke a sense of happiness despite its traditionally somber tone?,melody and rhythm
music,32,"What is the term for the speed of a piece of music, often indicated by beats per minute?",tempo
music,33,How does a composer use dynamics to influence the emotional impact of a musical piece?,volume changes
music,34,Which element of music involves the combination of different pitches played simultaneously?,harmony
music,35,What is the name of the symbol used to indicate the pitch of written notes in Western music notation?,clef
law,36,What legal principle allows a defendant to be tried again for the same offense after an appeal results in a retrial without violating double jeopardy protections?,retrial after appeal
law,37,In what situation can a contract be considered both void and voidable depending on the jurisdiction and circumstances?,contracts with minors
law,38,How does the rule against perpetuities impact the future interest in property that is conditioned on an event occurring more than 21 years after the creation of the interest?,the interest is void
law,39,Under which legal doctrine might a person be held liable for a dog bite even if they had no prior knowledge of the dog's aggressive behavior?,strict liability
law,40,"What is the term for a clause in a contract that requires arbitration instead of litigation, and how might it be challenged in court?",arbitration clause
networking,41,What is the primary difference between a hub and a switch in a network setting?,data forwarding method
networking,42,"In networking, what is the main purpose of the OSI model's transport layer?",end-to-end communication
networking,43,How does a VPN enhance security in a network environment?,data encryption and anonymity
networking,44,What is the key function of a subnet mask in an IP network?,network segmentation
networking,45,Why is DNS fundamental for web browsing in a network?,translates domain names to ip addresses
science,46,```json,invalid json
science,47,[,"i'm sorry, i need more information to provide an answer"
science,48,"""What scientific principle explains why ice floats on water?"",",buoyancy due to lower density
science,49,"""Which element is the most abundant in the Earth's crust?"",",oxygen
science,50,"""In what type of scientific study would you most likely use a petri dish?"",",microbiology study
