template,id,prompt,model_response,correct_answer,hallucinated,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method,reasoning
enhanced_long_form_explanation,1,Explain why increasing sample size reduces random error but not measurement bias.,"Increasing sample size reduces random error by averaging out fluctuations, but does not affect measurement bias as it is a systematic error inherent in the measurement process","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.8149064682993479,embedding,embedding_support
enhanced_long_form_explanation,2,Explain the common misconception behind the statement that increasing sample size reduces random error but not measurement bias.,"The misconception is that increasing sample size can reduce both random error and measurement bias; in reality, it only reduces random error, while measurement bias remains constant regardless of sample size","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7484385069417941,embedding,embedding_support
enhanced_long_form_explanation,3,"Give a multi-sentence explanation of why increasing sample size reduces random error but not measurement bias, including the key limitation.","Increasing sample size reduces random error as it averages out fluctuations and irregularities, providing a more true representation of the target population. However, it doesn't reduce measurement bias because this bias is a systematic error, meaning it consistently skews the results in one direction, regardless of sample size. The limitation is that no matter how large the sample size, if there's a bias in measurement, the results will consistently be skewed","Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,False,0.6630105417997862,embedding,no_contradiction_evidence
enhanced_long_form_explanation,4,A student claims the opposite of this idea: increasing sample size reduces random error but not measurement bias. Explain why the student's claim is wrong.,Increasing sample size does reduce random error but not measurement bias,"Larger samples reduce random variability, but systematic measurement error remains biased unless the measurement process changes.",False,False,True,0.7616937610481108,embedding,embedding_support
enhanced_long_form_explanation,5,Explain why antibiotics often work against bacteria but not viruses.,"Antibiotics target the growth mechanisms of bacteria, which viruses do not possess","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",True,False,True,0.8032498423640515,embedding,nli_contradiction_veto
enhanced_long_form_explanation,6,Explain the common misconception behind the statement that antibiotics often work against bacteria but not viruses.,"Antibiotics target the growth mechanisms of bacteria, which viruses do not have","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.7998947784277195,embedding,embedding_support
enhanced_long_form_explanation,7,"Give a multi-sentence explanation of why antibiotics often work against bacteria but not viruses, including the key limitation.","Antibiotics target the structure and functions of bacteria cells, such as their cell wall or protein synthesis, to kill or inhibit their growth. Viruses, however, do not have these cellular structures or functions as they are not cells, but genetic material encapsulated in a protein coat. This makes them unaffected by antibiotics","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8339605329284394,embedding,embedding_support
enhanced_long_form_explanation,8,A student claims the opposite of this idea: antibiotics often work against bacteria but not viruses. Explain why the student's claim is wrong.,"Antibiotics are designed to target the growth and proliferation mechanisms of bacteria, not viruses","Antibiotics target bacterial structures or processes, while viruses replicate inside host cells and lack many antibiotic targets.",False,False,True,0.8021946992619212,embedding,embedding_support
enhanced_long_form_explanation,9,Explain why a low p-value does not prove a hypothesis is true.,"A low p-value only suggests that the observed data is unlikely under the null hypothesis, not that the alternative hypothesis is true","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.8299514490881575,embedding,embedding_support
enhanced_long_form_explanation,10,Explain the common misconception behind the statement that a low p-value does not prove a hypothesis is true.,"A low p-value only suggests that the observed data would be unlikely under the null hypothesis, not that the alternative hypothesis is true","A low p-value indicates data would be unlikely under the null model, but it does not prove the alternative or rule out bias and confounding.",False,False,True,0.8444881459105192,embedding,embedding_support
